"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0660664052369212,0.0544546170404641,-0.027925504331392,-0.0415919806167113,0.0322262601802312,-0.0217493770959885,-0.107723457051427,0.0251075486683618,0.113482853625193,0,-0.0212892211089349,-0.0212892211089349
"SNAIL",-0.0316939006036142,-0.0307833619889143,0.0573891689201878,0.0266700997587458,-0.0317626993250567,-0.0437645333377365,-0.0405152749099225,-0.0536259766590054,0.0500349574351244,0,0.0526413658530009,0.0526413658530009
"OVOL2",-0.0882005155014208,-0.0816756371745409,-0.0283162078892599,0.0932463891815567,0.0149546049542013,0.102147990988138,0.125736709201359,-0.102597419087615,-0.122580043065225,0,0.0954375921502622,0.0954375921502622
"OCT4",0.0412616611119,0.0630415043583625,-0.0242322373417246,0.127106659179681,-0.0631599983440967,-0.020875880934055,-0.220814875711254,-0.15467887211833,0.230430260326639,0,-0.0204706916138615,-0.0204706916138615
"NRF2",0.0526413658530009,-0.030447147914162,-0.0289868355679762,-0.059747760353185,0.0570087122195257,0.0735538749477213,0.0500349574351244,0.0266700997587458,-0.0382832292398015,0,-0.0270851717802647,-0.0270851717802647
"miR34",0.0526413658530009,-0.030447147914162,-0.0289868355679762,-0.059747760353185,0.0570087122195257,0.0735538749477213,0.0500349574351244,0.0266700997587458,-0.0382832292398015,0,-0.0270851717802647,-0.0270851717802647
"miR200",-0.0193802366263352,-0.030940947242894,0.0457399304510722,0.0193089310381455,0.0860961909953775,0.0427407878382308,0.11716912462841,-0.0409846486486963,-0.209559284482913,0,0.0363910739585183,0.0363910739585183
"miR145",-0.0272896324232864,-0.0312291021850044,0.0487451833730599,-0.19339794967322,-0.0176630389320972,0.0472329894593332,0.138429791818261,0.0712131890528563,-0.130728498534991,0,0.0447632967437551,0.0447632967437551
"KEAP1",-0.0270851717802647,0.0776449872119338,0.0637202175986556,0.0197170855065592,-0.126075815329182,-0.0370412072875127,-0.0382832292398015,-0.059747760353185,0.0526632386693159,0,0.0584395317060532,0.0584395317060532
"Iext",-0.0526413658530009,0.030447147914162,0.0289868355679762,0.059747760353185,-0.0570087122195257,-0.0735538749477213,-0.0500349574351244,-0.0266700997587458,0.0382832292398015,0,0.0270851717802647,0.0270851717802647
"GRHL2",-0.0212892211089349,-0.0310005534362239,0.0452152239575602,0.0217441473385109,-0.0170181239456049,0.0399244512799647,0.113482853625193,-0.0415919806167113,-0.106579258853951,0,0.0368744591767569,0.0368744591767569
"Ecad",-0.0207687837021422,0.0705943016699967,0.0472697321313526,0.0197179209730481,-0.119973534285208,0.0434629700455075,0.0871658063099061,-0.0431464924016196,-0.078931104723404,0,0.0391681782721923,0.0391681782721923
