"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0715623825499062,0.0897498826089671,-0.0196051351732117,0.0363505924643517,0.043302777594143,0.000800916657081274,-0.027194701290295,-0.0113063354613318,0.0522138779714507,0,-0.00824755142528555,-0.00824755142528555
"SNAIL",-0.0726612666060494,0.0659581582373832,0.0723218066164756,-0.0768178080528417,-0.0830266749343064,0.181020463925902,-0.103476791852737,0.0888682344525451,0.115559992144667,0,0.0824578733108736,0.0824578733108736
"OVOL2",-0.026904518711164,-0.0459706316979498,-0.0396242012276645,-0.0215180099020643,-0.0256848069865605,0.0470244425933883,-0.0402334088475598,0.054776649908959,0.0735349102534699,0,0.0539336333873375,0.0539336333873375
"OCT4",-0.00280992475605413,0.0508507725157885,0.00190168826997087,0.137258085151626,-0.125283652922669,0.0118275387785145,-0.142421159636162,-0.136422563547424,0.143207872922875,0,0.00344238012391899,0.00344238012391899
"NRF2",0.0824578733108736,-0.159974171722423,-0.0597318989311383,0.0911514609770987,0.0979231798545643,-0.173102614094296,0.115559992144667,-0.0768178080528417,-0.101366728429415,0,-0.0709235165257164,-0.0709235165257164
"miR34",0.0824578733108736,-0.159974171722423,-0.0597318989311383,0.0911514609770987,0.0979231798545643,-0.173102614094296,0.115559992144667,-0.0768178080528417,-0.101366728429415,0,-0.0709235165257164,-0.0709235165257164
"miR200",-0.00678245562850273,-0.104238958566118,0.0445263224618751,-0.00570946144786339,0.0897638112884567,-0.00684356103600822,0.0576562910127446,0.0343363039614398,-0.128853763971489,0,0.030252558610117,0.030252558610117
"miR145",-0.00396053051003613,0.0645970474747588,-0.0328963795871505,-0.221827231467889,0.0793247353389398,-0.0073438499927556,0.0763690492700983,0.0981859637672819,-0.100190492741104,0,-0.0155633015084815,-0.0155633015084815
"KEAP1",-0.0709235165257164,0.16692893201952,0.0746698098149952,-0.0742802953329269,-0.180301794148072,0.182704487630596,-0.101366728429415,0.0911514609770987,0.118292706741532,0,0.0846791486486954,0.0846791486486954
"Iext",0.0824578733108736,-0.159974171722423,-0.0597318989311383,0.0911514609770987,0.0979231798545643,-0.173102614094296,0.115559992144667,-0.0768178080528417,-0.101366728429415,0,-0.0709235165257164,-0.0709235165257164
"GRHL2",-0.00824755142528555,-0.0776179627031957,0.0456466368364463,-0.00714119782326668,-0.0128155495903587,0.015695745063987,0.0522138779714507,0.0363505924643517,-0.0228429629387709,0,0.0322155403711086,0.0322155403711086
"Ecad",-0.01843961788907,0.103191459952652,0.0488725601418875,-0.0174473801390915,-0.125129129575546,0.131699733842495,0.044081028155055,0.0444677883023568,-0.0169258195594032,0,0.0405851102738965,0.0405851102738965
