"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00308570377630509,0.0790638662534106,-0.00327062835981951,0.098154528699508,0.0978327215982036,-0.0105964545378228,-0.00377549302310491,-0.00378818484862804,0.0956829335753933,0,0.00387982451114307,-0.00387982451114307
"SNAIL",-0.00758017130709542,-0.0587099462593024,0.0816635391163121,-0.00673766243390886,-0.00365977990199755,0.0991574588802679,0.00144035353593581,0.0789586487149619,0.0688556825905067,0,-0.0787116103913146,0.0787116103913146
"OVOL2",-0.00305022652460349,-0.012268098578563,-0.00207943499280464,-0.00176044981841927,-0.00209297630408245,0.0789387681527975,-0.00358425569837477,0.0978304317196517,0.0971542063588873,0,-0.0977026329417158,0.0977026329417158
"OCT4",0.0981184295192914,0.0770505752481126,-0.00242439968368074,0.199204943844699,-0.00101,-0.00447330836513913,-0.102475406785712,-0.103024471178192,0.196269113079419,0,0.00313003787730913,-0.00313003787730913
"NRF2",0.0787116103913146,0.013935399272366,-0.00921068755602437,0.0799399634885589,0.0762420669735958,-0.0521324308144949,0.0688556825905067,-0.00673766243390886,0.00225771643876227,0,0.00670602792682066,-0.00670602792682066
"miR34",0.0787116103913146,0.013935399272366,-0.00921068755602437,0.0799399634885589,0.0762420669735958,-0.0521324308144949,0.0688556825905067,-0.00673766243390886,0.00225771643876227,0,0.00670602792682066,-0.00670602792682066
"miR200",-0.00507246417790637,-0.00117424411244519,0.0975880996380035,-0.00369606010590532,0.0958583500197261,0.0564878107542847,0.0942744504710127,0.0980793029297998,-0.102429901796752,0,-0.0979230599615911,0.0979230599615911
"miR145",-0.00380167406172074,-0.00697561620798832,0.098146385074923,-0.102402194060744,-0.00273685973480752,0.0750346198433745,0.0958962148241852,0.0984102857667457,-0.00245441257136917,0,-0.0982558287218369,0.0982558287218369
"KEAP1",-0.00670602792682066,0.0417702050490385,0.0826584596524451,-0.00570683465420307,-0.102537757099073,0.0998437359028492,0.00225771643876227,0.0799399634885589,0.0696423307088096,0,-0.0796718376273242,0.0796718376273242
"Iext",0.0787116103913146,0.013935399272366,-0.00921068755602437,0.0799399634885589,0.0762420669735958,-0.0521324308144949,0.0688556825905067,-0.00673766243390886,0.00225771643876227,0,0.00670602792682066,-0.00670602792682066
"GRHL2",0.00387982451114307,0.00681710535823979,-0.0979403574901854,0.00252105202071207,0.00287056454995387,-0.0721413358434608,-0.0956829335753933,-0.098154528699508,0.00258652834663516,0,0.0980072929894665,-0.0980072929894665
"Ecad",-0.00461741879553218,0.0662632122662826,0.0953691383212372,-0.00337535531198326,-0.102848572214264,0.156481137301164,0.0973814390771832,0.0952120900058608,-0.0080588503086111,0,-0.0949683789695933,0.0949683789695933
