"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.0801131915678437,0.0315808311110475,0.178120296231878,-0.035894039521716,0.0153258931063146,-0.0657303269026992,0.0153140391470922,-0.0309131962381617,0.0319240775909196,0,0.0424809544468847,0,0,0.202920359106411,0.198985615353679,-0.202920359106411,-0.03157535659492,-0.000463046291384365,0.000404232448958412,0.0657125667159635,-0.0401687857670254,0.18177890771437
"ZEB1",-0.0338256301042116,-0.0829872928297312,-0.0138801107911217,-0.0852740252365479,0.0827080721846724,0.00327465339357374,0.0823794981957841,-0.0723664627611096,-0.0788760846666768,0,0.00284017403717094,0,0,-0.00337626695465191,-0.00843649428451304,0.00337626695465191,-0.016932002584143,0.075436548886033,-0.0750229780753632,-0.00321962748020757,0.0773501221300678,0.0021796796430845
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0908018402392323,-0.118624816975952,0.0395710138403929,-0.0777561898988496,-0.11798180088072,0.00244076739400311,-0.118275194910217,-0.084030347565706,0.015430199450577,0,-0.0444203004585894,0,0,-0.106248410811454,-0.0921766859718481,0.106248410811454,0.118697376980877,0.0219756505343179,-0.0215500919887268,-0.00240624697319352,0.0679001669399159,-0.112149773367704
"TWIST1",-0.187944959055669,0.0060095572639783,-0.158672915126945,0.0594606264001585,-0.0730427570333992,0.0318622880892816,0.0270550432367159,0.0589807973684468,-0.0262836014111801,0,-0.00256498360242794,0,0,-0.0911548468174865,-0.0370243717096159,0.0911548468174865,-0.00604404154251793,-0.0337994339981176,0.0338498837391012,-0.0318689718664178,-0.0782227636251824,0.0486858894253515
"TGFbeta",-0.0227690360759609,0.00251333313154645,0.00965110057947905,0.0784715953020111,-0.0399348483284266,0.0920989429206886,-0.040081047158836,0.022147847427085,-0.0885860277341708,0,-0.0934221235074971,0,0,-0.008490599021261,0.0661185708672695,0.008490599021261,-0.00248854562946775,0.0327775555180136,-0.0327864734728293,-0.192098942920689,0.104398004144744,-0.00331222977100252
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",-0.0180626328040145,-0.0207027283632018,0.00834230155926988,0.0134633959568654,-0.0685300452465348,0.00358898826657697,-0.0685899374405855,-0.0907788174051222,-0.0170766576062994,0,-0.0209079134750671,0,0,-0.0194827292843455,-0.0114693281389099,0.0194827292843455,0.0207224887600173,0.00246647855033093,-0.00217182975268812,-0.00352825623171165,0.0393100063920172,-0.103645796275239
"SNAI1",-0.0340465028750143,-0.0861095029812447,-0.057911631197203,-0.0103270015900259,0.0102113087143012,0.0111606053527485,0.00982617114537818,0.0411861578618145,-0.107954040884522,0,0.00198279176016515,0,0,-0.0653579119387159,-0.0273257325893922,0.0653579119387159,0.0861917347387785,-0.0663461406340025,0.0666654469483581,-0.0111332464394922,-0.0124914790967604,-0.0972329225411348
"miR9",0.18009672756521,0.03157535659492,0.178152357790069,-0.0359779629415954,0.0153140391470922,-0.0657125667159635,0.0150711034611185,-0.0310214109103569,0.0318773234940919,0,0.042403869445847,0,0,0.202849019298798,0.198925098207154,-0.202849019298798,-0.0315095433770783,-0.000404232448958412,0.000870291212889516,0.0658062770957661,-0.040031082654935,0.281777578086267
"miR34a",0.0906440053436114,-0.00324550462977096,0.055513869988219,-0.148690328119283,0.092998509581832,-0.0217044658467925,0.0927079349210708,-0.0451426021478154,-0.0637203979952385,0,-0.0299204469344028,0,0,-0.00613134474139395,-0.0244298564964279,0.00613134474139395,0.00332146845023213,0.0518657515572279,-0.051803122944899,0.021701432179149,0.0221234490856731,0.0974197670602519
"miR30c",-0.163531251628775,-0.0932260791316687,-0.0360852294050129,-0.0777601345745912,-0.00410520467046145,0.0259302549231743,-0.00417177665696953,-0.0419331318833716,-0.00926008225936689,0,0.00136622995629612,0,0,-0.179032108298146,-0.112091361790514,0.179032108298146,0.0932490662736996,-0.00772331607752725,0.00803473293626364,-0.0259111388503803,-0.01174122312501,-0.0425404997404909
"miR205",-0.176171602543774,-0.0222186839646031,-0.0827729909869847,0.0995185736324255,-0.0925096637820593,0.0262585569827754,-0.0925267519570422,0.0881942481899944,0.0755326547480491,0,-0.014735973536303,0,0,-0.100569592177854,-0.0961487166902503,0.100569592177854,0.0222328941618406,-0.0818751581210311,0.081678907190531,-0.0262972488298505,-0.0715219702118347,-0.0949659760249472
"miR200c",-0.200798361511617,-0.00336210140183121,-0.102911342311226,-0.0707884931723859,0.0515747814756694,-0.083596382754575,0.0518329212042064,-0.0600740142224376,0.0638620980151823,0,0.0876328971551413,0,0,-0.102297924799189,-0.0975922845552444,0.102297924799189,0.00329175187576485,-0.00213975358421864,0.0018845842045442,0.0835808542478201,-0.0830979426676299,-0.0926355187162979
"miR200b",-0.188757685451542,-0.0139764430713997,-0.0371931419964489,0.0836788842411433,-0.05783839709746,0.136712152433618,-0.0579910603777776,0.0696095784347245,-0.0743032334790918,0,-0.10502989120426,0,0,-0.101945785347536,-0.0709167724626458,0.101945785347536,0.0140180973960442,0.00230505792542763,-0.0022522642606674,-0.136737236944529,0.0992710689289967,-0.049652749004881
"miR200a",-0.188757685451542,-0.0139764430713997,-0.0371931419964489,0.0836788842411433,-0.05783839709746,0.136712152433618,-0.0579910603777776,0.0696095784347245,-0.0743032334790918,0,-0.10502989120426,0,0,-0.101945785347536,-0.0709167724626458,0.101945785347536,0.0140180973960442,0.00230505792542763,-0.0022522642606674,-0.136737236944529,0.0992710689289967,-0.049652749004881
"miR141",0.188757685451542,0.0139764430713997,0.0371931419964489,-0.0836788842411433,0.05783839709746,-0.136712152433618,0.0579910603777776,-0.0696095784347245,0.0743032334790918,0,0.10502989120426,0,0,0.101945785347536,0.0709167724626458,-0.101945785347536,-0.0140180973960442,-0.00230505792542763,0.0022522642606674,0.136737236944529,-0.0992710689289967,0.049652749004881
"miR101",-0.157848221830217,-0.102492509426322,-0.02979895637233,0.0199864550602697,-0.00808017560954555,0.0275655054374856,-0.00806179363205327,0.057714950280973,-0.00910507816182914,0,-0.0369012155272419,0,0,-0.132610388343587,-0.111371540538176,0.132610388343587,0.102494896248337,-0.074496153469542,-0.025426146452758,-0.027577820925091,-0.000407412128170249,-0.0288615690753347
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.0631580270768068,0.0526839512907077,-0.039776750405228,-0.0111992168639552,0.0319235327010398,-0.00595591313377112,0.0321188824946741,0.0424769565279853,0.0531667028078108,0,0.0581422183697629,0,0,0.057336086446667,0.0790889088823148,-0.057336086446667,-0.0527286641213247,-0.0977049942409428,0.0977131454339281,0.00596159190463272,-0.137159083561409,0.00116673193581111
"FOXC2",-0.0339278054014825,0.016932002584143,-0.0140021992741082,-0.0851076446740232,0.0823794981957841,0.00321962748020757,0.0825270570589393,-0.0724801793534922,-0.0789783810439741,0,0.00297820180686601,0,0,-0.00329465981489534,-0.00827226946257703,0.00329465981489534,-0.0169864659068328,0.0750229780753632,-0.0749620148565052,-0.00320855757374828,0.0771480707689203,0.00211044308484384
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
