"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.481019086930701,-0.139204381708569,-0.316286028526144,-0.0524017214842906,0.0816770942366092,0.119804819071511,0.0783698396135651,0.00677457202494959,0.0756200362743647,0,0.12785115635677,0,0,-0.460430218989122,-0.427360479166799,0.460430218989122,0.13644572326363,0.0322473729289401,-0.0292855078243691,-0.118617423729754,-0.0314264484232758,-0.307729253587568
"ZEB1",-0.313590174834984,0.342459820441477,-0.207471277436778,0.391309649767123,-0.211908616596034,-0.019488074533892,-0.207192086337357,0.28339440749932,-0.175120466856838,0,-0.41129315073567,0,0,0.468936078222439,0.373217626087206,-0.468936078222439,-0.438921851690694,-0.228323133307919,0.2232003063322,0.0187548222464776,0.183502099788583,-0.204067478338955
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.122332450184342,0.171469077113586,-0.0879481666282401,0.305060589510091,-0.277591332467674,0.050525298015914,-0.276008583510341,0.354944381144639,-0.0840095194640174,0,-0.129114732706519,0,0,0.024821810409177,-0.0775445204794251,-0.024821810409177,-0.170577688447019,-0.23993216731865,0.237866956729752,-0.0503402459240331,0.149996288691856,-0.0256515309793531
"TWIST1",0.143531710806938,0.265795227531459,-0.167146336484787,0.0300052514768676,-0.0612624959544049,0.00785156845168392,0.0407757858656116,-0.0327419399047811,-0.039916431352559,0,-0.206907937638203,0,0,0.0798550116264403,0.0828954707180146,-0.0798550116264403,-0.264396410368141,-0.0193606017999397,0.0171691142708696,-0.00803203043435957,0.019079483672237,0.0370329096176906
"TGFbeta",0.0554479221408642,0.0122829836389051,-0.129186398755776,0.0563061685171373,0.0764384679153477,0.104106611236512,0.0762810230210607,0.07678392816069,0.0935477250237709,0,0.0879080026933886,0,0,-0.0173385935354256,-0.107042891819137,0.0173385935354256,-0.0123291072187225,0.00747735230133867,-0.00744168048207589,-0.204064667634525,-0.0330203650835218,-0.0836931804169702
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",0.0683470004611497,0.0985830799409908,-0.267012248162406,0.478955216245487,-0.261317834847725,0.236086467747634,-0.259417255889849,0.435737565910459,-0.110968676547887,0,-0.100947975759647,0,0,0.0156411997741923,-0.266774674075664,-0.0156411997741923,-0.0975230518745289,-0.428869952896223,0.426214945450797,-0.235702401780669,0.170152981115947,-0.163494996057999
"SNAI1",-0.0472790465115622,-0.142077571846779,-0.0255620333694001,-0.217066380435113,0.112481912826855,-0.0318961465114646,0.111315417024577,-0.256272260522582,-0.0258151250142596,0,0.156102977674215,0,0,-0.0439365117980182,0.0361320035304153,0.0439365117980182,0.141310590679706,0.216703432997087,-0.215166954447733,0.0318442042268764,-0.172848767302423,0.000723554083157734
"miR9",0.575748254087368,-0.13644572326363,-0.315334383185271,-0.0482107957040651,0.0783698396135651,0.118617423729754,0.073626200692711,0.00956351055687292,0.0740303969822217,0,0.124373436886877,0,0,-0.454637886867799,-0.423474544818734,0.454637886867799,0.1324481010315,0.0292855078243691,-0.0252125594961016,-0.116759753259548,-0.029318060773715,-0.207016572924349
"miR34a",-0.0286736793228257,-0.303410371110563,0.116551978844662,-0.499853478190674,0.267276944070412,-0.0528786662109935,0.263835185952658,-0.435633324138532,0.179552537896752,0,0.25426772999156,0,0,-0.20668644315203,0.00838307550153737,0.20668644315203,0.30123101156578,0.319178747700502,-0.315016181716785,0.0528173861245946,-0.250931060547871,0.0946038635526092
"miR30c",-0.286926772237079,-0.1227269998531,0.150676717833438,-0.337498595188512,0.203692182589547,-0.10693630862248,0.20259596387838,-0.392759345327462,0.0697477655087504,0,0.138122778827958,0,0,0.161866958677604,0.222394471764019,-0.161866958677604,0.122350307332078,0.26706819854244,-0.265194419138179,0.106337975544028,-0.191452537072124,0.143192829654345
"miR205",-0.534219267295807,0.405278611038257,0.0343347480159921,0.343231707747747,-0.197799634927215,-0.0591897253211674,-0.19149409835852,0.2233560076399,-0.172842456267591,0,-0.380964995854151,0,0,0.45927982636559,0.388216525021156,-0.45927982636559,-0.400471301312798,-0.194635501163815,0.188152453183847,0.0578944696786064,0.163607380793112,0.0322895044918182
"miR200c",-0.452959637324531,0.335431202999899,0.0821160879039685,0.154101110468914,-0.186766966494086,-0.162104753207527,-0.182778291333789,0.0201233425229683,-0.174428470059967,0,-0.313403501175081,0,0,0.385839349767626,0.329984588331491,-0.385839349767626,-0.332295095179994,-0.0951476280737025,0.0909681296135177,0.161214850320419,0.0949997466672464,0.0649774337440247
"miR200b",-0.452959637324531,0.335431202999899,0.0821160879039685,0.154101110468914,-0.186766966494086,-0.162104753207527,-0.182778291333789,0.0201233425229683,-0.174428470059967,0,-0.313403501175081,0,0,0.385839349767626,0.329984588331491,-0.385839349767626,-0.332295095179994,-0.0951476280737025,0.0909681296135177,0.161214850320419,0.0949997466672464,0.0649774337440247
"miR200a",0.160462208875013,0.273980251624459,-0.118081460418071,0.134392881203891,-0.154174901864951,-0.082745455752932,-0.152245793140938,0.0203803270009398,-0.146491049527172,0,-0.261985493887852,0,0,0.0561321281629166,0.0562624048683262,-0.0561321281629166,-0.272587145878013,-0.0830449646666817,0.0806340539759646,0.0826606462160398,0.0824282282107486,-0.128857866164783
"miR141",0.413505592279954,-0.344570752071195,0.0378060382480784,-0.207297405453546,0.0203403779289863,-0.0658589326648256,0.0161351984802396,-0.200629812512934,-0.0170537615472866,0,0.223958254079077,0,0,-0.372833355418559,-0.258249869108482,0.372833355418559,0.341443900767877,0.0894582851720007,-0.0852083951588022,0.0666484975082863,-0.0280046155057893,0.0234539665347855
"miR101",0.295676088225406,-0.324346938483177,0.00084612659721905,-0.260644233273747,0.145258023581347,0.0197196951134381,0.141158842600566,-0.27381021807216,0.106751449087447,0,0.248389943010656,0,0,-0.302834399862637,-0.212378517189693,0.302834399862637,0.321429901006662,0.23897965174402,-0.334560459824828,-0.0191848510802919,-0.190192408115695,0.00724762487342448
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.155918747407296,-0.137130996383153,0.104040658823898,0.0323128585023883,-0.136183655443658,-0.0125440494585988,-0.136502384054324,0.111103292437822,-0.031285947032068,0,0.0532584341034086,0,0,0.00304705591664304,-0.0221157853347326,-0.00304705591664304,0.136801792025863,-0.120775994753019,0.121228968191774,0.0125749672110675,-0.0285321601085734,0.0376598912733187
"FOXC2",0.308134606281282,-0.438921851690694,0.207677691298403,-0.384355998638112,0.207192086337357,0.0187548222464776,0.200102845303161,-0.278532618969067,0.17296871547231,0,0.406742710912048,0,0,-0.46250300475865,-0.369523490205005,0.46250300475865,0.433707255520213,0.2232003063322,-0.215508780219621,-0.0177419258054525,-0.180141260735602,0.204160797178323
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
