"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0646177506875366,0.00835335129408549,-0.052146329588227,0.00403314877381399,0.0333951444804616,0.00902694915682502,-0.0348057656279248,0.0228375749965132,0.0395596622449147,0,0.0037260553308605,0,0,0.0192482950653537,-0.0381198521743917,-0.0206219550886132,-0.00430270704307394,-0.0298354728702132,0.0312917036086798,-0.00811610529423813,-0.0450742322108053,0.035059266033041
"ZEB1",0.00295293858438694,-0.0722169512562347,-0.0416165790946842,-0.0274837025688821,0.101005444451284,0.000168965737875729,-0.105972885756022,0.0818095215538604,0.108822078419365,0,0.0250189115291766,0,0,-0.0141433662142971,-0.0235273337593938,-0.01599761132514,-0.0218670516912372,-0.0903098870468433,0.0961223937125619,0.000788229220215,-0.119830901617788,0.0170695282279746
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.0199981751899098,0.181903365456659,-0.0202724015297957,0.0389700908757398,-0.193300305256775,0.0120840733810195,0.194919892926332,0.0933483743390693,-0.0803912048799224,0,0.151805571084019,0,0,-0.0858021120421175,-0.103226536562844,-0.10463806922889,-0.185096445430977,-0.00488237321934818,0.00300699511892471,-0.0127410931934774,0.118045037197648,0.0149481327915928
"TWIST1",0.117826601622701,-0.158827455296942,-0.111767962126832,0.130295859784653,-0.00410311881787734,0.0187559757453131,-0.096677730957803,0.0341652955468001,-0.000955241973278843,0,-0.11846000746945,0,0,0.142621301809385,0.0100669700682879,0.02681327515086,0.159712897486512,-0.0161158633347232,0.0169882747092941,-0.0187238936150596,-0.182328657472041,-0.15657230109341
"TGFbeta",0.113739607489251,-0.142834442268778,-0.0951506459494153,0.118269595378657,0.0660973230684804,0.104376589786642,-0.0655237738107206,0.0278996054409215,0.102058957322306,0,-0.180895172767348,0,0,0.129989213501529,-0.0613330518029357,0.0177951473163996,0.14265653703234,-0.0651872356359663,0.0644173188702112,-0.204468543067922,-0.149631193870721,-0.0504056554569283
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",0.0132990038406329,0.0302880378008722,-0.0198565599581169,0.0786788319709039,-0.0648626976873719,0.00727453263208136,0.0638365447626364,-0.0241339107211434,0.0101816805729319,0,0.0154639931604637,0,0,-0.00861567912460036,-0.0326489081256839,-0.0201018276324506,-0.0283491744590877,-0.0406555648945727,0.0418500014183506,-0.00678782097238605,0.00841742302535839,0.0357293738352234
"SNAI1",0.07176025696367,-0.143740884010631,-0.0678514474832768,0.0348727461300152,-0.0059083066050272,0.000565198344630083,0.00626019488742447,-0.0760046571021143,-0.0925047232684689,0,-0.134239457658371,0,0,0.114828571221067,0.049474137526263,0.0354044475652519,0.142481748866138,-0.0166109463362932,0.016323863594946,-0.000787638204584168,-0.0957745488905491,-0.13253564751609
"miR9",0.033181952960416,0.00430270704307394,-0.0556177219342587,0.00738484035524593,0.0348057656279248,0.00811610529423813,-0.0335910871980565,0.0210129256227654,0.0387180885020155,0,0.00753286845902913,0,0,0.0177777745148865,-0.042400064901331,-0.0255006774156717,-0.0101600834309898,-0.0312917036086798,0.0300556347130364,-0.00951073624071296,-0.0450405714500721,0.13835674372853
"miR34a",0.0124259994356115,-0.00970526953959882,-0.0772686543384339,-0.00838298115445028,0.0875359933870103,0.00963085335548594,-0.0852170383273437,0.0332472414486033,0.116280136277167,0,-0.0708783626596364,0,0,-0.0306524941648266,-0.0349931813740624,-0.0422039193342788,0.00684270743563691,-0.0668119057572369,0.0640271692447559,-0.0102127108095107,-0.163456201455179,-0.0142945235706953
"miR30c",-0.11644998596849,0.124635231401265,0.0171793093928817,0.0587165353788759,-0.0966363992102476,-0.00186078782810072,0.0968183626400363,0.102408899977491,-0.0139493822696057,0,0.121930663066128,0,0,-0.154318273460137,-0.0253365723346751,0.0609391808540579,-0.125375269070517,-0.027200251542148,0.0270331069004533,0.00172315210398388,0.113015440539828,0.0446597137418102
"miR205",0.0204223518850073,-0.0098410315491503,0.00643210905870489,0.0165763116003428,-0.0934199746886379,0.00430763114031031,0.0889941373680637,-0.0777057795909415,-0.0929332167793119,0,-0.018837830567653,0,0,0.0169997694085309,-0.0020322957507459,-0.00257947503813598,0.0136877319413517,0.0882046004343059,-0.0829328944046652,-0.00386728107121772,0.0993484211672032,0.0023087750070532
"miR200c",0.0468110669683912,-0.0543114756234784,-0.0431518186118,0.0703702456339446,0.0441303280468198,0.119651451255434,-0.0474139764216498,0.0251034207098088,0.0726501016780695,0,-0.144114727988148,0,0,0.052324474599132,-0.0222849578602988,0.00681690207660691,0.0569449545926727,-0.0465558148751261,0.0505153397321432,-0.119294295600071,-0.120558952578001,-0.0180602526437019
"miR200b",-0.0486818255740432,0.00495305733700362,0.134455116895634,-0.0282483171409559,-0.130172140020369,-0.119698256360948,0.127177164030139,-0.0719918789894425,-0.146378227999588,0,0.00351733989129885,0,0,-0.0251548739707128,0.0892672173027211,0.0231318304236052,-2.11852990889314e-05,0.111658602808176,-0.108227014598761,0.120516489216879,0.178294790375367,-0.0550120165493609
"miR200a",-0.000458055303607446,-0.0630783376610354,0.0371215158814038,0.0676273646625635,0.0299175410952072,0.108907565940787,-0.0337285717111341,0.0185135107548579,0.0591498117426114,0,-0.149992878544269,0,0,0.0340448184911222,0.0424386651930528,0.0365655929111333,0.06826568955677,-0.0360256063977222,0.0405218668464683,-0.107945993022503,-0.102038441325548,-0.0903656144507749
"miR141",-0.00141270330204454,0.0137199193745606,0.0541817824024302,-0.0255054361695748,-0.115959353068756,-0.108954371046301,0.113491759319623,-0.0654019690344916,-0.13287793806413,0,0.00939549044741956,0,0,-0.006875217862703,0.0245435942493694,-0.00661686041092123,-0.0113419202631862,0.101128394330772,-0.098233541713086,0.109168186639311,0.159774279122913,0.017293345257712
"miR101",0.0259193437188637,0.141383787002586,-0.0534681890437541,-0.0416139071090416,0.0247954866962217,0.0101049465741265,-0.0222485615925678,0.0870253571310621,0.00877735250542225,0,0.098837866839026,0,0,-0.0633901888762818,-0.112839519748559,-0.087699918492715,-0.146058207431054,0.000500130224529355,-0.103375033099432,-0.0109230468221956,0.0740710157924136,0.0587473998793275
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.153821301045221,0.194145045611382,0.0327058288124196,-0.072088483618823,-0.166387503173134,-0.0198620884177845,0.167102806552832,0.00975132047447444,-0.0835295770294278,0,0.162355307319096,0,0,-0.177337642734447,-0.026868987794244,-0.0313122221485423,-0.195183759061099,0.0862134391762638,-0.087064656615159,0.019686046521075,0.218243286431836,0.0858541666865631
"FOXC2",0.00198775222552952,0.0218670516912372,-0.0463736303461828,-0.0199780905260985,0.105972885756022,-0.000788229220215,-0.0987168390504339,0.0765208915962751,0.106292888677222,0,0.0299901495263564,0,0,-0.0182787067360041,-0.0293379400995791,-0.0213229112747866,-0.0305950661293572,-0.0961223937125619,0.0875875430724481,-0.000573369274277722,-0.120162512630359,0.0218789604547494
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
