"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0866439653562462,-0.00848344956336805,-0.0155946886147902,-0.0487502882003525,0.059873868446218,0.000703021028120408,0.0607747693471189,0.056197814946332,0.0864339725502092,0,0.0493188955734202,0,0,-0.0024305293803315,-0.00645771327773161,0.00893396980292028,0.00882137651341558,0.0146821759481143,0.0160160738943349,-0.000350354462940523,-0.0535064976360662,0.0133394643709327
"ZEB1",0.0277117625465361,-0.08632012983997,-0.0211222933303103,0.0184827419116782,0.00228787786200673,-0.00745956398080037,0.00210865568624952,0.0880353103864574,-0.084164242951664,0,-0.0250829887231013,0,0,-0.0190343490820622,-0.00431986653452148,0.0015023266439796,-0.0136477888338682,-0.085946097174125,-0.0860183831897436,0.00720490917243132,0.0894069344667664,-0.0129214512011868
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.0976630417745353,-0.025174374339906,-0.0259599228107174,-0.0720528393994444,0.0494796707132472,-0.0342986835710335,0.0508466500704116,0.0483276379718433,-0.00242422419439757,0,-0.00301745785835695,0,0,-0.036820728053709,0.0335489957953769,0.0649985983227717,0.0253630303527118,-0.0271528598082883,-0.0270172651736637,0.0348583671149791,0.0107899167060366,-0.0595715832429537
"TWIST1",0.0192011596919399,0.0110213962338473,-0.124957375589632,0.0559174185079056,0.0977855177515645,-0.018588048334718,0.196172589487286,-0.033972287255465,0.014247910141451,0,0.0477881254088855,0,0,-0.0148628018871545,0.0265771184131454,0.021995446382766,-0.0113706467841697,0.0233898937118883,0.0226528353009321,0.0179477424850763,0.0883761540387089,0.150313963287163
"TGFbeta",-0.003300430763214,0.0792273327516216,0.10520060577806,0.124673361183242,-0.0861428544861789,-0.095279773171249,-0.086180341365771,-0.061806644691796,-0.135590165788399,0,-0.153716512672171,0,0,-0.0370269058764809,0.0641954993029383,-0.0394216550353217,-0.0794272015974967,-0.0367566757311391,-0.0374314676455267,-0.00398298736304794,0.0770970165466339,-0.0570006654130535
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",-0.0310039152379842,-0.00484037427133043,0.00212509265059188,-0.00671806949543522,-0.0648881946808902,0.0150373579285473,-0.0657346710234735,-0.0903068203198111,0.0269053284922444,0,0.00751623276059423,0,0,0.0170636544080653,-0.0174145995109689,-0.0140898641145261,0.0042452179130041,0.0113902135590388,0.00977122930532396,-0.0139758303895633,-0.039326817740671,-0.0142918161853936
"SNAI1",-0.0337356259544717,-0.0777811676345009,-0.0871650537852033,-0.0528233468294215,0.0116199109304597,0.0237918991479955,0.0130930390418079,0.0300127993879842,-0.0561343295426821,0,0.105627197138782,0,0,0.0611939774948377,-0.00352080321565528,0.0116701990425803,0.0780600136694463,0.0548048816777455,0.0554317766435446,-0.0231023752327367,-0.0496364986878245,0.105955963956014
"miR9",0.0125504745148642,-0.00882137651341558,-0.0160173182454993,-0.0478376210091645,0.0607747693471189,0.000350354462940523,0.0592276526101287,0.0565267446925097,0.0858682479785936,0,0.0495056784605499,0,0,-0.00308179278531147,-0.00615329369218237,0.00906744428167943,0.0083436999323061,0.0160160738943349,0.0138073606217919,-0.00232929718936134,-0.0552782776782951,0.113843393421977
"miR34a",-0.0829484955781242,-0.0779641436451355,0.0366306865502765,-0.0419444444836341,0.0153230971438879,0.00577081564495466,0.0144034142370129,-0.087815381697651,0.0975826108240106,0,0.0867504896235714,0,0,0.118772129537658,0.0656934546397888,0.0538870984209213,0.077758427957427,0.0902787871669155,0.0896592112520904,-0.00603959859816943,-0.0938528247804657,0.072871949179026
"miR30c",-0.0181225009751296,0.097307484257071,0.0225767123736852,-0.0354897435383495,-0.103572777485874,0.0437828541523338,-0.101415845123013,0.0469035280120146,-0.0305656296657231,0,-0.109694300828432,0,0,0.0105643881355599,-0.0556138512844253,-0.0740281654750179,-0.0969137367597034,-0.0376623865959034,-0.0366296086519584,-0.0425594254935175,0.0257106672889786,-0.0688850036724442
"miR205",0.0132326255280769,0.0048805082493066,-0.0157843629293046,-8.50259089792825e-05,0.0210860246102899,-0.00283995036424282,0.0204366739609393,0.10567175097177,-0.0629762330928457,0,-0.00270437111829306,0,0,-0.00914511690000943,-0.00514430929946235,0.00364267521705792,-0.00516044913488609,-0.085020765308904,-0.0857110272023871,0.00266123088013411,0.0754103958316005,-0.00403733915864263
"miR200c",0.00507017874650916,0.0133386221947096,-0.00643441716058132,0.0772605942364253,-0.0742409197093671,0.0831515382478617,-0.0741215647811188,-0.0477468421476561,-0.130185020500251,0,-0.119118397227563,0,0,-0.00898416056736857,0.0190029597783058,-0.00437651443212753,-0.0133043730833352,-0.0414440481681695,-0.0412592703415087,-0.0835469179198519,0.0753446374598157,-0.0255799620015199
"miR200b",0.0180192925501342,0.00749890654528169,-0.0617246505654917,-0.039470184767265,0.0764295376790371,-0.0909410776922224,0.0761380895984309,0.104816980404105,0.076146741131616,0,-0.00999528204779739,0,0,-0.0129903105292056,-0.0574318000329256,0.00499411291179744,-0.00768959078698786,-0.0143280383852727,-0.0144512236030466,0.091962375636487,-0.0443785950579913,-0.0366536312970334
"miR200a",-0.00507017874650916,-0.0133386221947096,0.00643441716058132,-0.0772605942364253,0.0742409197093671,-0.0831515382478617,0.0741215647811188,0.0477468421476561,0.130185020500251,0,0.119118397227563,0,0,0.00898416056736857,-0.0190029597783058,0.00437651443212753,0.0133043730833352,0.0414440481681695,0.0412592703415087,0.0835469179198519,-0.0753446374598157,0.0255799620015199
"miR141",-0.0109159339137489,0.00281883661589364,0.112548469207927,0.0566602971586204,-0.100678174161432,0.0964345351565122,-0.0997150076474284,-0.120372616841629,-0.104280184818303,0,-0.010632268955179,0,0,0.0040623240333992,0.0285970317319852,-0.00626534273747279,-0.00241988075096473,0.00787487861829636,0.00895714874588105,-0.0965981817276985,0.0660894936934918,-0.0176796052915665
"miR101",0.0702157640303582,-0.0190562371803154,0.0292747801704246,0.00512829771157491,0.00646585952298677,-0.0360497968887842,0.00710922873521691,-0.0455217219140075,-0.00768673151077531,0,-0.0198889968668303,0,0,-0.0264884251586688,0.069310753161406,0.0477884386026177,0.0190013402739777,-0.0313417467167736,0.0680884527134258,0.036433336359922,0.0210753385238914,-0.0214091450111453
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.0600990865585658,-0.0707688920756106,-0.0578180981500232,-0.031067936838814,0.211149089636748,-0.0312492522418374,0.210883237661953,-0.0271064805146749,0.135952514137658,0,0.0917342041947356,0,0,0.000419821455638966,0.0787716302524649,0.0665456978894724,0.0708283453998376,0.131679179201917,0.131570884780827,0.0305873599491914,-0.0958149998575846,0.108328881125421
"FOXC2",-0.0277795832511014,-0.0136477888338682,0.0211219266982293,-0.0183876673045212,-0.00210865568624952,0.00720490917243132,-0.0019097720011273,-0.0881220799190337,0.0839643534787843,0,0.0252926417138273,0,0,0.0191460524719418,0.00436322926840346,-0.00141840440805973,0.0138282653345463,0.0860183831897436,0.0859472594344093,-0.00792998804551484,-0.0896244095959405,0.0130147700405546
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
