"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0874227325749037,0.0494671491965958,0.00956104267418714,0.0300671010748973,0.0381298028631911,0.0100807224061427,-0.0383787360068611,-0.00918585638906368,0.0380119077982344,0,-0.0579891372560346,0,0,0.0294582473747699,-0.0244809915304822,-0.0157737653409041,-0.0493959804869393,-0.0142590690509755,0.0144402156856474,0.00995132675992562,0.020072590427087,0.0238320229677051
"ZEB1",0.00368787413993308,0.264624859803715,0.279776555425216,0.123804642120502,0.0824521731706119,0.156108517309821,-0.0831272433659641,0.163422883765513,0.102391946480608,0,-0.336257742669532,0,0,0.295854758074391,-0.301806337781144,-0.292450903463766,-0.364300537647048,-0.134262621085146,0.134548210097672,0.15562480114116,0.139863890928105,0.248596773005833
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.00842882499632068,-0.170663713889665,-0.0280668548660772,-0.0949111901427932,0.186920605076184,-0.0350317825888685,-0.186611423027162,0.0627298491018034,0.119809658574831,0,0.0416166015441606,0,0,-0.0908857102140535,0.0427693212153157,0.0832987281128306,0.170560370852347,-0.0874808709026932,0.0872764359151053,-0.0348523895823662,0.139813278470843,0.03503194809778
"TWIST1",0.0953827167239814,-0.0783913793956107,0.0540051448900752,-0.0678631282734476,0.0444085006857959,-0.0270349414990521,-0.143876032548503,0.0255758679000018,0.0385870298827655,0,-0.000912939063581565,0,0,0.0113268582154948,-0.014808663598453,0.0846284731953744,0.0784979435947068,-0.0319615355658511,0.0313647520444591,-0.0270630133630239,0.21464024414815,0.0656192726125022
"TGFbeta",-0.00899230207873894,-0.0895290803305549,0.0629062860752209,-0.128433027752699,-0.185651364025483,0.0752955689645937,0.185505165195074,0.0582293504973431,-0.163791555928406,0,0.167650725671497,0,0,-0.0478818127840228,-0.0567544168736713,0.0399092929437608,0.0894365194050711,0.051933196930718,-0.0516686309378523,0.175392361892257,-0.120140707147002,-0.0289255071668616
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",0.00501119472789052,0.051260161741644,0.0131618200674082,-0.00298757104300211,-0.0925523973694543,0.0144182142575158,0.0920093748100612,-0.0799531852038251,-0.0224120487072113,0,-0.0207373571891537,0,0,0.0282627292199979,-0.0265837801006044,-0.0236352993975747,-0.0513073857408134,-0.000249269130253972,0.000724509126452052,0.014376300599651,-0.0345872902006511,-0.0869532513782008
"SNAI1",0.064526002035712,0.0876140445328605,-0.0783861687344325,0.063502078383322,0.0708050581880839,0.00720232080436656,-0.0715171470745099,-0.0313509581296938,-0.0190426745483656,0,-0.129907629781243,0,0,0.0782619119858522,-0.0408742501519759,-0.00550747520757751,-0.0877862365965685,-0.0739265007539311,0.0747862842701088,0.00725743513686855,0.178423016998689,-0.0361563604343484
"miR9",-0.0125866754266016,-0.0493959804869393,-0.00943133909786606,-0.0298153308152592,-0.0383787360068611,-0.00995132675992562,0.037956795078591,0.00941621435462785,-0.0379020356706893,0,0.0578231080230303,0,0,-0.0292580356566312,0.0243526218257325,0.0156172780209796,0.0490669143977305,0.0144402156856474,-0.0138323129500851,-0.00960404711712753,-0.0200389296663538,-0.123647204661385
"miR34a",-0.0120659870129496,0.186127826077454,0.058991096543666,-0.00126921058271146,-0.0920173107294361,0.0506802000157875,0.0915095103514069,-0.0651018720832146,-0.127667141141874,0,-0.0464944449274122,0,0,0.144063979881024,-0.0436756176445311,-0.154551964716197,-0.186008454359586,0.0925219320393704,-0.0921953685607983,0.0504538884095818,-0.164658930595924,0.0647269463876345
"miR30c",-0.0145513628692639,0.0739046486732714,-0.022860590072388,0.0955511858428454,0.142600328427418,-0.00251396058006057,-0.14204112374075,-0.0550293478474357,0.0588823402829428,0,-0.101493051625258,0,0,-0.0207666230747654,0.048274869159224,-0.0601036688995086,-0.0737837807974316,-0.0184861737067799,0.0177349025277943,-0.00256557397660438,0.157304174422452,0.0167859862155627
"miR205",-0.00759661968501666,-0.326934644814493,-0.155869418637595,-0.124918741879904,-0.10083604660109,-0.0962344497891152,0.100314857264111,-0.142784408985604,-0.113228080917732,0,0.311438153357476,0,0,-0.170456060846629,0.173650815853738,0.163349853035334,0.326080611960517,0.128799374267726,-0.127513592309277,-0.0953482222442051,-0.13361156653808,-0.140105006546187
"miR200c",0.00108513488116065,0.277247575310501,0.0921398219339187,0.123971873935783,0.164085443759376,-0.0307134360541068,-0.163966088831127,-0.0215616614838097,0.15552659191388,0,-0.271263775944144,0,0,0.141313649653584,-0.0828029180119706,-0.140281516701109,-0.276837511625667,-0.0672445752176762,0.0667342364583274,-0.031142261740646,0.0980940712094903,0.0725856790885834
"miR200b",-0.00216026457032019,-0.277193830642159,-0.123078608591227,0.00261487032198303,0.0983646147317939,-0.187016221719977,-0.0987393336925733,-0.142191988282821,0.0853724711432371,0,0.154165692032705,0,0,-0.141997329772389,0.171992624763407,0.140077436214194,0.276634737040264,0.029217354046478,-0.0283198617455541,-0.186446444972124,0.0231966246704063,-0.116399194371902
"miR200a",-0.00216026457032019,-0.277193830642159,-0.123078608591227,0.00261487032198303,0.0983646147317939,-0.187016221719977,-0.0987393336925733,-0.142191988282821,0.0853724711432371,0,0.154165692032705,0,0,-0.141997329772389,0.171992624763407,0.140077436214194,0.276634737040264,0.029217354046478,-0.0283198617455541,-0.186446444972124,0.0231966246704063,-0.116399194371902
"miR141",0.0043249302718849,-0.251648356654281,-0.167274119282222,0.0135868748933292,0.113715828795398,-0.184453727283775,-0.113907351819797,-0.143795080165569,0.0984767766682737,0,0.130007699683413,0,0,-0.125630901681504,0.125781327517365,0.129617785521241,0.251232739059495,0.0235296414193308,-0.022896117442208,-0.184034457601393,0.0317715943642498,-0.056333485706926
"miR101",0.0121154643629334,0.165513037816715,0.0727849089273644,0.014071300878806,-0.0389725038995894,0.0515515165664986,0.0384230870167643,0.0755618874891277,-0.0453535518491265,0,-0.0716488278777202,0,0,0.0914022008847256,-0.11331528078035,-0.0806674415037213,-0.165363349978937,0.0346738195947987,-0.134243231664211,0.0512858539052977,-0.125974717849489,0.0641376550669561
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.0110630511026314,-0.11746817790202,-0.0440141283528072,-0.0377079617039839,-0.248631257826592,-0.0404971863452241,0.248036395673044,-0.0440467420149812,-0.162002414784389,0,0.127141510640162,0,0,-0.0478587604206406,0.0450079846571935,0.0713906861372995,0.117201866317466,0.152578652183866,-0.151720448008126,-0.0403072630086307,-0.0966701629751881,-0.0135816571569902
"FOXC2",0.00370179367318447,0.364300537647048,0.279291501182,0.123337191968646,0.0831272433659641,0.15562480114116,-0.0825562547215809,0.162866157509915,0.102183826264728,0,-0.335651166578926,0,0,0.295225630692013,-0.301308127647181,-0.291868078004653,-0.363182437669474,-0.134548210097672,0.132922524261459,0.154467995916164,0.139846924783275,0.248090710626035
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
