"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0846431932211267,0.0421615071892816,0.00750916517665883,-0.000769097675401548,0.0103020586438189,0.00623420814381795,0.0102368618680958,0.035508286389135,0.0041766688922762,0,-0.0347051430687864,0,0,0.0270564643984548,-0.00462343890082866,-0.0270564643984548,0.0419380473946257,0.0198859073577893,-0.0197518117970581,-0.00611496117573554,-0.0158217970485339,0.0300756613519837
"ZEB1",0.0718215177787284,0.339335288826878,0.248406605317493,0.160296273337404,-0.162821655467711,0.15629651850091,-0.161390865097916,0.141286638735083,-0.133554709905771,0,-0.398069303179741,0,0,0.363585668257073,-0.266348806134777,-0.363585668257073,0.436867031795303,0.0053246460973501,-0.00497743621905131,-0.154831293598485,0.177181303866665,0.327300734509557
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0520024594334105,0.182926458375162,0.123020878334717,0.17410224807977,-0.0717623160042738,0.0735186906316975,-0.0711794749501604,-0.184018700521706,0.0884590597162646,0,-0.0578964301928216,0,0,0.0663767121220176,-0.137217698844016,-0.0663767121220176,0.181912817094236,-0.0522773414855837,0.052369128622868,-0.0729069435022685,0.00214866048533618,0.151001255409272
"TWIST1",-0.0142688747366305,-0.167700785740721,-0.115167033424576,0.0869692457619835,-0.0938722696447756,-0.0263782550879537,0.00584364385631877,-0.126034195438337,0.00146918344691638,0,0.075234072637432,0,0,-0.104984760267541,0.0146311105422299,0.104984760267541,-0.167194411334797,-0.0797455849226206,0.0796459159221407,0.0260801586276821,-0.00280417848651358,-0.18020959614495
"TGFbeta",0.0291606603054991,0.198694883310438,0.079869137488391,0.162780206173922,-0.110306724942492,0.149008759795647,-0.109137134299217,-0.0965728550365228,-0.0262253499773868,0,-0.174945023877236,0,0,0.116706633455408,-0.164813822912629,-0.116706633455408,0.197165274796088,-0.061728027966796,0.0617696450892692,-0.248042443734473,0.130395496789145,-0.000135166291504498
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0580255734549048,-0.127652122465101,-0.267485636493699,-0.37072893241869,0.198864720270435,-0.240436502578149,0.197822596093952,0.262455381290506,0.00599991934533105,0,0.0834893172059565,0,0,-0.0937263803563894,0.269704317357508,0.0937263803563894,-0.126007320621691,0.286266997230205,-0.286358876962804,0.239436562454804,-0.0818988028506987,0.0559703813417625
"SNAI1",-0.102096619217194,-0.185410510736305,0.0834575464558905,0.030118960810147,0.0165644134127318,-0.0161070966099095,0.0163510638241917,-0.198639626563676,-0.06088757122234,0,0.173322208018941,0,0,-0.149499973264903,-0.0216652617662002,0.149499973264903,-0.184824068465472,-0.0305525273880107,0.0303650447814166,0.0157728420609945,-0.123104449242231,-0.0309103777541989
"miR9",-0.01528859876796,-0.0419380473946257,-0.00734594269859185,0.000947434942645188,-0.0102368618680958,-0.00611496117573554,-0.0109912411034877,-0.0354000717169398,-0.00432628200212495,0,0.0344798176811378,0,0,-0.0268286372709176,0.00449873690192897,0.0268286372709176,-0.0415537831227109,-0.0197518117970581,0.0199139191932081,0.00582280528576255,0.0159350196073637,-0.129870898624119
"miR34a",-0.0196346026849512,-0.286589645296914,-0.0192247634820113,-0.0149633573835193,0.0364814507407908,-0.0608077551390688,0.0355928000792398,-0.198125603062689,0.0391273216070654,0,0.191045422420248,0,0,-0.215815088485455,0.0404037285916448,0.215815088485455,-0.285392153518464,-0.0753356657747964,0.0752417228563031,0.060063293099352,-0.119551353188665,-0.14091708852673
"miR30c",0.119168447112437,0.188556546900074,0.0287771429542526,0.154041009418219,-0.139708748089766,0.0373358665374428,-0.13867022510024,-0.0858530031807939,-0.0283555029114349,0,-0.168477013869988,0,0,0.18857201929206,-0.0467784412052675,-0.18857201929206,0.187262593259949,-0.0739593982628744,0.0739928271912133,-0.0365176986218594,0.136868960552706,0.050303342941972
"miR205",-0.0325577982130067,-0.34477885905913,-0.128913973551773,-0.141488281177509,0.145210303908604,-0.0899587071100957,0.143749264947565,-0.118196166952769,0.124170391355906,0,0.323027586691288,0,0,-0.190672127166315,0.14044498709913,0.190672127166315,-0.342280706384771,0.00236962873619081,-0.00274182877679445,0.0884460401363509,-0.156158046971967,-0.173549601901612
"miR200c",0.0357795486866264,0.3513453350832,0.144923708582739,0.157222855229513,-0.164119902623773,0.202840101848274,-0.162851409549135,-0.0538791808584885,-0.0917051100866134,0,-0.307849068452837,0,0,0.196335493306446,-0.177981980689485,-0.196335493306446,0.348887729929172,-0.0722725844415263,0.0726905342875447,-0.201369671708637,0.166175726080444,0.0824237198708722
"miR200b",-0.0438573883999277,-0.373315164946932,-0.0990139867898101,-0.157215647665918,0.160034217062721,-0.203558350587496,0.158438191859401,0.0424768516006676,0.0913441042813557,0,0.323527956685083,0,0,-0.211514518772492,0.149007450615777,0.211514518772492,-0.370690016842666,0.0661821309528073,-0.0665296892458121,0.20196130339278,-0.16021414758894,-0.144242326692841
"miR200a",-0.0227646286903025,-0.265447009524291,-0.0444592615267825,0.00463808018543852,-0.0300811297044295,0.0483972672267207,-0.0310387448264213,-0.155813306962101,0.00252993589210507,0,0.167953606528704,0,0,-0.145168310734868,0.0436376646764359,0.145168310734868,-0.264482480495855,-0.0771002398971592,0.0771046393692226,-0.0490148239953579,0.0599916109932872,-0.172628138359689
"miR141",-0.0146867889770011,-0.24347717966056,-0.0903689833197117,0.00463087262184262,-0.0259954441433773,0.0491155159659418,-0.0266255271366879,-0.14441097770428,0.00289094169736284,0,0.152274718296457,0,0,-0.129989285268822,0.0726121947501439,0.129989285268822,-0.242680193582361,-0.0710097864084402,0.0709437943274899,-0.0496064556795006,0.0540300325017837,-0.11080953153772
"miR101",-0.0800291893966537,0.128924779516474,0.0995738590338452,0.0765570586973588,-0.0300730841796097,0.0573442236508538,-0.0297850998655638,-0.137894020937817,0.00287527204250642,0,-0.0540838848924334,0,0,0.0242531243871153,-0.132144192606539,-0.0242531243871153,0.128230896259348,-0.0174020046039372,-0.0824652577633252,-0.0569395719152497,-0.072925718071201,0.0243480284244002
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.0563185773117083,-0.203983275117732,-0.117982894090054,-0.0424750869411569,0.0308782261987087,-0.0688375731172422,0.0303391782719135,0.0166637141472989,-0.0822120434273881,0,0.0766589762152399,0,0,-0.0768275977340131,0.134227792884493,0.0768275977340131,-0.202959793511411,-0.0825410558173801,0.0824024855366297,0.0682312065841318,-0.0949606553628279,-0.0927521128033979
"FOXC2",0.0713301878709824,0.436867031795303,0.247458861388003,0.159081431134843,-0.161390865097916,0.154831293598485,-0.158818208396819,0.140404391997025,-0.132999722663423,0,-0.395079696297751,0,0,0.361098676203641,-0.265198309769866,-0.361098676203641,0.432918974854433,0.00497743621905131,-0.00449989100466399,-0.15241251903713,0.175588028629525,0.32546546400199
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
