"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.23125856075455,0.0292480780919664,-0.25378024761427,0.124518027556538,-0.0142560255158142,-0.241639520550786,0.0138707718410868,0.177286319412004,-0.108816822237248,0,-0.0651650866533328,0,0,-0.282323796049878,0.220364130764796,-0.258037242586454,-0.0292296638104469,-0.0341872029118022,0.0338931336996725,-0.24159385149918,-0.0135624882575751,-0.303180572347434
"ZEB1",-0.0160341458112722,-0.108193350796039,0.00120976913707185,-0.0331778374053431,0.021365192187263,-0.00421352020718677,-0.0211531126126169,-0.134122750749,0.112036072066404,0,0.0322955535022456,0,0,0.0128351229225024,0.020938555389934,0.00111841361074114,0.00820387748118603,0.0133304928092386,-0.0131965859278469,-0.00442850517103603,-0.100458438622627,0.0366185836560884
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.198534402540662,-0.0725026875498047,0.0368474627278491,-0.191408061449316,0.100605543747111,0.0326147164261117,-0.100522656644607,-0.179072712492863,0.148221854301999,0,0.108842073814905,0,0,0.135788253976651,0.0206282493653064,0.0626249909180362,0.0725391874310702,0.0334055976590924,-0.0333784787321675,0.0325915141760593,-0.0889060228031857,0.210377360298392
"TWIST1",0.191919986046224,-0.0530602050622355,0.0169996691181949,0.170138337072756,-0.196438412283388,-0.0530622751149818,0.0960829160634459,0.199111935307338,-0.170908223116608,0,-0.0521680771532397,0,0,-0.0640376534632333,0.0101195818644152,-0.108456342981641,0.0530775768416502,-0.0466219500184906,0.0463795451654716,-0.0529566714362309,0.0925297384968744,-0.152627676584736
"TGFbeta",-0.074777888104606,0.00955056687846253,0.0405641650193119,-0.176965506976594,0.0278077905994248,-0.0790788876153568,-0.0280701987565698,-0.173896007320865,0.0614677814136128,0,0.0804397450536388,0,0,0.0334568401316713,0.0992529762820991,0.0441769492343155,-0.00951385627411813,0.0545973306191843,-0.0547697444122877,0.0209307916774095,0.0179005208247144,0.101388655125649
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.218585423913017,-0.0252846257648543,-0.150415903203231,0.13749718831463,-0.106816128906532,0.270534049954065,0.106740265460734,0.0169231075108989,0.0469825790552462,0,0.0326681571442223,0,0,0.120462295242291,-0.251034680884392,0.094915673981866,0.025281611467035,-0.177802256849603,0.177821266449451,0.27042370583438,0.0301606248048591,-0.00130036835828896
"SNAI1",-0.128191045108817,-0.110116820061453,-0.0675871871309696,-0.0791014519328462,0.155787918133147,0.00946139402929393,-0.156352232412792,-0.0293751329005735,-0.010799094134749,0,0.165975169729589,0,0,0.11753018056351,0.0155544316497052,0.00351587240210188,0.110191014128401,-0.0850359520149621,0.0848601870712801,0.00939914258898593,-0.128555406113871,0.137112648094635
"miR9",0.331270320756432,0.0292296638104469,-0.253586420921565,0.123977770541064,-0.0138707718410868,-0.24159385149918,0.0136534083325841,0.177302390897974,-0.10898747469067,0,-0.0650998608832239,0,0,-0.282165007445837,0.220398973970371,-0.257894562971228,-0.0292148027612568,-0.0338931336996725,0.0336297091809288,-0.241952155892543,-0.0137430323378713,-0.203034313256102
"miR34a",0.0905738329736823,2.90428955703971e-05,-0.0422460459242698,0.094453419226094,-0.114640816805183,-0.0014675523847525,0.114175333125323,0.201885636922817,-0.171202745582582,0,-0.0913360911054036,0,0,0.00426243677782225,-0.0552641358057376,-0.0754289498259044,-2.19655209932702e-05,-0.0343850165479222,0.0341166082093698,-0.00120969063505435,0.162635812144558,-0.101136490212125
"miR30c",-0.0704029565171826,0.10148194681071,0.103666773496411,-0.0734317952412567,-0.0698250980937127,0.0528765060107489,0.0697851549018078,-0.140901987802294,-0.130338530741827,0,-0.178120442588508,0,0,0.0517174399194347,-0.000700393051408508,0.119649278244209,-0.101507158514873,0.12136091977625,-0.121665298965863,0.053411756048981,0.151218864830959,0.00932056993358176
"miR205",-0.247400701719183,-0.00461439505954734,0.116720182030257,-0.0119403846525927,-0.0103904824917141,0.103223073608153,0.00986929315473528,0.0760222216949493,-0.076387149482109,0,-0.00312263338448428,0,0,0.124636026648092,-0.120135767625097,0.119749365371244,0.00469681420352506,0.000724690779793114,-0.000988614444948423,0.103453382221695,0.104875804169909,0.109975314108491
"miR200c",-0.258410393484621,-0.0122973668834426,0.126623585836552,-0.128720940643909,0.0304994321706752,0.18321544171425,-0.0299581714495493,-0.233713524078775,0.13827866056457,0,0.0218889140204376,0,0,0.133642623019441,-0.0627784793361625,0.12136222553628,0.0122288686606938,0.0480234883233463,-0.0476759300303414,0.183099575163848,-0.0107621149451665,0.134850903435085
"miR200b",0.246648577119344,-0.00339068053398896,-0.0759907039198943,0.118279450774494,-0.0120416954639153,-0.181772313505021,0.0122720782323945,0.13876851370914,-0.0655676683583905,0,-0.0883291696794048,0,0,-0.120489213863212,0.049117039989405,-0.123788587548781,0.00334532360270934,-0.0368619353917956,0.0369719221933794,-0.181799787016972,-0.029294436839035,-0.155148981254509
"miR200a",0.234501134356326,0.0197304459050845,-0.0971989052210343,-0.073393956064858,0.00640864082967908,-0.000330128971224229,-0.00673339726235457,-0.0794134551097961,0.029238664538293,0,0.0626967594876737,0,0,-0.125907014918554,0.128637103839453,-0.105555600202791,-0.0196786094121935,0.0239093542548205,-0.0241337273300514,-0.000457940526822255,0.0232771510507956,-0.0360747515061415
"miR141",0.246648577119344,-0.00339068053398896,-0.0759907039198943,0.118279450774494,-0.0120416954639153,-0.181772313505021,0.0122720782323945,0.13876851370914,-0.0655676683583905,0,-0.0883291696794048,0,0,-0.120489213863212,0.049117039989405,-0.123788587548781,0.00334532360270934,-0.0368619353917956,0.0369719221933794,-0.181799787016972,-0.029294436839035,-0.155148981254509
"miR101",0.130334045543006,-0.0881885704012124,-0.0880349907038263,-0.0427120997976158,0.168793137011293,-0.07921534420156,-0.169015763183144,-0.00692273961459156,0.0878410230128196,0,0.0935581019857588,0,0,-0.0200916807105534,0.106929766167345,-0.10714167251331,0.0882605160362264,-0.0943173258753774,-0.00566648660843509,-0.0795531404330208,-0.143844700175772,-0.0248578207237628
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.168154206075697,0.124778443583574,0.0714693881174185,-0.00972517328076141,-0.15690416751051,0.0954606293216794,0.157269897575284,-0.101790280180287,0.0019599956810245,0,-0.0886356304367923,0,0,0.0151150790943863,-0.11479690444693,0.143609241611472,-0.124852146051624,0.106272546116882,-0.106273710573023,0.0958272255295225,0.165513820587608,0.0308183232853802
"FOXC2",-0.0161931838826764,-0.00820387748118603,0.00112947671132402,-0.033114454333905,0.0211531126126169,-0.00442850517103603,-0.0202613438309399,-0.134398149700221,0.112199511105994,0,0.0323097293272413,0,0,0.0127118440518063,0.0209367101672156,0.00113751315408843,0.00807252476175758,0.0131965859278469,-0.012668238031078,-0.00459455376792539,-0.100308828072769,0.0367032061161603
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
