"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0825902889962941,0.0106000348370598,-0.015689094013125,-0.0444508774732119,-0.0427670338902852,-0.0123510045320533,0.0437746204241875,0.126633490956294,-0.046601371732284,0,0.0419201978105529,0,0,-0.00417115791939839,0.0160711064911211,-0.011970201768331,-0.0102392144559339,0.0860754289264377,-0.0865624075417246,-0.0117674555393096,0.0720142229862762,0.0189781260541805
"ZEB1",0.00137100668731184,-0.0730392220166682,-0.0290889132860124,0.0137379180412606,-0.0918405106156775,-0.0042004912941279,0.092213890148505,0.116653900654886,-0.0989365940597185,0,0.0454545350433739,0,0,0.0161974567805153,-0.00746282899256346,-0.0175030372331681,-0.0264249195822852,0.10816963729818,-0.108294064046376,-0.00416977915643515,0.112959898025686,0.0134286308947489
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.0810971680214392,-0.0715603557095554,0.0151145818480963,0.160713557352881,-0.196008913506933,-0.00859115722435691,0.196020754521576,-0.210185879097582,-0.0150883665435009,0,-0.0200540985773867,0,0,-0.0758930107048547,-0.00720059244546979,-0.00363535756257666,0.0715928977723704,-0.0933560197754216,0.093195392285174,-0.00848646414485242,0.07867489436397,-0.224993129498503
"TWIST1",-0.0876729266118439,0.0668746883572932,0.0599868316532113,-0.156744894387198,-0.00888878501357253,0.00644229908255098,-0.0911934914041433,0.271044946923786,-0.0374728322641914,0,0.0601869612501358,0,0,0.0752413692300504,0.0270192126465563,0.0146329447073377,-0.0670911873992525,0.188584527075934,-0.188214152148225,0.0064035331751614,0.00814581841329645,0.192138321990593
"TGFbeta",-0.0163535155608292,-0.0785252929294223,0.0716405446432489,0.157404230466894,0.0107079236060396,0.120472465627934,-0.0108841119401226,-0.24147264815208,0.0304230524068157,0,-0.0991812334826053,0,0,-0.0307570641880248,-0.122136495541097,0.0444481121971428,0.0783047155375067,-0.137107715540332,0.136762887954125,0.220432135241408,-0.103027509214793,-0.0505419810048181
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0457904403115319,-0.0302790547035488,-0.20408522106477,-0.38660731698973,0.148888628924386,-0.202453768615732,-0.148529275760082,0.340468109433806,-0.0287865819909074,0,-0.0068732963143123,0,0,0.00745959511275297,0.253411319402964,0.03816172253062,0.0300985317563693,0.337568639853893,-0.337283495856174,-0.202245911087953,-0.016534801643564,0.282527200446019
"SNAI1",0.0237684920699156,-0.0796934492166455,-0.0394518531909741,0.0131898326252777,0.0263395516042617,-0.00119139115703785,-0.0265141103585217,-0.128994219262369,-0.0551432402767596,0,-0.107857256397245,0,0,-0.0578204920739107,-0.00159543306444453,0.0169809929946135,0.0797466216312914,-0.138210076779981,0.138210076779981,-0.00102604815953188,-0.126739588046759,0.0553834601881186
"miR9",0.0174073590033296,0.0102392144559339,-0.0162093656619635,-0.0452219238933536,-0.0437746204241875,-0.0117674555393096,0.0428668081239701,0.126362418559607,-0.0461455192882136,0,0.0425872795503021,0,0,-0.00429312597757485,0.0162599933423956,-0.0128815102784797,-0.0109674058662475,0.0865624075417246,-0.0858531876835686,-0.0107917651143055,0.0723477705244506,0.11879729663217
"miR34a",0.00855802967272977,0.0743910330441596,-0.0579291602304216,-0.00677689010802259,-0.0810561089710148,-0.0305620271828732,0.0807570709706198,0.172967263444003,-0.118129533421265,0,0.0912153654635285,0,0,0.0807979268698063,0.0332272229430285,-0.088135147012169,-0.0745707983584186,0.149450816060058,-0.149086228066858,-0.0305687012516889,0.161589350404518,-0.00165562030205579
"miR30c",-0.0838750518138475,0.0784435667312783,-0.0372978897725459,-0.183024588019044,0.00662389722776492,0.0216758192757913,-0.0064064287385052,0.273301736487703,-0.0314499741990662,0,0.0955577195299043,0,0,0.114155097813974,0.0511712403749897,0.0700688791641578,-0.0782500298257926,0.186887050275762,-0.186558039244216,0.0216528799884385,0.0952862829357763,0.0950177006972455
"miR205",0.00226334269195342,-0.0121527362918461,0.0135034284739827,-0.0223889271203209,0.0806010365413165,-0.000406856920218515,-0.0804985074914191,-0.0769959494270357,0.0850179881146245,0,-0.0194109934973516,0,0,-0.00799145562624392,0.00725153771607985,0.00538911296059708,0.0125804632286959,-0.0810220552415002,0.0809205461395174,-8.07399234428352e-05,-0.0860201114192906,-0.000714432187394986
"miR200c",-0.0106790488345029,-0.0228109218983992,0.0332425847561398,0.054852756656349,0.0723611350951187,0.115292844581528,-0.0717032951417504,-0.202523192642567,0.0734001387557512,0,-0.116028165160318,0,0,-0.00654246389063495,-0.00491117232555635,0.0168346155110853,0.0232219112348921,-0.137706596053574,0.137240252014858,0.115685835252479,-0.112236120061778,-0.0666886941296973
"miR200b",0.00935824803613973,-0.0188217536914364,0.0418654547258343,-0.088442499615991,0.00145177466415041,-0.111368291189778,-0.00158223237642176,0.121633181249439,-0.00619086509694062,0,-0.0367520631091884,0,0,-0.0144430071771497,0.0482311409322684,0.00537635092866613,0.0192855051724791,0.0633477164188526,-0.0633213195864724,-0.111761281860729,0.0610034413113846,0.00386585253182991
"miR200a",-0.0106790488345029,-0.0228109218983992,0.0332425847561398,0.054852756656349,0.0723611350951187,0.115292844581528,-0.0717032951417504,-0.202523192642567,0.0734001387557512,0,-0.116028165160318,0,0,-0.00654246389063495,-0.00491117232555635,0.0168346155110853,0.0232219112348921,-0.137706596053574,0.137240252014858,0.115685835252479,-0.112236120061778,-0.0666886941296973
"miR141",-0.0106790488345029,-0.0228109218983992,0.0332425847561398,0.054852756656349,0.0723611350951187,0.115292844581528,-0.0717032951417504,-0.202523192642567,0.0734001387557512,0,-0.116028165160318,0,0,-0.00654246389063495,-0.00491117232555635,0.0168346155110853,0.0232219112348921,-0.137706596053574,0.137240252014858,0.115685835252479,-0.112236120061778,-0.0666886941296973
"miR101",0.01568616876275,-0.0168654664661938,-0.00275900327921779,-0.0260784563735613,-0.00859327319113595,-0.0160750419686518,0.00858714586530519,0.105724510416921,-0.0249556113611427,0,0.0263183178521081,0,0,-0.0165879015086045,0.0573219853165823,0.00256664490633253,0.0170860770152652,0.115918805262213,-0.215779592623,-0.0158234541504284,0.110879727313819,0.0137544396160562
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",-0.103609418603538,-0.0784599659004644,0.0675536033252366,-0.0566550755758921,0.0277837266543365,0.0353729636018589,-0.0277587571318419,0.122505193736289,-0.0988107738041211,0,0.0107281836350767,0,0,0.0139705865322449,0.0171223499652545,0.0901217054518951,0.0787759038135053,0.161291827625646,-0.161223124713342,0.0353445697475509,-0.0790596794502487,0.0305680826275766
