"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.062423204274837,-0.260861995622415,-0.102880686277727,-0.109026865214457,-0.0814548875796853,-0.193651466847264,-0.0801153901875563,-0.000686102441633888,0.124477062421907,0,0.246761286028407,0,0,-0.0604873564465334,0.288744168102098,-0.301561160515364,0.259991547558154,-0.0604455233966661,-0.0598597375261036,-0.192256023603747,0.132642300288071,0.304781908461118
"ZEB1",0.0663891323975021,0.202037220166121,-0.234680838568105,0.160780815082652,0.0959053253103112,0.253385836556704,0.095301943985262,0.084203629785959,-0.221692428932701,0,-0.328459332693226,0,0,-0.284935325770901,-0.226200076714369,0.230760634943868,-0.301541463422776,0.0660923420097647,0.0659062943957957,0.25242736192621,-0.242325864922642,-0.260759589193255
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.129968372714046,0.189019835119298,-0.00632254254099003,0.146804739986252,-0.0566817681738155,0.10505925192278,-0.0572488212084045,-0.0806202768908565,-0.0741108461951673,0,-0.139847406001311,0,0,-0.0318576870759263,-0.0866095564983337,0.161968402164887,-0.18862625206228,0.082324248336212,0.0821323297764356,0.104285654951522,-0.0148140209905342,-0.169680468138385
"TWIST1",-0.171856254697866,0.187535057172859,-0.0745622574890507,-0.0464691329384607,0.152523185730866,0.133783729778176,0.25165229761127,0.134352283809317,-0.0873373095490528,0,-0.16284601385033,0,0,-0.0220323394207203,-0.161013588157986,0.176971533656993,-0.187165064199355,-0.00756728452183724,-0.00801394930176563,0.132925532793896,-0.292800238399464,-0.208710740179715
"TGFbeta",-0.0503588011281134,0.148506372176838,-0.0138234336965167,0.0960111043653896,0.106893019996342,-0.00361842860386511,0.106296978610827,0.0141265413479414,-0.149671820681926,0,-0.198510127935962,0,0,-0.0550190948985092,-0.00621302637384326,0.0984499628136327,-0.148049215334703,0.0663397650308664,0.0661376247217106,0.0957846816755438,-0.194183345321392,-0.0896538226224731
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",0.0829432578282492,-0.0476356564981365,-0.000211606937362301,-0.100033821736029,0.0989297302828673,-0.0309338527349235,0.0997801994383873,-0.020261407892685,-0.0097230107385436,0,0.0246695679845204,0,0,-0.0169745534960066,0.0335578307361881,-0.0664939322738704,0.047522117946942,-0.0347680871695886,-0.0341534434411724,-0.0306626970299614,-0.0402167551860865,0.00642168254952124
"SNAI1",0.132130874947045,-0.137064203237697,-0.0893365159522428,-0.0179541516012744,-0.0508048839591575,-0.0996104346503397,-0.0504382182160822,-0.107391346613497,-0.0296258586750263,0,0.152133511063897,0,0,0.00831984943762544,0.125748069756858,-0.132576176667651,0.136847803875766,-0.0307846443042532,-0.0306396382257156,-0.0991437471010242,0.160376672982164,0.181683613518483
"miR9",0.162385572268816,-0.259991547558154,-0.103027877976699,-0.108486608198983,-0.0801153901875563,-0.192256023603747,-0.0779545411912643,-0.000571459175050793,0.123399380490028,0,0.245106923313829,0,0,-0.0612030558067765,0.287880423374425,-0.300672864846381,0.258511811660228,-0.0598597375261036,-0.0592113079415038,-0.189240754324214,0.130313587659166,0.203795324408677
"miR34a",0.112874301183321,0.065970618999657,-0.103985979870758,-0.0132971408355982,-0.0191092126826241,0.0330273103695177,-0.0187057934934121,-0.0848232486918434,0.0906179468560791,0,0.0175559713557008,0,0,-0.125362211443608,0.0339818876973338,0.0341929290517254,-0.0659885483485858,-0.00600770429799129,-0.00569679797250144,0.0330218497677593,0.0939134916981794,0.063924627042247
"miR30c",0.177628334186708,-0.159401210409932,-0.0724232800292625,0.0642237935979965,-0.145835318402524,-0.131696479896446,-0.144903310591411,-0.13039032703845,0.0690404456149181,0,0.161987800897712,0,0,-0.0914559767960945,0.182194799248193,-0.22083297847496,0.159043797427387,0.0146900574119882,0.0151879725025103,-0.130937571806524,0.173343783933212,0.15236583377287
"miR205",-0.219912655539925,-0.183127728903388,0.189168803153923,-0.110393273863812,-0.0387785514045825,-0.0734024096644119,-0.0384111556424499,-0.0870593452675985,0.144825512866823,0,0.211106495504916,0,0,0.200450061649382,-0.0153705379291257,0.0183739226111255,0.183031099562172,-0.028401244900849,-0.0280831830479695,-0.0731684161130531,0.153115897278773,0.00537606843391474
"miR200c",-0.145479793305017,0.26970959029009,-0.0314785332982567,0.057394470045565,-0.0355652480799217,0.0759285851213512,-0.0361453685451283,0.0553795683282251,0.0118383574499372,0,-0.173886498584416,0,0,-0.0623695835368246,-0.201926153080182,0.211630516711509,-0.269226400124213,-0.034735233388835,-0.0348804159669256,0.0750171812248906,0.0448613434065679,-0.164597822037054
"miR200b",-0.197489817942275,-0.223739900808488,0.146763771115541,-0.0969968812363604,-0.118652498599257,-0.184396023233038,-0.11781701410152,0.00105558303123404,0.177806697013648,0,0.239199182719373,0,0,0.211720052131603,-0.0122625918830602,-0.0133821988762103,0.223452023142611,-0.0886116831780312,-0.0880617491701121,-0.183697240429067,0.208548874786129,0.0360901858341808
"miR200a",0.197489817942275,0.223739900808488,-0.146763771115541,0.0969968812363604,0.118652498599257,0.184396023233038,0.11781701410152,-0.00105558303123404,-0.177806697013648,0,-0.239199182719373,0,0,-0.211720052131603,0.0122625918830602,0.0133821988762103,-0.223452023142611,0.0886116831780312,0.0880617491701121,0.183697240429067,-0.208548874786129,-0.0360901858341808
"miR141",0.183499304285514,-0.34237793302419,0.03892359478277,-0.138177953598331,-0.152550278805657,-0.301876463367984,-0.150776609057968,-0.000259233819070805,0.226506699392324,0,0.339312986391394,0,0,0.0834289761048049,0.19859022005244,-0.2675391733882,0.341444876152153,-0.110959142168189,-0.110127641948216,-0.299870896995563,0.264305079922558,0.229459136102039
"miR101",-0.0651152429190875,0.156402646083754,-0.0492130191052826,0.0593977477197558,0.0120411593872145,0.0931551706543548,0.0116306285565534,-0.0893979714347369,-0.0272979301543074,0,-0.0837030152888424,0,0,-0.0464276973551925,-0.092647627393442,0.115402573965127,-0.156082470959213,0.00740074836134998,0.10727124823185,0.0923828136459626,0.0511003513573845,-0.00838942294607687
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",0.0597275341017258,0.163191225522621,-0.0432256906273303,0.0168780930183856,0.247621091429113,0.092317369229451,0.247058542775264,0.117440869652303,-0.16665731997231,0,-0.159850574723049,0,0,-0.118423189458959,-0.066544827724063,0.0525738279737766,-0.162942602530399,0.0718455261420233,0.0715416030892851,0.0919520349706883,-0.302905331665802,-0.104297854069371
"FOXC2",0.0664249677916174,0.301541463422776,-0.234543351537715,0.160482386454632,0.095301943985262,0.25242736192621,0.0936659652850631,0.0841890783736636,-0.220943431319616,0,-0.327487169536941,0,0,-0.284412692812035,-0.225703711803124,0.230319030350717,-0.300651895818842,0.0659062943957957,0.065103612014166,0.250562082687819,-0.24092384440903,-0.260137798073596
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
