"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0837692519645188,0.00920355548946309,-0.0460356131472541,-0.0187294549984747,-0.0159222596292751,-0.000488145970295079,-0.0159933833846094,-0.0617620398635081,-0.105142699619473,0,-0.00548901029681669,0,0,-0.00898690462163347,0.0230251546589517,-0.00898690462163347,-0.00928268713166862,-0.0214307451200377,0.0214660334254933,-0.000412030884285032,-0.0894488912513508,-0.0156594003866352
"ZEB1",0.000259158390551671,-0.0850188856590798,0.000482534459410393,0.106492153428717,-0.00700690996379918,0.00105569096703872,-0.00698301367369822,0.0847592631283115,0.0898735113831487,0,-0.0273985623113502,0,0,-0.0096191501411076,0.00639624310502422,-0.0096191501411076,-0.0149851245066904,0.0036625007927887,-0.00362813530995367,0.00105569096703872,0.0925015027289868,0.0120553106252198
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.064531899779903,-0.0709951048757077,-0.0126531594378028,-0.166643418133757,-0.270149623368362,0.0132276045579218,-0.270053579582921,-0.108993817412983,-0.296314680531318,0,0.150768802800788,0,0,0.00321515586347346,-0.0149143269030483,0.00321515586347346,0.0709753157834554,-0.0830981062322928,0.0829750280254797,0.0132055341249452,-0.285225457103184,-0.114138347965144
"TWIST1",0.00845166531011366,-0.0566754266697817,-0.0531423584625396,-0.0153131129391481,0.244799881717218,0.00817377409796431,0.344664824201345,0.000261185468279788,0.312022764069801,0,-0.0890778661475339,0,0,0.0106015580613515,-0.0176847797321526,0.0106015580613515,0.0566699817836965,0.121056426958198,-0.121005977217214,0.00813901845685641,0.411031863097617,-0.0982339376095242
"TGFbeta",0.0118379836313075,-0.00980259449327076,-0.125199605830987,-0.178144758666847,-0.050525299590719,-0.0984658362703595,-0.0505327969666375,-0.126246580463268,-0.256635995288787,0,0.175042315309211,0,0,0.000411375756957274,0.0989234235122173,0.000411375756957274,0.00974580287458412,-0.0641159230171951,0.0640029622561963,0.00160998485631018,-0.199945544218147,-0.111991189913282
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0053708157695124,-0.0300372743757411,-0.0148130858421647,-0.0511673551840796,-0.162898171381573,-0.0042562972191555,-0.1628901857557,-0.125635579673885,-0.182865295126575,0,0.0865188637634675,0,0,0.0177530734098461,-0.00336255834853811,0.0177530734098461,0.0299726344336156,-0.0754459929479804,0.0752463921495772,-0.00418358985347167,-0.176399485056,-0.00681737135704217
"SNAI1",-0.0563365260229237,0.105651361704682,0.116914219822681,0.182227137900926,0.263575414524618,-0.00989020000978441,0.263522769820952,0.132955913436519,0.289898370478374,0,-0.270379079980185,0,0,-0.0202775490272939,0.0167255132180596,-0.0202775490272939,-0.105629412626543,0.17429898631045,-0.174170092018417,-0.00988901049181674,0.377969090061513,0.128520489552454
"miR9",-0.0161895880288956,-0.00928268713166862,0.0459321417549081,0.0186507767923378,0.0159933833846094,0.000412030884285032,0.0156481589887521,0.061688111028048,0.104981397985418,0,0.00533780510247354,0,0,0.00897079563281771,-0.0228619417486272,0.00897079563281771,0.00908524747814337,0.0214660334254933,-0.0212836626048246,0.00102390454064356,0.0894213506289327,-0.084283425604935
"miR34a",-0.00123570167299432,-0.0758353590127509,-0.0357281624958591,-0.2258216061372,0.0389407101008182,-0.0167574691169473,0.0389096778554942,-0.0799391537369859,-0.101977937831359,0,0.0869772870632428,0,0,0.0857192388226675,-0.000319447305407286,0.0857192388226675,0.075827809813202,-0.0140990976706801,0.0141550160745452,-0.0167556489163612,-0.091209271727474,-0.0323263748419072
"miR30c",-0.0774205798055294,0.0983353046690481,0.0146790169986332,0.0698736827149524,0.260364985999162,-0.0719698747614836,0.260067631126093,0.0346006797667597,0.389647409094261,0,-0.260258296019392,0,0,0.0563282544640403,0.0628444797138413,0.0563282544640403,-0.0984116813022475,0.140348160371317,-0.1402478735863,-0.0718073881427345,0.380080270130435,0.02490300276563
"miR205",0.00251597528796875,-0.00460776476029819,-0.018425374472583,-0.110336875962047,-0.000262011105109295,-0.00179356433194984,-0.000150937967720368,-0.105709358803946,-0.124681592041459,0,0.0185314441455478,0,0,0.00113700757368848,0.00741835094152427,0.00113700757368848,0.00468307880565714,-0.00875200756211528,0.00879261120290841,-0.00200176331859194,-0.123189775844532,-0.0115972594335217
"miR200c",-0.0075978914254484,0.00340219562919433,0.0960144218965696,0.0298217652088639,0.0258449786618431,-0.0862031725839466,0.0258699599258951,0.0741548053680256,0.141705879039954,0,-0.0130307858163798,0,0,0.00214020697625628,-0.0584405621165588,0.00214020697625628,-0.00338090564104267,0.0334430975525255,-0.0334035023039553,-0.086323817136427,0.123177469570313,0.0471014137194721
"miR200b",-0.0075978914254484,0.00340219562919433,0.0960144218965696,0.0298217652088639,0.0258449786618431,-0.0862031725839466,0.0258699599258951,0.0741548053680256,0.141705879039954,0,-0.0130307858163798,0,0,0.00214020697625628,-0.0584405621165588,0.00214020697625628,-0.00338090564104267,0.0334430975525255,-0.0334035023039553,-0.086323817136427,0.123177469570313,0.0471014137194721
"miR200a",-0.0075978914254484,0.00340219562919433,0.0960144218965696,0.0298217652088639,0.0258449786618431,-0.0862031725839466,0.0258699599258951,0.0741548053680256,0.141705879039954,0,-0.0130307858163798,0,0,0.00214020697625628,-0.0584405621165588,0.00214020697625628,-0.00338090564104267,0.0334430975525255,-0.0334035023039553,-0.086323817136427,0.123177469570313,0.0471014137194721
"miR141",0.0075978914254484,-0.00340219562919433,-0.0960144218965696,-0.0298217652088639,-0.0258449786618431,0.0862031725839466,-0.0258699599258951,-0.0741548053680256,-0.141705879039954,0,0.0130307858163798,0,0,-0.00214020697625628,0.0584405621165588,-0.00214020697625628,0.00338090564104267,-0.0334430975525255,0.0334035023039553,0.086323817136427,-0.123177469570313,-0.0471014137194721
"miR101",0.00913250370549084,0.119360405575096,0.0286379278050767,0.150457915628133,0.235050479954805,0.0138788424694515,0.234970824719005,0.124440967224522,0.329128643424165,0,-0.182445360397044,0,0,-0.0649245483530754,0.0230046848969482,-0.0649245483530754,-0.119345061719288,0.151667621750746,-0.251683809266933,0.0137979121223306,0.320837630786534,0.0429821465070986
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.0180607487650695,0.0523472848769447,-0.0713593280516694,-0.0498682370813692,-0.0015438271640182,-0.0212326363953263,-0.00150416968711501,-0.0659538117894513,-0.130365715310577,0,0.0391031918408392,0,0,-0.00780517871508495,0.0681565751828958,-0.00780517871508495,-0.0523237000871687,-0.0823964560993875,0.0824581722748478,-0.0212042425410183,-0.153189250513862,-0.0537363761778952
"FOXC2",-0.000268339359291953,-0.0149851245066904,-0.000493900053922644,-0.106537049770985,0.00698301367369822,-0.00105569096703872,0.00697659807095234,-0.0847371665392704,-0.0898958519712941,0,0.02742019909687,0,0,0.00961741381898512,-0.00638886221415069,0.00961741381898512,0.0149990073144349,-0.00362813530995367,0.00378054335709856,-0.00106122592026836,-0.0925308078882372,-0.0120763826212061
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
