"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.258038813766459,0.140104053991347,0.314415195884953,-0.126318745169278,0.114901876475469,-0.240900418385781,0.114635162392966,0.158845061789714,-0.152331632486417,0,0.0837362778181951,0,0,-0.346093715146827,-0.239648166847224,-0.218708016129979,0.139860686865319,-0.00344059084674485,0.00315122674200916,-0.240474173904125,0.0201825865345469,-0.194399421857569
"ZEB1",-0.016933037882447,-0.100392641288203,-0.0124565363273731,-0.102145277360084,-0.0432490068394368,0.00399230036179427,-0.0428606921252962,0.0980220283656547,-0.037606832776294,0,0.00764651822194106,0,0,0.0076395234628655,-0.00119068385826271,0.00770203554290475,-0.000298903663323664,-0.0274442055418544,0.0271491363961329,0.00384385836294597,-0.0919069859422129,-0.00100228184160752
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.306385294325939,0.162401963389451,0.174669588948175,0.227619356040753,0.332638654735691,-0.0379296546512639,0.331263781368764,-0.319862494943407,-0.189030381132005,0,0.0147127056751751,0,0,-0.230034717643105,0.0425929814086167,-0.0655102265006958,0.161987711724968,0.264666071034487,-0.263462407893281,-0.0372511303143673,0.0101357864338613,-0.00869789982892522
"TWIST1",0.289850106992472,0.102237014908078,0.0724984537277328,0.20938075313721,0.197796980167217,-0.0449352966987542,0.296534890967161,-0.299018717203578,-0.0948877485619379,0,-0.000645363454505946,0,0,-0.17950541615732,0.0215118152587056,-0.0807543149587792,0.101895542766449,0.230963043866049,-0.229883911601594,-0.0443243994685114,0.057431329625925,0.160082231535424
"TGFbeta",-0.16919202662507,-0.117954034233083,-0.0515674533395694,0.0714438382711661,-0.0939471967937979,0.128856890089552,-0.0936210609413463,-0.0792903342348524,0.121812562191707,0,0.0444938141213415,0,0,0.140290813254517,0.110000721669893,0.0204852375556603,-0.117826959064199,-0.0203179524394765,0.0201693198592149,0.228600388831244,-0.0402339206213463,-0.0251331398742278
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",-0.159071265172767,-0.0174969451247845,-0.31072079979791,-0.450677119991015,-0.29175962799948,-0.172311331035054,-0.289902969983908,0.42306027846745,0.156959399583779,0,0.0447287686387591,0,0,0.0851696547818335,-0.225928297327597,0.0668217796088129,-0.0169547064392863,-0.444216077806603,0.44224224768906,-0.173172699473215,0.0269040257393597,-0.158307343855482
"SNAI1",-0.207802606687655,-0.117577406773638,-0.185924166417823,-0.140350331254394,-0.100194736396272,0.0209734401018627,-0.0996211862037037,0.207148684833354,-0.0176666681021276,0,0.0173268304525236,0,0,0.15514907041989,-0.0325179128342278,0.0360293487475768,-0.117358534276142,-0.195262907709763,0.194706318721436,0.0206257043493141,0.0464042078725149,-0.133949837172975
"miR9",0.357653085704742,0.139860686865319,0.314184935603394,-0.125500491825455,0.114635162392966,-0.240474173904125,0.114136504932283,0.158353274319044,-0.152128252165216,0,0.0836384391630319,0,0,-0.345543708242975,-0.239303402497325,-0.218523913400656,0.139523128748001,-0.00315122674200916,0.00278648510067178,-0.239531557730816,0.0200265230075112,-0.0942930516093275
"miR34a",-0.0384094846644383,-0.0743650444660665,-0.0710267350308149,-0.241646725631052,-0.116472839725314,-0.0494107990294862,-0.115919901535904,0.202216640233745,0.0173764698238412,0,-0.0397840201004386,0,0,0.101084619542965,-0.105281802164502,-0.0671658696790204,-0.0741852791518075,-0.104451484573505,0.103809541297134,-0.0496905031862176,-0.062028860310952,-0.0205680384728744
"miR30c",-0.0479675756526997,0.0810172115876905,0.0918166100365688,0.30800926228391,0.199082191262624,0.122328654967053,0.197373510275584,-0.383247011570145,-0.0770409217900935,0,-0.0375454913821687,0,0,0.0528567577879485,0.171324035185617,0.0996535137282638,0.0806138243210842,0.265731982025474,-0.264005993672816,0.122871551434402,-0.0443247443616886,0.147472415636863
"miR205",-0.254632614009068,-0.0467987237196796,-0.132196374631125,0.1376968906304,-0.00703384495544895,0.0970455179691406,-0.00713637400534642,-0.142106435226172,0.102227372292022,0,-0.0305481613753246,0,0,0.150451981442852,0.113035806537411,0.100836138713939,-0.0467731453646521,0.0201196241961894,-0.0197406568821202,0.0968041545421484,0.0880971517404006,0.0984334006647278
"miR200c",-0.283429201342142,-0.0606475342520826,-0.140044251545204,0.105188742003945,-0.0941091987490359,0.205185327120751,-0.0940897688769955,-0.150209837589514,0.143928942557333,0,-0.0369075345746994,0,0,0.170839025614346,0.111768638208547,0.106865428986601,-0.0605484895245945,0.00376675178576822,-0.00359517237529748,0.204842505471623,-0.0240657263598713,0.0394959116580256
"miR200b",-0.283429201342142,-0.0606475342520826,-0.140044251545204,0.105188742003945,-0.0941091987490359,0.205185327120751,-0.0940897688769955,-0.150209837589514,0.143928942557333,0,-0.0369075345746994,0,0,0.170839025614346,0.111768638208547,0.106865428986601,-0.0605484895245945,0.00376675178576822,-0.00359517237529748,0.204842505471623,-0.0240657263598713,0.0394959116580256
"miR200a",0.209301226523883,0.0116632902498557,0.0621997035857529,0.0589864313308197,-0.048350895996115,0.0269590083775905,-0.048547970412525,-0.0976377338402732,0.0907357679869349,0,0.00125201984443643,0,0,-0.110322938947901,-0.0691696758632028,-0.0981229961180336,0.0116151563635998,0.00238493359131051,-0.00237173517512045,0.0270247059061689,-0.0153751418995526,-0.106407221730018
"miR141",-0.29797495517561,-0.0614490087010584,-0.100284881018766,0.004739467809972,-0.130643563171002,0.215064024860245,-0.130274395602234,-0.084568080484663,0.12465733884835,0,0.0655967508413394,0,0,0.177733569492057,0.142867121688631,0.113062302761377,-0.0612361088195418,-0.0187489661185357,0.0185861856521917,0.214625643169549,-0.0574376620917236,0.0888977788693168
"miR101",0.287923751536529,0.0361369929252733,0.133219895491124,0.104084812657274,0.101694037379756,-0.0950751787126303,0.100719792572665,-0.169688364882499,-0.0791920647480728,0,0.00323316241442672,0,0,-0.15907766840399,-0.0846626555171816,-0.119704710367425,0.035852279156379,0.172433498832294,-0.271734198132994,-0.0945807998530445,-0.0276597430898914,0.0234901174544574
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",-0.295251723372344,-0.135205175273527,-0.140331043476103,-0.0889610658757706,-0.278324002330033,0.0578761588863227,-0.277385442043324,0.176595677453302,0.168006396994452,0,-0.00743985122427569,0,0,0.203946177222854,0.0147492730240404,0.0648655866877966,-0.134904469203883,-0.22229127726342,0.22154020305263,0.0573366756544711,-0.112635752170787,-0.0675548165685091
"FOXC2",0.0167129907929621,0.000298903663323664,0.0122383902391541,0.102079253327336,0.0428606921252962,-0.00384385836294597,0.0424565091523059,-0.0978662743599742,0.0376679754385866,0,-0.00760548293905874,0,0,-0.00740280488016737,0.0012331239807855,-0.00760769537424999,0.000167550943895208,0.0271491363961329,-0.0267630360100325,-0.00373315929835307,0.0920164946952013,0.000941072710409263
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
