"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0971998132255302,-0.0115371949638844,0.0151987720193845,0.0298056661518535,0.00171133425581178,0.00095643078710904,-0.00163428352086631,-0.00885172822553977,0.000444848488277773,0,-0.0467656840836434,0,0,-0.00394595153519399,0.0137543782736405,0.00105387877122274,0.0113455868994245,0.00502210226265482,-0.00507150589029262,-0.000877778531565324,-0.0145162897299008,0.0179177852238692
"ZEB1",0.0270986238084164,-0.0989002491669639,-0.0168617503687345,-0.00932328188702843,0.00297454934305432,-0.00196957212530218,-0.00321649928032656,-0.0784716159958751,-0.0699995167097674,0,-0.00315229284948761,0,0,-0.00757840148765774,0.016476719500402,-0.00914890402644464,-0.00101854497618905,0.00211836110034527,-0.00243239051245851,0.00204635246953406,0.0826838699584465,-0.0157911910028642
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0803197034578892,-0.111061800454296,0.0580464083730768,0.0898755955681554,-0.171599642771194,0.0169486900768265,0.171469391610116,-0.0435305342933826,-0.00376188020033986,0,-0.0642436957421937,0,0,-0.0148197240478857,0.0250675852653932,0.0938943839369404,0.111199884342457,0.00593739122928828,-0.00613139586036657,-0.0167941970459901,0.06352208295806,0.164270719381758
"TWIST1",-0.0897448293638679,0.0189862140640297,-0.0748518878257966,0.0998704484520614,-0.104996817935692,0.0226551803372123,0.00514118976300507,-0.0808052294150877,-0.0021047153414243,0,-0.035326524781269,0,0,0.0466398029010182,0.00101499802976718,0.0451180545482291,-0.0190704801582054,0.0221284581364563,-0.0220263281730016,-0.0226351290058039,0.00886344433994842,-0.0338027623759218
"TGFbeta",0.0135459652491916,0.0863832543801531,-0.00510675877065628,-0.121558612913501,-0.0139746649096221,-0.100176728828097,0.0139746649096221,0.0857207195481207,0.0148715306259487,0,0.0988695147703705,0,0,0.0361962758187422,-0.118953841648923,-0.0485305044377728,-0.0865900260747084,-0.0356213678952963,0.0356659576693748,4.11477376386091e-06,0.0382660230013298,-0.0404471756099304
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.0156779201363462,0.0468305993624134,-0.0149744544691633,-0.0772337947081169,0.0749449915095025,-0.00447590147613682,-0.0753562512419841,-0.0553454364388316,-0.0230883978055291,0,0.0173759744676569,0,0,0.0157947695476482,-0.0194201842384091,-0.031017896838589,-0.0466005079622051,-0.0307457483689294,0.0302768449060139,0.00466665138846029,-0.0205093478284977,-0.117037850198963
"SNAI1",0.064408004188238,0.0482445312786662,-0.109217827021558,-0.0435575496253675,0.0191794005955562,-0.0144986455543892,-0.0188699975126085,0.0402645513252155,-0.0923797214019875,0,0.0729963202096783,0,0,-0.0174836226254221,-0.00106278155331984,-0.0544442744371594,-0.0483326367331667,0.0316383926752405,-0.0312810039564205,0.0143927784552667,-0.0950822627787127,0.0293208586958466
"miR9",0.00238270670767298,-0.0113455868994245,0.0148869004987923,0.0308704445415729,0.00163428352086631,0.000877778531565324,-0.00111005388271262,-0.0083770836732378,0.00130746157474948,0,-0.0472726662058528,0,0,-0.00443152248378331,0.0144860855907136,0.00053839112911845,0.0113179878080715,0.00507150589029262,-0.00420017863598665,-0.00125813242605846,-0.0134483255939113,0.117456404272121
"miR34a",-0.0158765112646829,-0.061772391095941,0.0217126592037723,-0.00551803610045053,0.0222391742444624,0.0164681205372297,-0.0224169043767726,-0.0597848310965462,-0.0150831317422357,0,-0.0418343506606863,0,0,-0.07046572680856,0.0660713144132223,0.084228865961881,0.0620314230054639,0.00943666888817415,-0.00964021187824304,-0.016292774547435,0.0570487121553546,0.00561003056683798
"miR30c",-0.0847431603537116,-0.0501218855566569,0.071663611157344,-0.0683197155539455,-0.0234921224777469,0.010847644873224,0.0236918384372712,0.0619038198273905,-0.0110611261135311,0,-0.0701537954122185,0,0,0.0855975109658951,-0.0667011775291527,0.10090373519031,0.0502286645389938,-0.0343308555073091,0.0345120754872517,-0.0107769154038862,0.0882076526234729,-0.00767509007967081
"miR205",0.0082301300136026,-0.00466188414941386,-0.00315433559027044,0.00231250228176001,0.00251263797496979,-0.000619458501749566,-0.00199999272548244,-0.0861441930471054,-0.0790280677008185,0,-0.0156050049434812,0,0,-0.00624395799214878,0.0154978173295829,-0.00158098768582278,0.00439046938217689,0.00302356856551098,-0.00239421213321756,0.00035598544785735,0.0840896911987412,-0.00212820553095635
"miR200c",0.016578303090926,0.000474406221136567,-0.0533206855905512,-0.0740189372187611,-0.0113145063878602,0.084715899319423,0.0115337863723163,0.068522165068267,0.0186030718043219,0,0.0840569380420161,0,0,-0.0079790895232331,-0.0198396070875726,-0.00881664282201513,-0.00042719798653941,-0.0251873423033767,0.0254425116830512,-0.0846836478053936,0.0456924645429015,-0.0643793874766078
"miR200b",-0.00949468448982674,0.0228170691505895,0.05029575132712,-0.058806708036208,-0.0143411868932152,0.0908073207584443,0.0138942998362857,0.119434216416673,0.0622481716404755,0,0.0140719064111207,0,0,0.016440517416415,-0.0518120708613999,-0.00605039027084954,-0.022416261982343,-0.0284526750630961,0.0278895426389869,-0.0904334420958071,0.0254973086941389,0.0389852208235738
"miR200a",0.0171555712790207,0.0227269377864013,-0.014213607418394,-0.0861340712361729,-0.0117480685492677,0.0877379127114823,0.0117397414612503,0.0710030600613126,0.0176004342541458,0,0.108022338987159,0,0,0.00290789200140053,-0.0659480634052673,-0.0199881590012841,-0.0226676960802402,-0.0267374125049162,0.0266142272871423,-0.087540820125747,0.0506950680082483,-0.0260784660018534
"miR141",0.0100719526779215,-0.000564537585324726,-0.0111886731549627,0.0466915740187962,0.0139076247318078,-0.087785307366385,-0.0136883447473516,-0.116953321423627,-0.0632508091906517,0,0.00989349453402227,0,0,-0.00555353589178142,0.00570361454370519,-0.0051211259084194,0.000175763888642262,0.0269026048615566,-0.0267178270348958,0.0875762697754536,-0.0204947052287921,-0.000684299348819324
"miR101",0.0781336546196919,-0.0263502047553147,-0.0330638336236368,-0.00594867992030993,0.0171857534856066,-0.0163174264555057,-0.0174328889607807,0.0526071937491159,0.0131669345627332,0,0.0146270326529666,0,0,-0.0555127609351973,0.0505655647969094,-0.0258692186192591,0.0263921446278584,0.0298615795943713,-0.130078492311284,0.0162980735464116,-0.101972445255378,-0.0477290909245581
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",0.0410194004919669,-0.0784599067398639,-0.0341216528650232,0.0215037314167111,0.112791964045852,-0.00641500200269149,-0.112919749249207,-0.0269177916559984,0.0295205719201829,0,-0.0159113613182757,0,0,-0.0634845698557394,0.0762819909630406,0.0128630544484269,0.0784373046496619,0.0780950067588113,-0.0781706964079606,0.00634117798149075,-0.167342728407715,0.00443458024483607
"FOXC2",0.026865545666526,0.00101854497618905,-0.0170952950043572,-0.0086736054047889,0.00321649928032656,-0.00204635246953406,-0.0027096666634022,-0.0780442356273471,-0.0697843415713146,0,-0.00282028010616704,0,0,-0.00741229333794048,0.0164315115438016,-0.00940993111885749,-0.00141260313447442,0.00243239051245851,-0.00192436368864221,0.00184155920003718,0.0826669038136173,-0.0158503932773019
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
