"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0626273969501333,-0.0378145414171452,0.0658038923797694,0.0269054147813308,0.00285718878628458,0.00635762933342668,0.00283348086783982,-0.0143022590955286,0.00663934687938143,0,-0.0566838238019924,0,0,0.0342714364647136,0.0547823126709122,-0.00613688486930211,-0.0348169949957368,0.0113966346319294,-0.0100392111487384,-0.00498755778524583,-0.0128848833270252,0.0561309751265207
"ZEB1",-0.0140423427431991,-0.0835585699042622,0.00444536786147216,-0.140356243837777,0.0157322304616138,-0.00780325531548211,0.0157143082440381,-0.145676962468479,0.0911559316208096,0,0.0284932308883102,0,0,-0.0139244770530601,0.00152020567337274,-0.00575381545662781,0.015672982080018,0.119757437699295,-0.120123607843986,0.00746158278365026,0.0929684317038225,-0.0183043067603724
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0602573020941154,-0.0494423442027974,-0.104669930834485,0.244689102337167,-0.0803751068204668,0.0241077946796495,-0.0804079985278095,0.293229763404496,-0.100834363994778,0,-0.066626596312058,0,0,-0.0042007888248245,-0.0938317751207982,0.0509417057484999,-0.0486397865725632,-0.209365452621198,0.20983481866413,-0.0237699472825458,-0.0158220056362299,-0.0751939537325456
"TWIST1",-0.0728852103725357,0.0165399737375297,0.150258851178027,-0.209846025901127,0.0291322864530721,-0.0356172348975546,0.129115210215433,-0.264361004367051,0.00780874930632375,0,0.014742919275899,0,0,-0.0376937867351066,0.0511073881514079,0.0383833951665625,0.017042718219397,0.170406717536626,-0.170174156535506,0.0358471568310377,-0.0160967515851285,-0.109234041341726
"TGFbeta",-0.0285286042956344,-0.108253737966963,0.15797155059745,-0.227514881659218,0.0690967560396907,-0.123232277572664,0.0691454889831605,-0.274549408943284,0.0923926747982906,0,0.0420688536445363,0,0,0.0366145029316657,0.179037850693865,0.0732599144182172,-0.10887342551893,0.184440610980572,-0.184850836902094,0.0229838423916611,-0.0196295800151291,-0.00498672563448046
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",-0.129765594114815,0.044040718568765,-0.292804139674799,0.325476370838796,-0.155475330393476,0.197788488647469,-0.155487308832287,0.26611190652341,0.0090148519811778,0,0.0307718352265756,0,0,-0.08496486296134,-0.30769990599671,0.0404379992169026,0.0429773412825038,-0.281303635693022,0.280926611962705,-0.198305994014983,0.0423829631701985,0.0900737307231158
"SNAI1",-0.00431508068966928,-0.0947676418001007,0.107226783642707,-0.0739707017289607,0.0189311619199266,-0.0160699826821271,0.0189154608679561,-0.109299659550072,-0.0950820969407883,0,0.00565763055828536,0,0,0.0346285204622881,0.0597004257138758,0.0587344067061283,-0.0943098025786438,0.107338699335786,-0.107151216729191,0.0162852854342752,0.0762345387753482,0.0873771849642142
"miR9",-0.0334823944274334,0.0348169949957368,-0.0689328089905713,-0.0244244286811472,-0.00283348086783982,-0.00498755778524583,-0.00320427744116804,0.0149526185610981,-0.00803261896484792,0,0.0607307863564707,0,0,-0.0398428453108498,-0.0591065378680513,0.00646366721385037,0.0396553280106191,-0.0100392111487384,0.0128760905813625,0.00707674801731683,0.0138549252499726,-0.158971060754571
"miR34a",0.0588218021684962,-0.0920646011730983,0.156305218980272,-0.301700698388335,0.069142585207439,-0.0329384142090497,0.0691538696602841,-0.26874002494469,0.0914377062605195,0,-0.000330796957163468,0,0,0.120658642728939,0.172178260956031,0.0681428406025808,-0.0924590468495301,0.19211427289726,-0.192402811861204,0.0327909779615752,0.0783680097595848,0.0359124840764486
"miR30c",-0.094128270697247,0.12447462186985,-0.142199077300479,0.207732169909213,-0.0321963502771515,0.0259079647547158,-0.0323117417204322,0.2598142775616,-0.00209361899916644,0,0.0174568919514842,0,0,-0.126253022707033,-0.181102842946639,0.0321721774790236,0.126087429415565,-0.164507265494623,0.165487260920138,-0.0252255209559698,-0.0685679304871724,-0.0270885315883952
"miR205",-0.0188569210080511,0.00412750385930481,-0.0304915233397442,0.120729277604678,-0.0115931511648782,0.00191079887918128,-0.0116529597773184,0.136289399303414,-0.0963598242688347,0,-0.0020820987929294,0,0,-0.0118556773040492,-0.0268430666096196,0.00673911776306226,0.00483232964228667,-0.116941226481714,0.117360797436576,-0.00161047644712232,-0.0910368128099334,-0.0105756988825987
"miR200c",0.0378297295111735,-0.0509719473101726,0.140235682788817,-0.0469502432650383,0.026528426496952,0.0917198408889651,0.0266311272491656,-0.146250971216632,0.0682904570387293,0,-0.0498714434094409,0,0,0.0459502997794155,0.116291405912469,0.00812984561493673,-0.052190104893111,0.107181932644731,-0.107951840255818,-0.0922203366066807,-0.0267029976344738,0.0740422962082135
"miR200b",0.0238318597931251,-0.00653331885776901,-0.00350100835609155,0.193246379837224,-0.0393177328639018,-0.0746713438010299,-0.0391761723676074,0.247836489435406,-0.12619559942333,0,-0.115447706524773,0,0,0.0178312134438009,-0.00202916186915394,-0.0097465613779653,-0.0086160350899965,-0.188487983345398,0.187339721136863,0.0737503839004123,-0.0130199780667961,0.0766848777077963
"miR200a",-0.0378297295111735,0.0509719473101726,-0.140235682788817,0.0469502432650383,-0.026528426496952,-0.0917198408889651,-0.0266311272491656,0.146250971216632,-0.0682904570387293,0,0.0498714434094409,0,0,-0.0459502997794155,-0.116291405912469,-0.00812984561493673,0.052190104893111,-0.107181932644731,0.107951840255818,0.0922203366066807,0.0267029976344738,-0.0740422962082135
"miR141",-0.0378297295111735,0.0509719473101726,-0.140235682788817,0.0469502432650383,-0.026528426496952,-0.0917198408889651,-0.0266311272491656,0.146250971216632,-0.0682904570387293,0,0.0498714434094409,0,0,-0.0459502997794155,-0.116291405912469,-0.00812984561493673,0.052190104893111,-0.107181932644731,0.107951840255818,0.0922203366066807,0.0267029976344738,-0.0740422962082135
"miR101",0.100295358242231,-0.0270778016507582,0.0199647066211256,0.0967394889103102,-0.0233459541849453,0.0231779220431992,-0.0232908082524684,0.138017972263099,-0.0174873903528573,0,-0.0257300835805199,0,0,0.0660944290028286,0.0476765483978591,-0.0350319236495971,-0.0279367166014703,-0.128581124759968,0.0280825492613925,-0.023543867960615,-0.0977567601242039,0.000504925188785592
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",0.112452846179554,0.100724138629482,-0.0565690750375425,0.0540858695799452,-0.0366005132605197,0.0238332082593651,-0.0366019820559605,0.114316326631178,-0.0686284898331974,0,0.00824235801940816,0,0,0.0047346574782245,-0.0214910052693529,-0.105750373764256,0.100772782258395,-0.143248525927734,0.143275308418971,-0.0238136480486196,0.0948372902388354,0.0090308613861593
