"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0144189394492052,0.0310095103222683,-0.172335568565464,0.0355405198782403,0.0588373871086161,-0.0592961493111659,-0.0586951395979476,0.0501979231468314,0.0537716388296631,0,0.015680178290239,0,0,-0.149085867957165,0.120680087260429,-0.149085867957165,0.0308766288853571,-0.0519344720916203,0.0516451079868846,-0.0592048112079539,-0.0223226808183987,-0.163542591379153
"ZEB1",-0.0018536495716863,-0.0736764916354195,-0.00510234082613762,0.0151564705978364,0.017185080953255,-0.00675210750077441,-0.0172119642796186,-0.109801720387142,-0.0778206141019671,0,0.0389898087794904,0,0,-0.0154889753907877,-0.00981032742765517,-0.0154889753907877,0.0255169637740435,0.0944235690525773,-0.0948869105625256,-0.00606364374749525,0.0960784278314767,-0.0191620524160858
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0398048048609955,-0.094299572197631,0.0956212077306687,-0.166565178016599,-0.0467338919429663,0.0549053534697107,0.0465378573672036,-0.200658043845111,-0.0677796146914486,0,-0.00990239265493319,0,0,0.0702313268899891,0.0891038364387488,0.0702313268899891,-0.0947459261673229,0.145047170367049,-0.144982502156689,0.0553179007938122,0.0147867501806698,0.0786934647037526
"TWIST1",0.0662713715447722,-0.157112398204936,0.104690466263472,-0.132497016119154,0.138068402156591,0.0401980598755654,-0.238181726279105,-0.00900135305188229,0.292284715043207,0,-0.192943412454249,0,0,0.048290328252209,0.0953396068146728,0.048290328252209,-0.157208072631861,-0.125764529232811,0.125962636752284,0.0402969797771802,-0.383323526936386,-0.171149947965457
"TGFbeta",0.135854841613781,0.0163890973694239,0.0923178641854607,-0.133566953544376,-0.242486086543724,0.0949161629091848,0.242448599664132,-0.245302856171253,-0.245733566651772,0,0.176554197252561,0,0,-0.074705765787157,0.181759106190783,-0.074705765787157,0.016395686452255,0.245507284315804,-0.245450803935305,0.194919389340107,0.16906953415925,-0.00127139828792654
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",-0.00928537727105196,0.0478741582151192,-0.16688229264398,0.188632556612269,0.0536874722004923,-0.20474437368514,-0.0536195943805682,0.0231366104796611,-0.137103759355122,0,0.0834246655162776,0,0,-0.0188996125957855,-0.203065774126962,-0.0188996125957855,0.0478537279743438,-0.0919346729227574,0.0917287355910716,-0.204736675258185,0.0836851593722717,0.191193227819795
"SNAI1",-0.151745608800198,-0.117966942849626,-0.0877195768440009,0.0134414716064808,0.251814911173969,0.0266761538151474,-0.251849084051787,0.203511175806456,0.176791623360712,0,-0.240686267287733,0,0,0.130922256355736,-0.0657730876557872,0.130922256355736,-0.118141608048899,-0.291070683238154,0.291075077361746,0.0268327736808905,-0.29642062442353,-0.0820446851578848
"miR9",0.0855493085457144,0.0308766288853571,-0.172401149025401,0.0352362974811776,0.0586951395979476,-0.0592048112079539,-0.0584010595570321,0.050175423066474,0.0538090421071253,0,0.0159470109861387,0,0,-0.149304489948236,0.120674585701654,-0.149304489948236,0.0311717268621314,-0.0516451079868846,0.0512803663455472,-0.0595190165990569,-0.0221849777063083,-0.263670235677043
"miR34a",0.0336167604936324,-0.0863153831922487,0.130290811731636,-0.0757867079268781,-0.125481542206546,0.0701741005506468,0.125326380979926,-0.243505470907975,-0.188141789475144,0,0.0427213935964953,0,0,0.0764857140459277,0.155185608012414,0.0764857140459277,-0.0865932881006438,0.217222634961859,-0.217137638987984,0.0704343892344598,0.165626973038541,0.0241351067461819
"miR30c",-0.0530495674119851,0.115464713185857,0.0282127252494056,0.118011194507003,-0.157118804753396,-0.0203177499834756,0.157185376739904,0.00727992114646936,-0.30059728195541,0,0.243339194020046,0,0,0.0362777481691145,-0.0891555806916214,0.0362777481691145,0.11529119733956,0.130662857628051,-0.130910935464671,-0.0201820258666382,0.28790162591936,0.118772211693795
"miR205",0.146660826333465,0.0261113108900863,-0.0933657061459661,0.0200688497217422,0.0301699831418703,-0.0290093363775581,-0.0299307486921095,-0.0931119848081944,-0.0683525473758362,0,0.0327033527444463,0,0,-0.0892303096495459,0.0654345617088222,-0.0892303096495459,0.0272026540379292,0.0815940782582275,-0.0814790346093137,-0.0299876873678852,0.0902027861915498,-0.100658087501414
"miR200c",0.197035796064111,-0.00577957136033814,0.0052506330371405,-0.0809974541295631,-0.170960080812897,0.0931136990657366,0.170890688412752,-0.139040642178237,-0.151373033494287,0,0.00452283355009285,0,0,-0.0957520477967773,0.142071494362499,-0.0957520477967773,-0.00636643451199691,0.144824915716524,-0.144961299350488,0.0936309177907268,0.0817105033823889,-0.034730628245624
"miR200b",-0.128784166656756,-0.0230679259696774,0.143511642977456,-0.0935913672286898,-0.194628228938813,0.143604522189966,0.194431154522403,-0.155456959468219,-0.170520853384409,0,-0.00307295036968055,0,0,0.0786758238071918,0.0154950677796437,0.0786758238071918,-0.0237834547019049,0.162426339498836,-0.16240434213852,0.144257913974192,0.0912634668947787,0.1015528139654
"miR200a",0.197035796064111,-0.00577957136033814,0.0052506330371405,-0.0809974541295631,-0.170960080812897,0.0931136990657366,0.170890688412752,-0.139040642178237,-0.151373033494287,0,0.00452283355009285,0,0,-0.0957520477967773,0.142071494362499,-0.0957520477967773,-0.00636643451199691,0.144824915716524,-0.144961299350488,0.0936309177907268,0.0817105033823889,-0.034730628245624
"miR141",0.195448232836539,0.035232007959181,-0.0501353556387955,-0.0465162495291364,-0.155779339187831,0.0774917650415785,0.155893142724068,-0.213982374907524,-0.199807966392107,0,0.152074868220494,0,0,-0.11651591442069,0.0965515386581049,-0.11651591442069,0.0359382801748208,0.207408880146752,-0.207237300736281,0.0768765972739806,0.118070436841378,-0.102137410407625
"miR101",0.053969796725808,-0.120452363011592,-0.0449355370185002,-0.00245306647193157,0.237239375333103,0.0134456612929976,-0.237278181730031,0.198357173042225,0.27434063743841,0,-0.168505558205859,0,0,0.03201545163976,0.0553935623540431,0.03201545163976,-0.120735712882193,-0.287073080061192,0.187053655041767,0.0136919710451045,-0.286809144486519,-0.00392477407283637
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.134480218149145,-0.0406837278237477,-0.0103039096170834,0.0149804717721101,-0.333553868741566,-0.00422675506588994,0.333622902127287,-0.0460048184181728,-0.263169613187352,0,0.0894637314325913,0,0,-0.0483229021399577,0.094323420205365,-0.0483229021399577,-0.0409677280006336,0.203872960025175,-0.20412564700772,-0.00399897325688593,0.176751250000755,0.0686547798124662
"FOXC2",-0.0018675691049377,0.0255169637740435,-0.00549573704909392,0.0140472668476713,0.0172119642796186,-0.00606364374749525,-0.0170002493890046,-0.109606084732948,-0.0776465926785189,0,0.0401350662199332,0,0,-0.0163172010432107,-0.0103223767320062,-0.0163172010432107,0.0270088316524301,0.0948869105625256,-0.0945312917858541,-0.00737542766292116,0.0960583769330422,-0.0195209453001062
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
