"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.088646999704959,-0.00518537904578363,0.0090639604191093,-0.00425509337232509,-0.0181172673096664,0.0012496677958921,0.0174415916339908,-0.0070939853260256,0.015255916415699,0,-0.00849718833801783,0,0,-0.00463703939582374,-0.00431862751772159,0.00463703939582374,0.00531328364985169,0.0113828562964602,0.0105806354857702,-0.00148816173205691,0.0237449918871895,-0.00319861777970785
"ZEB1",-0.00161863741662339,-0.108128397109772,-0.00496538855131533,0.10024984015128,0.064488517719056,0.00133392219335285,-0.0650261842463276,-0.105588253421869,-0.0512044072109944,0,-0.000793510322097521,0,0,0.00540303662737808,-0.00863794846454277,-0.00540303662737808,0.00824519318782941,0.0258241804810153,0.0251570161073558,-0.00146828779575863,-0.0683210501919587,0.0153333712971883
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0763072137695618,-0.0784911441437144,0.0194712754781725,0.0872740780198469,0.0423804841658127,-0.0206155228381774,-0.0422844403803719,-0.0761625043646465,0.0804585628013018,0,0.00615394068639753,0,0,0.0774273368481856,0.0292861162877917,-0.0774273368481856,0.0783913191672414,0.0759141182202236,0.0761999099885863,0.0207620931494837,0.00406735761798551,0.130436207189469
"TWIST1",0.00593968464924951,-0.0285509922972166,0.105192976227945,0.0820499890698263,-0.0087525078636202,0.00414694103667178,-0.0908733672935588,-0.0382489177953289,-0.0039387668788024,0,0.0272741218935592,0,0,-0.00645852480209315,-0.0132335055396225,0.00645852480209315,0.0285564371833018,0.0165832114866808,0.0169068281178686,-0.00398653038540454,-0.025145433647395,-0.0507430019313158
"TGFbeta",-0.00485354739592765,-0.0340930414385548,-0.0110626650849429,0.0658823588750565,-0.0143793386932904,0.0807636859315752,0.0155601754004429,-0.034660768929433,0.0110784918927214,0,0.0314995880398869,0,0,0.0216212026478013,-0.0610065144108986,-0.0216212026478013,0.0341310071062956,0.0202766308769222,0.0210376296878616,-0.180723355545049,0.0816669201876808,0.0816219272980213
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.00902019816405296,0.0522162021704092,-0.00817167807050395,-0.0725279732951424,-0.059855917732672,0.00882571958401604,0.0604069259179385,-0.0265427350089449,-0.0180984764274258,0,0.0237483174656007,0,0,-0.0306050621498918,-0.00598827430541055,0.0306050621498918,-0.052355194792078,-0.0441955235862996,-0.0434288030591,-0.00852548093278045,0.00677727216234733,-0.103180753670168
"SNAI1",-0.0847544882034853,0.0519400034069572,0.0511734591078961,0.0152704422546738,0.0125074217611226,-0.00821222177864803,-0.0125489833692797,0.0543305330138515,-0.10620155099094,0,0.0657292741819463,0,0,0.0230345139211702,0.0351467500345808,-0.0230345139211702,-0.0517869781438774,0.0178410345088603,0.0174411692619838,0.00795647541559922,0.0607436932246644,0.104605332113997
"miR9",-0.011448256310282,0.00531328364985169,-0.00885993232152558,0.00402430396765685,0.0174415916339908,-0.00148816173205691,-0.0188097031286845,0.00753434404159244,-0.0151437065833125,0,0.00900417046022721,0,0,0.00431255833539202,0.0039573584914975,-0.00431255833539202,-0.00555318344392001,-0.0105806354857702,-0.0110466942497013,0.00164802061524968,-0.0232155999229311,0.103323602821392
"miR34a",-0.00536021000195119,-0.125737947514148,-0.000963513482067666,0.175331278047805,0.0558518105920741,-0.0251023412414744,-0.0564922032910331,-0.110931872062385,0.00622332982558769,0,-0.0724503656055271,0,0,0.118042251559917,0.00393128119641785,-0.118042251559917,0.125776637161837,0.0516142246024336,0.0510416201468552,0.0250374207539033,-0.0828495434589676,0.0126672215519192
"miR30c",-0.00771865806226148,-0.0587609497294868,-0.000997282126091235,-0.0979561580499245,0.00596957232938342,-0.0271733306463402,-0.00707022917298363,0.0575119226540857,0.000941744671810064,0,-0.0718404799162022,0,0,0.048737303970415,0.0373629058936461,-0.048737303970415,0.0586830900548661,-0.0264024138517669,-0.0270727518358266,0.0270930431406054,-0.0738787850149326,-0.0499278443675503
"miR205",0.00592464612136478,0.00333127071217984,0.00614703683263623,-0.101377220263016,-0.0817460968667256,-0.000676883990357844,0.0812505397922212,0.10226243697819,0.0703405798599965,0,-0.00187399014420706,0,0,-0.00452148056080175,0.00445656408785949,0.00452148056080175,-0.00330711337687603,-0.0151008031585825,-0.0154730031991861,0.000734000526516296,0.0855441816411475,-0.0119002741922311
"miR200c",0.000263325908659621,-0.0161197425078896,0.0514268434837321,-0.0224483450448121,-0.0736613907560991,0.103535863958974,0.0731922981311234,-0.0142046046722831,0.0530682178994084,0,-0.0247353475048995,0,0,0.00823897203081601,-0.017684867191263,-0.00823897203081601,0.0159022143680792,0.0342194282174514,0.034364610795542,-0.103224099323357,0.103947774445651,-0.0153041495647653
"miR200b",-0.000263325908659621,0.0161197425078896,-0.0514268434837321,0.0224483450448121,0.0736613907560991,-0.103535863958974,-0.0731922981311234,0.0142046046722831,-0.0530682178994084,0,0.0247353475048995,0,0,-0.00823897203081601,0.017684867191263,0.00823897203081601,-0.0159022143680792,-0.0342194282174514,-0.034364610795542,0.103224099323357,-0.103947774445651,0.0153041495647653
"miR200a",-0.00574522961643023,-0.00817156046025651,-0.00343164204099849,-0.0211010380954188,-0.0669313008029257,0.101131519717318,0.0658682092327145,-0.0120770650281455,0.0491069123539819,0,-0.0185881007423221,0,0,0.00687136530262995,0.014494480465299,-0.00687136530262995,0.00784943368300532,0.0315854097909372,0.0315282166541136,-0.100750474051563,0.0952141640871582,0.0377409280300125
"miR141",0.00100584474681454,0.0225769368184139,0.00349810085715783,-0.0783870125409729,0.0232354625021204,-0.112247112518129,-0.0240043302957196,0.0855093446087947,-0.0216440675930813,0,-0.0711232389976344,0,0,-0.0124502515665522,0.0585393785447598,0.0124502515665522,-0.0224325351596461,-0.0531589771593427,-0.0539904773793163,0.112078687944864,-0.0908513063633229,-0.0467327681897767
"miR101",-0.0106946721412398,-0.0786756644286895,0.00362993878559113,-0.0488884608039862,-0.0228791450736574,-0.0210770685224506,0.0216924863044329,-0.038867583881912,0.0178721028484283,0,-0.0480468645976649,0,0,0.0427118923327781,0.0432394832748461,-0.0427118923327781,0.0786350884544399,-0.0198249549372266,0.0793850942728226,0.0210454001257512,-0.0590121248644545,-0.00967765494655595
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.0765019769505616,0.0889103977420401,-0.00517848968230808,0.0565468410010082,0.0445693895520935,0.0152427151921953,-0.0440567799432337,-0.0257733002195677,0.0586710084584981,0,0.0833284823993279,0,0,-0.00396928386525422,-0.00739795866409609,0.00396928386525422,-0.0890519064806961,0.0949026626954836,0.0955722249764203,-0.0150868644807715,-0.107512084667808,0.0585549308395472
"FOXC2",0.00162189517972478,0.00824519318782941,0.00508601050597761,-0.10027624976438,-0.0650261842463276,-0.00146828779575863,0.0635955048339968,0.105934792610978,0.0513455056624389,0,0.00107777291806413,0,0,-0.00553210323848244,0.00841467651561853,0.00553210323848244,-0.00832955794258427,-0.0251570161073558,-0.0259495379525093,0.00163433639264799,0.068590966132423,-0.0152520935983841
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
