"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0855998674016681,0.0293692024305481,0.0077276203229967,0.0370198645602753,-0.023502285765332,-0.0104118085824703,-0.021943490127589,0.00153214491184679,0.0318370126196919,0,0.0692955355741611,0,0,-0.00120513709301011,0.0274290608835024,-0.0201273965421997,-0.0282290100261904,0.0142885672119172,-0.0160788605753632,-0.00836431276880001,-0.0262277953548628,-0.0463849051557857
"ZEB1",0.000255853875097843,-0.0824596505711654,0.02464496610966,0.105912530952504,-0.00521139849384525,-0.00692077664093509,-0.00424957281728154,-0.0717080233330209,0.0866875792655747,0,0.0376471450838614,0,0,-0.0110807652855786,0.0156373107527814,-0.0118648449343123,-0.0172466047861654,0.0780294554707616,-0.0788293417091632,-0.00598917513092165,-0.105458563844682,-0.0136889554124612
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.0583380710497015,-0.00679538648429436,0.00257253677403712,-0.080422674449732,0.107046649011835,0.00193997285360775,0.107550549968326,0.0544725631834907,-0.00595404633164859,0,-0.00749627857415179,0,0,0.0338186722696677,-0.0039126925141345,-0.0258286145274578,0.00717225875230023,-0.0365958289728701,0.0360096429370314,0.00255624725133959,-0.0702256839451156,0.108108724431998
"TWIST1",-0.0870043674995221,0.0687989355332943,0.164923586760947,0.121164184847896,0.0118515220822357,-0.0158374394047324,0.111607797599568,-0.0812091256519709,-0.00596529295254874,0,0.0507221453285624,0,0,-0.0757738495685414,0.0214176215462798,0.0131538271973604,-0.068977579652947,0.053922006525997,-0.0535417877463885,-0.0161903428375203,-0.12174064887085,0.141927389665454
"TGFbeta",0.0569385542271916,-0.00520806190158722,0.00939128591301844,0.0395719028348482,0.0579437406169406,-0.0981976212977656,0.0587796980318453,-0.0396043776432432,-0.0095348413703513,0,-0.0585462133573712,0,0,0.0360684727695278,0.0934334145262793,-0.0268529998188013,0.00799524393911989,0.0123540634427785,-0.014681649649675,0.00453193926234282,0.0169520227206252,0.0884795622925697
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",-0.0163594191675183,-0.0126611677724955,-0.00268635203261372,0.000206002770338908,-0.0736173407842163,0.00401995626208611,-0.0727069794346455,-0.0974540753925867,0.0294440363423871,0,0.000500695006246266,0,0,-0.00107717944014658,-0.00967516716575415,0.0156034432417591,0.0149356229381646,0.0157612677488376,-0.0174214394688896,0.00614728824391783,0.00475712952811632,-0.102915976712381
"SNAI1",-0.0204702131872639,-0.0862073570260416,0.0631490483274352,0.0365115182304829,0.01989227309556,0.0174310278390114,0.0207502894061822,-0.0534524097755529,-0.111651030986444,0,0.00179403771299277,0,0,0.0231323836762752,-0.020789204399864,0.0607109277198313,0.0876501224862303,0.0707893380516066,-0.0722481870841671,0.0192117362366117,-0.020450687015882,-0.0507528382540853
"miR9",-0.0153091807437796,-0.0282290100261904,-0.00945311509113334,-0.0388451989426514,0.021943490127589,0.00836431276880001,0.0246413548507702,-0.0045782272192836,-0.0333775601101657,0,-0.0705674380912829,0,0,0.00329700435494226,-0.0292464091321729,0.0210248973476491,0.0309867961544624,-0.0160788605753632,0.0126746052562143,0.0122946363452291,0.0232687084794994,0.145960753790922
"miR34a",0.0150789355014489,0.0304928691286471,0.0639989367714954,0.197167777233063,0.0856368939111372,-0.036522989303962,0.0846861787589381,-0.0636728743360631,0.0177301337258916,0,0.0265013940647504,0,0,-0.0514542171810274,0.0676287791364177,-0.0639196331522882,-0.0313180910043401,0.0471629967392438,-0.0460558123427152,-0.0377673997713288,-0.0868695634371741,0.0308665258921234
"miR30c",-0.0408676073422407,0.0814170196736521,-0.0122105803651829,-0.0893992372273134,-0.00411830741225567,0.0241881375074609,-0.00318629960114259,0.0672990067185222,0.011230722755581,0,-0.00947780750100589,0,0,-0.0759533205991355,-0.0573058847402123,0.0297377345112592,-0.080345522246729,-0.0444609010116474,0.0430410512658832,0.0256868376145109,0.0186677447934111,-0.00534480894340783
"miR205",-0.0109161726578388,-0.0216990144945882,-0.0186576913479791,-0.116278421025845,0.00989822262036927,0.00730262753434639,0.011880450918387,0.0767970062033659,-0.101341959915198,0,-0.0479568271362317,0,0,0.00769133170310244,-0.0220896889930326,0.0169242846883866,0.0233118718810487,-0.0893528884534654,0.087112920936378,0.00994657041781023,0.10982378714156,0.0254158209243286
"miR200c",0.0137610689916267,0.0277150579394799,0.019084009385725,0.0637223938532534,0.0706835731160643,0.0741035280200431,0.0689487631124559,-0.0688835241869003,-0.00384901267591811,0,0.0506243518068512,0,0,-0.00830912671378817,0.0870122659650196,-0.021919604427749,-0.0304383251195747,0.0342036798366962,-0.0315375997663046,0.0709416851446415,-0.000132782263794702,-0.0201165430827705
"miR200b",-0.0130708924155963,0.00724793901721872,0.05397432620407,0.042687832105207,-0.0742684828573354,-0.0910200877708945,-0.0739381750326484,0.0273136762462186,0.0612044647486101,0,0.0957821131625087,0,0,-0.00968206192978199,-0.0336373562967337,0.00402916278316007,-0.00542347959778744,0.015972925714162,-0.0172047778919007,-0.0895831036458064,-0.0431127847558869,-0.0422762027912834
"miR200a",-0.00884102573384094,-0.0389241149475836,-0.0101221632142384,-0.0567835568019811,0.0832402153711741,0.105891360176569,0.0840812512609234,-0.029800025902113,-0.0723822771500182,0,-0.130519050232122,0,0,0.0158380599520867,-0.025731140123446,0.0231784501522245,0.0383020770328917,-0.0210532114146257,0.020806840979078,0.106157733792442,0.0526864620100681,0.116795284410249
"miR141",-0.0137610689916267,-0.0277150579394799,-0.019084009385725,-0.0637223938532534,-0.0706835731160643,-0.0741035280200431,-0.0689487631124559,0.0688835241869003,0.00384901267591811,0,-0.0506243518068512,0,0,0.00830912671378817,-0.0870122659650196,0.021919604427749,0.0304383251195747,-0.0342036798366962,0.0315375997663046,-0.0709416851446415,0.000132782263794702,0.0201165430827705
"miR101",0.0883780997340888,-6.02640656802832e-06,-0.0553416760107799,-0.048714994605044,-0.020843384103314,-0.00624512048328882,-0.0201918451233095,0.07198924721238,-0.00617094399514297,0,-0.00300451541050416,0,0,0.0457768220550609,0.0188713823553085,-0.0442013385219916,0.00134094186192252,-0.0900146080753497,-0.0113451432844017,-0.00466521935906074,0.0307256641200596,0.00733455798467232
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.0348897627512646,-0.102745276450251,0.0143641649492694,0.0242885720157706,0.0366988092227221,0.0174544754977213,0.0364094565208729,-0.0594360218576858,0.0650334670040089,0,-0.00936370684515317,0,0,0.0726346772803899,-0.00634834678648528,0.0291220382794581,0.101592078500162,0.112546524218726,-0.111485704674494,0.0162625645913263,0.0543368564804516,0.0333900757627256
"FOXC2",-0.000869201819005085,-0.0172466047861654,-0.0254203929610604,-0.107166987574715,0.00424957281728154,0.00598917513092165,0.00587272031198866,0.0701197636280373,-0.0877046639364038,0,-0.0379000716456269,0,0,0.0120606297366982,-0.0163551023902321,0.0120089596704782,0.0182835437338486,-0.0788293417091632,0.0771731742635221,0.00798729324682357,0.103575321768643,0.0132344023561856
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
