"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0678452137013164,0.00320336475718225,0.0166634121361487,0.0999891716338845,0.0329633611897619,-0.0296875122125636,-0.0328507485771493,0.148897245476825,0.0793901795179831,0,-0.0445769981340593,0,0,-0.0179997494819653,0.0585589910328485,0.018285112018595,-0.00251705950811665,-0.0350565733599094,-0.0347672092551737,0.0266987265019025,-0.0130336986931085,0.0493408850392274
"ZEB1",0.0197338334807587,-0.0937887109824013,0.000474777572711825,0.00547114852139785,0.0769511738882196,-0.00449768547067867,-0.0770766294112496,-0.0959830175288652,-0.0797479472242314,0,-0.0043718932431998,0,0,-0.0107901209197065,0.00783911006156133,0.00244819747873869,-0.00586791857352296,0.00753088462976997,0.00758658041229571,0.00342148097902853,-0.098777963283863,0.0125564103096577
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.100499288441435,-0.14790435186568,-0.0606092587253393,0.145914505294058,0.165716191389675,0.0138436149945471,-0.165651723643284,0.232261135354988,0.011316380685499,0,0.0884549225990221,0,0,0.123613584875598,-0.0223443283113678,0.025982338580377,0.148124230668484,-0.126909277245157,-0.126800801537457,-0.0147043618806354,-0.0452070140347038,0.0706050433585712
"TWIST1",-0.109337046802518,-0.0415909704328985,-0.154314483870697,0.172584637747902,0.0236625183675665,0.0162777729480015,-0.124027328898948,0.230667680872938,-0.00694224779189797,0,-0.0177089119608095,0,0,0.0677981930420778,0.0202493146347203,-0.0411098357409976,0.0419314054533687,-0.119207345071307,-0.119230724219568,-0.0172629616978678,-0.0307013887027573,-0.09000028952435
"TGFbeta",-1.37036063514564e-05,0.026877009096112,0.031000505197471,-0.23653863453954,-0.0797220642444822,0.118132245339213,0.0797970380036665,-0.275644130823154,-0.0985147278538874,0,0.0791293047785022,0,0,-0.0149535526855495,-0.138539757195156,-0.0149393788689943,-0.0268277478578037,0.0906455997969827,0.0903453619848543,-0.218041905273394,0.0312944749241056,-0.0360015523932177
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",0.0162546107453527,-0.129712862898524,-0.212089408634894,0.378213174791152,0.157818166983853,-0.228974894897448,-0.157378957560814,0.374895689615427,0.0574249518950546,0,0.0594725713523327,0,0,0.0570042537488125,0.222012788232785,0.0739000544687823,0.129449949144283,-0.315323881409464,-0.314674386747993,0.229030494647677,-0.0309056956497005,0.221869726214495
"SNAI1",-0.0574372630314945,0.0791439711487069,0.0513717385266386,0.0564147690473754,0.0302524847363131,0.0174321233000857,-0.0303531561871826,0.0510171635711298,-0.119203121906143,0,-0.0739488532464287,0,0,-0.00453660708554145,0.0213796999534027,-0.0715704816385824,-0.0789946555889744,0.0137888892309559,0.0138196480961002,-0.0178147515796858,0.0469297378511833,-0.0448154396259239
"miR9",-0.0293006338420192,-0.00251705950811665,-0.0176529484094298,-0.0985047761447683,-0.0328507485771493,0.0266987265019025,0.0315082092599265,-0.149001174419428,-0.080156946705958,0,0.0452915167975239,0,0,0.0211755215627864,-0.0606715896024432,-0.0195853375444384,0.00424731023524656,0.0347672092551737,0.0333690329633804,-0.0314559063707079,0.0125410275587409,-0.151149179259334
"miR34a",0.00987973466155273,-0.0260861060721716,0.0199445414489095,0.0330357332759894,-0.040306933295422,-0.0286012706408019,0.0399796841629143,0.139052592792485,0.0804042097067135,0,-0.0354058619961362,0,0,0.0505873668508165,0.0427793815106722,0.0589025234172927,0.0263083356338934,-0.0321293108208846,-0.0320912863062563,0.028027907456179,0.115100071186975,0.00424828810297996
"miR30c",0.10641889243346,-0.0485608686114386,0.0769704090134873,-0.199733978720489,-0.0370097318857402,-0.0337383852083713,0.0374535451291274,-0.228947119247456,0.0124006938268054,0,0.0606146410896074,0,0,-0.0969845089939339,-0.0416260083059495,0.109433650836651,0.0483740053923489,0.121769523320401,0.121764245068558,0.0342602539956477,-0.0572404180554384,-0.033647315958017
"miR205",-0.0137315397517134,0.00145807280807841,-0.00716278036068092,-0.0257955450076315,0.0738879660177334,0.0101811891113759,-0.0743322585672891,-0.139777790303991,-0.110056580804822,0,0.0106249257644275,0,0,0.00588935909002544,-0.0199373034513649,-0.00733480163633038,-0.00126197208620039,0.0160516026619492,0.0156184971601559,-0.0105736349888517,-0.0949371370598329,-0.011675915453816
"miR200c",-0.0318983548982072,-0.00191278009891844,0.00523281526935342,-0.153969014075983,-0.0739096431615142,0.136514942859467,0.0735404755927463,-0.189642488757867,-0.0855456783798552,0,0.104960927648873,0,0,0.0176078343344856,-0.10215636199796,-0.0158879556417817,0.00257924929323124,0.0531428175541483,0.052628079322736,-0.138236218108222,0.0337085985865604,-0.0846528502421384
"miR200b",0.0132987604788574,-0.0131942492163853,0.0439389960741875,0.129089860861773,0.0138749567203234,-0.130980365263914,-0.0135113405435671,0.25245854287619,0.135392707283294,0,0.00257068457799555,0,0,0.000244287910100574,0.057513598245831,0.0134869839055387,0.0130267062661483,-0.0593366260069837,-0.058865882496205,0.131148789837179,0.00493358721864417,0.0205679764012104
"miR200a",0.0318983548982072,0.00191278009891844,-0.00523281526935342,0.153969014075983,0.0739096431615142,-0.136514942859467,-0.0735404755927463,0.189642488757867,0.0855456783798552,0,-0.104960927648873,0,0,-0.0176078343344856,0.10215636199796,0.0158879556417817,-0.00257924929323124,-0.0531428175541483,-0.052628079322736,0.138236218108222,-0.0337085985865604,0.0846528502421384
"miR141",-0.0323378947751654,-0.0207848577489976,-0.0175097860134439,0.0921614437275426,0.000248456044859321,-0.0975848571730407,-0.000467736029315423,0.201139242299768,0.108730291179705,0,0.021327487730196,0,0,0.0278906390291232,-0.0148334258039437,-0.00587376356470566,0.0213717209006563,-0.0460184263604027,-0.0461548099943666,0.0956915738494625,0.0105324276476842,-0.0572236328661968
"miR101",-0.0245524041472594,0.0166099177784888,-0.0391837381102003,-0.0394930273586581,-0.0204967650896319,0.0185062801613666,0.0204742982282525,-0.0990019436036461,-0.00167708615792618,0,0.0236152475745228,0,0,0.00204904427254532,-0.0232428464682422,-0.0202021536081244,-0.0164302241782405,-0.000134401511991432,0.0997263858487959,-0.0190727925912123,-0.0684394887406635,-0.0442507588206473
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.0219613286864152,-0.0599307425367123,0.000273134644925993,0.0781450032232152,0.0448087020694016,-0.0260504521330999,-0.0447484814563264,0.131984609749654,0.0782514068017391,0,-0.0220022500575198,0,0,0.0100841022355543,0.0208553874127978,0.0433608943581381,0.0597337112721253,0.0232134084643978,0.0233310185346145,0.02662022214288,-0.0986977087919788,-0.0287451593409281
"FOXC2",-0.0185637042067957,-0.00586791857352296,-0.000860841154047319,-0.00481619011653848,-0.0770766294112496,0.00342148097902853,0.0770702138085037,0.0957216310487441,0.079348168278472,0,0.00460094473128837,0,0,0.0119957072467486,-0.00867130550755167,-0.00302986538976954,0.00644352114077449,-0.00758658041229571,-0.00763738309467734,-0.00522034077866323,0.0987054715741383,-0.0132738616015717
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
