"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.086467014341667,0.0564065299552519,-0.00838242291906377,-0.0351604330016088,-0.00204327046290002,0.0178903389675428,0.00216181005512382,-0.090323270135312,-0.0977092565228127,0,0.0163879585877036,0,0,-0.0348532864497031,0.0294553664518057,-0.0348532864497031,-0.0562607087529487,0.00338534691104002,-0.00333594328340222,-0.0173296245006021,-0.0910032495344884,0.0666539616853137
"ZEB1",-0.0192913510382887,0.125941980874521,-0.209534623221895,0.0691362107563648,0.106940155392948,0.0942250589134858,-0.106835609123756,-0.144003031984863,-0.164395683886375,0,0.182584798451675,0,0,-0.205798619446105,0.238217446801926,-0.205798619446105,-0.225839220376659,0.00674708663491317,-0.00662976998661426,-0.094109888397138,-0.137978781531485,0.249387509226225
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0146429237401227,0.0924817573476888,0.0230727041065533,-0.0357808517153471,-0.0118000851035965,0.0132881455360909,0.0117171980010928,-0.048656608687826,0.113102225861943,0,0.0944300351027496,0,0,-0.0375325846229615,0.0407402165554949,-0.0375325846229615,-0.0924861549237449,-0.0720033717816991,0.0718782075035841,-0.0131642115662991,0.0706185655354,0.113721885472674
"TWIST1",-0.00383027191460633,0.210542103620598,0.00267581223983759,0.0538623842574656,0.236936315903733,0.0647460991426689,-0.336568400601872,-0.0137828644329763,-0.309485396007331,0,0.0233360481843965,0,0,-0.120749840960321,0.0776006144086708,-0.120749840960321,-0.210309529200673,0.1116359284123,-0.111295085040289,-0.0647701607403589,-0.0547336766780102,0.24269468506199
"TGFbeta",-0.00282606589263457,0.125493691769104,-0.0344630409105384,-0.105829809237788,-0.0248525290181619,-0.0677714099354015,0.0249387488412239,-0.0943730897081508,-0.114065948902414,0,-0.0381896052425067,0,0,-0.0630410287547999,0.142633999130915,-0.0630410287547999,-0.125438155213813,0.00877749877232344,-0.00870912778540311,-0.0321769671698447,-0.117603457532762,0.113245899750622
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0122766886723153,0.117967069669829,-0.0363589732000537,0.0140326482679296,0.0966759788167958,0.025949137660922,-0.0964643597311499,-0.112038750355457,-0.054014399152769,0,0.0518908132479936,0,0,-0.053610865446717,0.0503891398212405,-0.053610865446717,-0.117865588309912,0.0191851769672042,-0.0190584463015514,-0.0259191993338757,-0.0128741192649439,0.0305662247176478
"SNAI1",0.116469413928906,-0.247239619709595,0.192800145626025,0.0643177600635823,-0.267577939805212,-0.0157172532885502,0.267172483227857,0.0804624316944296,0.241994800437625,0,0.0539090638830068,0,0,0.0786453538890768,-0.16125807868677,0.0786453538890768,0.246983031894734,-0.176744496005448,0.176535042780894,0.015526533907734,0.165408151489009,-0.214918521361092
"miR9",-0.0133801056338722,-0.0562607087529487,0.00822065778455096,0.035128961719154,0.00216181005512382,-0.0173296245006021,-0.00237917356362657,0.090401484700364,0.0977326335712265,0,-0.0165006212815279,0,0,0.0350557994519583,-0.0291857900718314,0.0350557994519583,0.0562161256053784,-0.00333594328340222,0.00297120164206484,0.018173017918826,0.0905472992300115,-0.16664332466049
"miR34a",-0.0815270460493409,-0.0476132018107085,0.0182513324361474,-0.0168286224228727,0.0739815272745663,-0.0681962926417255,-0.0738207238215237,-0.0849797239673493,-0.116391369381843,0,-0.0725720909139243,0,0,0.101310026597073,0.0404064473389981,0.101310026597073,0.047653778758284,0.0131622943590091,-0.0130526942874336,0.068181124303508,-0.062264997292806,0.0608857735018778
"miR30c",-0.00707717813771898,-0.161282900936256,0.0387338553357007,0.117129861614491,-0.139827506284803,-0.0368250395247803,0.139405883703586,0.0937243039304053,0.284557130403233,0,0.0854078808554778,0,0,0.102659958506367,-0.0815893980825,0.102659958506367,0.161068601450871,-0.0762659327920538,0.0759615536024414,0.0368556252412507,0.152170256902862,-0.132872752574157
"miR205",0.0212194288305198,-0.198346152283309,0.104203629524688,-0.0878098996644781,-0.105145206998611,-0.0458441687545931,0.105051222036205,0.107188716424162,0.114928745712568,0,-0.182524049803369,0,0,0.0890459811083069,-0.115489169099132,0.0890459811083069,0.198213997449,-0.00343041624673459,0.00338304533247595,0.0455733258250676,0.0968986103536429,-0.110368455256525
"miR200c",0.0188977852037493,-0.225220171331923,0.116035892299042,0.0176413737975964,-0.025973718489418,-0.134208850204701,0.0258155038170889,0.133955092016664,0.147655174024315,0,-0.106524897980925,0,0,0.104396814531427,-0.156186019939874,0.104396814531427,0.225105390526236,-0.00640597291377783,0.00638397555346107,0.134042814632476,0.124305933638074,-0.110408741575131
"miR200b",-0.00267774422495937,-0.253826660540269,0.0679803868098221,0.0301487491673911,-0.0251457277590124,-0.15955909251744,0.024893139422487,0.162784288588274,0.181025294142574,0,-0.116103124883578,0,0,0.130279932313765,-0.132449100840124,0.130279932313765,0.253692441049748,-0.0078680542023144,0.00768767584771696,0.159758574104214,0.161112952259042,-0.188674224401735
"miR200a",-0.0167979585042887,0.168336231641864,-0.0902466039959648,0.102039896247831,0.0605852307545564,-0.0570119315674134,-0.0606213148026314,0.059287139257764,0.0620883771418667,0,0.167599495259779,0,0,-0.0751878142268282,0.0660849805392614,-0.0751878142268282,-0.168278841239021,-0.00157081697302059,0.00161041222159076,0.0571970791479526,0.0879268568457148,0.0015163004671213
"miR141",-0.00267774422495937,-0.253826660540269,0.0679803868098221,0.0301487491673911,-0.0251457277590124,-0.15955909251744,0.024893139422487,0.162784288588274,0.181025294142574,0,-0.116103124883578,0,0,0.130279932313765,-0.132449100840124,0.130279932313765,0.253692441049748,-0.0078680542023144,0.00768767584771696,0.159758574104214,0.161112952259042,-0.188674224401735
"miR101",-0.12354262189278,0.263028644622688,-0.154077622124657,-0.0132576780331757,0.261090985662495,0.0152001504403323,-0.260664115296285,-0.0997619505805914,-0.314765401273505,0,0.0474688493149736,0,0,-0.0739692995273308,0.197974662330024,-0.0739692995273308,-0.262740521108059,0.15544414628267,-0.255143058481582,-0.014959118754342,-0.152596733834886,0.105587170844149
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.0936290861732569,-0.0468260955502539,-0.0339997972598634,-0.0421789957025827,0.326136536991124,-0.0522081678088352,-0.325803120426049,0.0246731872220344,-0.260609903284594,0,-0.110444844025305,0,0,0.0674020159167105,0.0180153130810246,0.0674020159167105,0.0470457289050429,0.191470288620037,-0.191303771391908,0.0525116665626605,0.0645288594250132,0.0546669986912588
"FOXC2",0.0192892779163151,-0.225839220376659,0.209404468833126,-0.0691203649885053,-0.106835609123756,-0.094109888397138,0.106585400616667,0.143977701748645,0.164256937075788,0,-0.182512427134592,0,0,0.205729745335246,-0.23807628726397,0.205729745335246,0.225618163361035,-0.00662976998661426,0.00637575657470611,0.094126493256827,0.13785384901047,-0.249302886766154
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
