"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.111237349234871,0.0997898023706293,0.0425699657369825,0.0414516296610653,-0.00987158984788783,-0.000301644236502727,0.00985380890905426,-0.0320055433126253,-0.0597132233073452,0,-0.11714654872983,0,0,-0.0371565913358476,-0.0378783737853725,-0.0371565913358476,-0.0998649525465603,-0.013713805129465,-0.013711452575768,0.000276272541166045,0.0452928432451693,-0.0237888267010904
"ZEB1",-0.122426014672936,0.150353804185619,0.235296597843916,0.134673673588435,-0.0312633403655842,-0.0107992176084532,0.0312812625831599,-0.0979021771973276,-0.170309276563175,0,-0.276344876917253,0,0,-0.179983422290535,-0.19024920941058,-0.179983422290535,-0.250429496064532,-0.0343468521692816,-0.0343812176521166,0.010724996609029,0.146971313512897,-0.162123809887339
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0503480320401691,-0.139634803577688,-0.0739285192089151,-0.0599454701026562,-0.0791172796092549,0.000426231869097144,0.0791606966629473,-0.0417186871291834,-0.186314443365656,0,-0.0111989654246742,0,0,0.0961521384985857,0.0459327513432849,0.0961521384985857,0.139649315578673,-0.0667558351202256,-0.0668288476157927,-0.000401897801969074,0.113641195090852,0.140696712551441
"TWIST1",0.0199262892594187,-0.118801904506741,-0.161352655925797,-0.0453008377471269,-0.16546869041935,0.00744865337356139,0.0654174617064328,0.00143423152734695,-0.179530114542624,0,-0.00536906512992604,0,0,0.0427681178932511,0.0235680628463945,0.0427681178932511,0.118673042202725,-0.0902528850899905,-0.0903181006088231,-0.0076023802476925,0.10149756430325,-0.0666696025275959
"TGFbeta",-0.00431016030779458,0.0195137087710555,-0.0785575121208959,-0.0118599055412794,-0.014632609084364,0.0894006549691387,0.0145726300770165,-0.027938184080117,-0.110023134481211,0,-0.11476695659457,0,0,-0.00913995507606337,-0.0803574193915233,-0.00913995507606337,-0.0195692453263458,-0.0405843169919905,-0.0405694537339644,-0.189453891079354,0.110878505324275,0.00737661716636336
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",0.0403873937370514,-0.112792672949329,-0.0417042378276776,-0.0181652160686048,0.0646314219405154,0.00335506454276113,-0.0645715297464647,-0.0794233451947434,0.0191780760319159,0,0.0734788384006483,0,0,0.0370489767521294,0.0321451338308969,0.0370489767521294,0.112811093658225,-0.00184227883141552,-0.00186445669790476,-0.00336789525435239,-0.0412780112677888,0.0962525294726393
"SNAI1",0.109691659339559,-0.118910691783791,0.0352701721109903,-0.129463334729563,0.172158134076625,0.0247096091030579,-0.172118419651053,-0.0804142270967046,0.121785194481724,0,0.216229570003219,0,0,0.00767376553089338,-0.0245407250854357,0.00767376553089338,0.118874213034209,0.19953143260614,0.199496279617403,-0.024756000303797,-0.221258484843887,-0.169563463938483
"miR9",-0.0108245731688269,0.0998649525465603,0.0430334009872084,0.0412523115388518,-0.00985380890905426,-0.000276272541166045,0.00971316193296424,-0.0320923293368611,-0.059778679042904,0,-0.117395592579337,0,0,-0.0369126552194947,-0.037661979140223,-0.0369126552194947,-0.100274692902801,-0.013711452575768,-0.0137317160002867,-0.000214328858977277,0.0450266172284614,-0.123625282444419
"miR34a",0.0673248515102744,0.130755320638427,0.100434600702076,-0.0383040127746975,0.0889072809082274,-0.00811282334242717,-0.0889383131535514,0.0517862444378012,0.203302452127776,0,0.0228916016835549,0,0,-0.144095559799423,-0.041649686317165,-0.144095559799423,-0.130667561193671,0.0694270420054499,0.0695120379793248,0.00821050744054812,-0.176414505866563,-0.0901316219393964
"miR30c",-0.0275048381593055,0.160272175819004,-0.00476351293393703,0.0340656098242983,-0.171026132540785,0.0147506527740791,0.170946246156975,-0.0212729529857201,-0.226615496040974,0,-0.248187888695889,0,0,-0.0849681746222856,-0.0590675183035496,-0.0849681746222856,-0.160439759499616,-0.101202821528104,-0.101267919967501,-0.0149150510001075,0.236079765706906,0.0203820425255548
"miR205",-0.0561744866218312,0.200871343656173,0.105185446085616,0.112586351137677,-0.0182320271927191,-0.0061685938478857,0.0182832917176678,-0.0898946459742563,-0.130794198750224,0,-0.217475627114141,0,0,-0.0738967975289371,-0.080439636418677,-0.0738967975289371,-0.200689453131532,-0.0200972053453195,-0.0200633689779919,0.00641732715051122,0.117653607813819,-0.0672984918097371
"miR200c",0.0372414326838465,-0.189602124940812,-0.144468409187768,-0.0519018967830893,-0.00132948523163067,0.116387894168366,0.00129895257556716,-0.0176405782936203,-0.052185655073212,0,0.104004298699259,0,0,0.0771602107908963,0.0229341485583527,0.0771602107908963,0.18948364152849,-0.0172275320083358,-0.0172583283127793,-0.116544373736435,0.0723991830233395,0.0324511831772821
"miR200b",0.0404367012734386,-0.20621761779948,-0.0601124335823075,-0.0636296797956931,0.0245076149979252,-0.104945886573822,-0.0245436990460002,0.0724495646547132,0.154837328009897,0,0.216429286342608,0,0,0.0846725560082536,0.0840233831730345,0.0846725560082536,0.206099134387157,0.0407400629148247,0.0407268644986346,0.104779851001597,-0.135325779634144,0.0274893278954398
"miR200a",0.0404367012734386,-0.20621761779948,-0.0601124335823075,-0.0636296797956931,0.0245076149979252,-0.104945886573822,-0.0245436990460002,0.0724495646547132,0.154837328009897,0,0.216429286342608,0,0,0.0846725560082536,0.0840233831730345,0.0846725560082536,0.206099134387157,0.0407400629148247,0.0407268644986346,0.104779851001597,-0.135325779634144,0.0274893278954398
"miR141",-0.0595145966121894,0.260276803469017,0.0343988836181937,0.0787663012012635,-0.0287045810196213,0.106528924651431,0.0286795997555694,-0.0824352522243444,-0.176577785125743,0,-0.26591283865603,0,0,-0.103370481750739,-0.134548323556414,-0.103370481750739,-0.260336970826837,-0.0461014990133939,-0.0460970995413306,-0.106575510171696,0.153719221366399,-0.0857273316715499
"miR101",-0.134486061439486,0.203250504552052,0.0794327216376109,0.128590796178945,-0.187697565348225,-0.0235634991130167,0.187671013602959,0.073936348731553,-0.246045206151585,0,-0.215432052105054,0,0,-0.0364155713683103,-0.0137065108189024,-0.0364155713683103,-0.203208564679508,-0.209052061290025,-0.109074723812688,0.0236479481708819,0.242805305836578,0.0839692044404932
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.141102963610191,0.144690188778743,0.0904669716316856,0.0920040167384588,-0.175089365354437,-0.023810248303828,0.175005644014308,0.0554315055656164,-0.116350982583618,0,-0.134603506348235,0,0,-0.00804866586309407,0.00817415918124015,-0.00804866586309407,-0.144703455222992,-0.133780055983751,-0.133771904790766,0.0238108792783681,0.0350949462338266,0.0779472164742253
"FOXC2",-0.122512197314982,0.250429496064532,0.235325561778318,0.134710647046774,-0.0312812625831599,-0.010724996609029,0.0312876781859058,-0.0978919373146012,-0.170345726996465,0,-0.276320255747524,0,0,-0.179847410390941,-0.190141263881555,-0.179847410390941,-0.250362217842386,-0.0343812176521166,-0.0343405755062113,0.0108523005333109,0.147000618672147,-0.162023801525435
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
