"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0872079742452516,-0.0535953037565016,0.0109427162197832,-0.0299058070767562,-0.00905992325209664,-0.0188788168885985,-0.00959927839671494,-0.0252482821732312,0.104232708771801,0,-0.084306405770106,0,0,-0.0330194801148866,-0.0251909878824569,-0.0155890745274904,0.0525218009122416,-0.0654314716079319,0.0632271287938071,0.0182673590309845,-0.0932093039899923,-0.0312845351109294
"ZEB1",0.0765920394507603,0.319494583300403,-0.250177085227713,0.318096765561314,-0.0100262864920717,0.144377461056397,-0.00983810320752667,-0.151708363396411,-0.208257284615924,0,0.407640687596427,0,0,0.29137857807042,0.291845959536705,0.355341409470864,-0.41758373931089,0.0243018808875056,-0.0241893043058046,-0.143340926409267,0.19074214653532,0.290641115875309
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.0908716827869847,0.209306090290548,-0.0170827526458451,0.197450284476705,-0.0332279061701168,0.0334764542079886,-0.0331502817407879,-0.133444665027057,-0.152023578679285,0,0.188011662302692,0,0,0.0634877561707633,0.081115674217523,0.151837164064942,-0.208300364646523,0.00933337276001813,-0.00921446669580886,-0.0327628435417444,0.11447123987261,-0.0179032702360574
"TWIST1",0.00621122218835742,0.10829635175082,-0.137281756955496,0.0873704100190484,-0.0914089900000823,0.0359421359332059,0.00835039028772993,-0.0310385148489772,-0.0142949990629731,0,0.0357082706720019,0,0,0.0601419217154282,0.0490157259573765,0.0460648864723135,-0.108212085656644,-0.00905028185460412,0.00815326085028513,-0.0356640908043427,-0.0873272591501926,-0.104074836846338
"TGFbeta",-0.0180871275496906,-0.0113084406421463,0.0818659225286731,-0.00395248107089465,0.0227535093548405,-0.0853927639678741,0.0229709332564749,0.00216591653573429,-0.118340589038273,0,0.101333490799756,0,0,0.00135537046303914,-0.0668978527765881,-0.0147053029955947,0.011587378481994,0.0597546295015646,-0.059169017135334,-0.0146717646505682,0.106549738831524,0.0840146189194673
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0376947277517831,-0.133563072540654,0.0248313434498352,-0.13431926028405,0.0742935580585797,-0.0256588210447563,0.0739381977072121,-0.017025527965809,0.0524214504379342,0,-0.103512171752537,0,0,-0.0500343568837526,-0.0529154092241926,-0.0858973360907387,0.132499025410433,0.0151720210625745,-0.0160496309222203,0.0253910868628852,-0.0678845250525349,0.0551050107457739
"SNAI1",0.0826603528901061,-0.159303823303163,-0.000298841571577906,-0.142557402137165,0.00576574584347631,-0.0875468082575448,0.00576482225218393,0.124981778676399,-0.0247392733435653,0,-0.169032762188308,0,0,-0.124871303506624,-0.124849426316826,-0.0402594407604358,0.158689867399171,-0.0235387316030488,0.0236427258613939,0.0870301609535872,-0.0870891748437663,-0.0638557478051407
"miR9",-0.013692841898879,0.0525218009122416,-0.0113697178811549,0.0306611178556705,0.00959927839671494,0.0182673590309845,0.0087426104514394,0.027150074679633,-0.104258423525056,0,0.084021784227813,0,0,0.0326926977703383,0.0254935736150811,0.016217325091305,-0.0527999148327987,0.0632271287938071,-0.0671784965749621,-0.0186697624266077,0.0920189370877003,0.131166198209761
"miR34a",-0.00581801827734126,-0.0493410693517323,0.0127939314186157,0.238957135221176,-0.0341604711340929,0.00156354387565519,-0.0341350811151914,-0.142180468342589,-0.119222469178385,0,0.0378181618142804,0,0,-0.0681885604058219,0.0361641455674349,-0.0732076677597513,0.049667100407252,-0.0157135457780278,0.0156419702210805,-0.00146464631047684,0.122199888389095,-0.0534138913208324
"miR30c",0.0321156687806295,0.15809004664113,-0.0424421743899669,0.185642751537688,0.00455026462026584,0.023434767413077,0.00474998057979007,-0.143028896358806,-0.0464125998473109,0,0.153495253554876,0,0,0.0153295391010181,0.0809054549928523,0.112114941571848,-0.157091959764563,-0.0318376089489685,0.0325396164440861,-0.0228115834399924,0.0579616364944301,0.00582233854265605
"miR205",-0.0516084945308765,-0.328337739388729,0.126580910469715,-0.27045649976184,0.00945653395044863,-0.0772812551697333,0.00890116826350399,0.14215087643961,0.141545525368379,0,-0.314210432778417,0,0,-0.143253630855889,-0.147580255534705,-0.190820838629144,0.326112422501331,0.00122983007608464,-0.00307052845870628,0.0757980676985219,-0.130875949143704,-0.150579691133294
"miR200c",0.0347864775949358,0.280675070993297,-0.0209433460863245,0.144489110418813,0.0102211550615385,0.149694211867924,0.0104404350459946,-0.0247125563226075,-0.168452874802335,0,0.274887913144213,0,0,0.125869479686154,0.0701805187475279,0.159008256010084,-0.279293073066757,0.070929950080692,-0.0701908387740488,-0.148656190916385,0.142507881868633,0.176455512221101
"miR200b",0.01359795282869,0.30770537155502,-0.0810266237275937,0.154966906372635,0.0138338482350309,0.175441356727442,0.0136811849547133,-0.0174265243410958,-0.204790996950927,0,0.308730209744762,0,0,0.150470824308479,0.122524353434918,0.163117728848459,-0.306444633995778,0.09112308871741,-0.0920997715154742,-0.174577732851765,0.180025073814149,0.135505215944095
"miR200a",0.0492383822122105,0.292309048678237,-0.110048098902506,0.125534388308004,-0.0223271554634769,-0.0315426956139195,-0.0218247544864319,-0.0936330829999238,0.0484682868993293,0,0.174791450931328,0,0,0.1257810671837,0.121837880653601,0.171657426995114,-0.290791905609517,-0.0712359291750621,0.0728901306708826,0.0324278204989488,-0.0620123598638169,0.0888212225019917
"miR141",-0.0347864775949358,-0.280675070993297,0.0209433460863245,-0.144489110418813,-0.0102211550615385,-0.149694211867924,-0.0104404350459946,0.0247125563226075,0.168452874802335,0,-0.274887913144213,0,0,-0.125869479686154,-0.0701805187475279,-0.159008256010084,0.279293073066757,-0.070929950080692,0.0701908387740488,0.148656190916385,-0.142507881868633,-0.176455512221101
"miR101",-0.125424486344367,-0.12978573565058,0.00108114621593048,-0.00361236145370886,0.00194749039284265,0.0200446378149189,0.0018392409698325,-0.072563183665573,-0.0143617344497725,0,-0.0517473396175546,0,0,-0.00491585483916034,0.0120063600780537,-0.127475898039461,0.129397365611334,0.0209577125078591,-0.121443337993485,-0.0204915140794556,0.0331582598349859,-0.053873454854189
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",-0.0511770881472077,0.126144173039639,-0.0834618197906935,0.00241541296971498,0.00269564609912736,0.0618108837531829,0.00268536453104135,0.0154096695954165,0.079474662362477,0,0.0250889844162504,0,0,0.0937027981140798,0.0925852419542304,0.0355760341157485,-0.125928961832933,-0.082010740242616,0.0819466951548743,-0.0616487232963573,-0.145018849841118,-0.0247177023817166
"FOXC2",0.0760776090410226,0.41758373931089,-0.249353262941615,0.315101915435869,-0.00983810320752667,0.143340926409267,-0.00943392023453636,-0.150867076189258,-0.206745179544611,0,0.404755534161773,0,0,0.289986626502231,0.29038085269831,0.35325955924601,-0.414378946538493,0.0241893043058046,-0.0234069429971275,-0.141315133527217,0.188957616574651,0.28962932559184
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
