"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0584494688845905,0.0719988777793152,-0.0627813962938035,0.0211207929826571,-0.0139310721194307,-0.012038807743117,-0.0133976439544236,0.0190393013665643,0.00131953589697314,0,-0.0645347298368133,0,0,-0.0565116762587716,-0.0654183551759066,-0.0112135334375067,-0.0707800514160363,-0.00974718967183653,-0.0101682967836064,0.0121555175416657,0.00254043682819116,-0.0603981074125374
"ZEB1",0.0862663704619261,0.372377096707236,-0.341398532949204,0.341121240281386,0.0221684525327699,-0.159162832936757,0.0219265025954977,-0.227419077810498,0.18698794287875,0,-0.360376169178397,0,0,-0.390027769317086,-0.322457852219799,-0.317808996305328,-0.470475275590706,0.0254330494087112,0.0250858395304124,0.158215875357897,-0.171250799055136,-0.354260325085337
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.044898913424966,-0.296400712388774,0.0906519129656,-0.195835294385887,-0.00190803016875262,0.0702989509172784,-0.00154095871480759,0.129987274820275,0.0114516705434458,0,0.203002471658586,0,0,0.128619837547942,0.0587724971979849,0.175834463568214,0.295470185295308,-0.0713449958450351,-0.0713700287006581,-0.0697856718734375,0.00593186951018299,0.0249064426705801
"TWIST1",0.0120265354797046,0.336182257159694,0.0114248588869045,0.0135382482740916,0.0126862628067916,-0.110643482968966,0.112551205290918,0.0980131706604818,0.0431780796270526,0,-0.233198273023905,0,0,-0.179196673545584,-0.177088160473738,-0.18847462070431,-0.334618537732081,-0.0686539005546458,-0.069051346075078,0.109849450245194,0.0806014625209882,-0.185453215841501
"TGFbeta",0.0873826979241692,0.0148537759036788,-0.0081514604515646,-0.1098786287391,-0.0105151528150406,-0.101050536949021,-0.0106688490213684,0.149763259657481,-0.0230687014983354,0,-0.0664354741460751,0,0,-0.052718147544117,-0.156092678767308,0.0363907919356884,-0.0146990893400737,-0.0646369477474043,-0.0647528811600083,0.000919866496675242,0.0376522698645614,0.0280820656968992
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0118122742129454,0.156179603416505,0.14727493424452,-0.129689251737503,0.0909315948929731,-0.241652726220009,0.0908038248789983,0.0688375005950456,-0.0597326095998818,0,-0.128641292182258,0,0,-0.0736934811886949,-0.251399814355087,-0.0866817251573468,-0.155016419380226,-0.153269309246267,-0.15342138604505,0.240988095359581,0.0511765454537281,0.132231030583886
"SNAI1",-0.115785591328468,-0.169897094269804,0.148776019423989,-0.0625173355349139,-0.00246474898529586,0.0365015501466216,-0.00271688940811596,-0.0210047674840127,-0.128505087847036,0,0.1314653257714,0,0,0.146950101770628,0.115312902290125,0.0329245605765998,0.16948346234657,-0.0250873699265844,-0.0247373047470845,-0.0362529408913788,0.00510839091159121,0.114698403122106
"miR9",-0.0387928106741742,-0.0707800514160363,0.0638044514688304,-0.0200297885242254,0.0133976439544236,0.0121555175416657,0.0142798840771701,-0.0195439460260095,-0.00051069002185333,0,0.0643331229110224,0,0,0.0582537483349902,0.0669184468685528,0.00928965991608178,0.0706123338608912,0.0101682967836064,0.0101885602081251,-0.0105844905861506,-0.00209672680034453,0.161183917621422
"miR34a",-0.00794530644610691,-0.0449795243407767,0.027901737157686,-0.204110449327887,0.0308415111177635,-0.000973002202688178,0.0308189422120734,0.129777708691626,-0.108438020003947,0,-0.0377953978757761,0,0,0.0719158969753047,-0.0308399037804619,0.0647908703599673,0.0453914275411655,-0.0143379680256813,-0.0144967762926581,0.000758825267056538,0.113947226887542,0.0495991590162012
"miR30c",-0.13149432252464,-0.190633937528843,0.062483247426615,0.0703175942427322,0.00157731815926323,0.0504664375941687,0.00194124501884072,-0.145153834822782,0.00113184623988734,0,0.162845194621243,0,0,0.196061813680478,0.198819886108582,-0.0339801698388211,0.189707036640501,0.0722297095514417,0.0725024192299961,-0.0496272419985118,-0.0190069844661984,0.0332652095989524
"miR205",-0.0238716261322088,-0.357279546496202,0.167224647630787,-0.290345205360713,-0.0193469496086735,0.0903574262147583,-0.0194067582211137,0.193756161857159,-0.159164432216203,0,0.289064360756955,0,0,0.193195272071743,0.150930200417385,0.17212004956959,0.355608427301068,-0.0203458865853067,-0.0200210574589617,-0.0897291443170153,0.148062121392247,0.179436180162559
"miR200c",-0.0754167182873614,-0.350153226748177,0.178467363350916,-0.0938022070238088,0.0369235729154547,-0.0078363660654609,0.0375980670448576,-0.0600375296622362,-0.0278005680362396,0,0.278059717519171,0,0,0.216023651073991,0.220422940266479,0.14286866934796,0.34885824007756,0.0424035554532933,0.0423023675958362,0.00899144806792157,0.0162824729895964,0.170126005755883
"miR200b",-0.0455737552210678,-0.338701452566412,0.172994179308658,-0.216694195413407,-0.0502402760138502,0.166377039466023,-0.0502263975338214,0.230658624468458,-0.112006244085343,0,0.194843322266096,0,0,0.195501441965518,0.129251786975136,0.151240554187438,0.337673053573521,-0.060749277584101,-0.0602081425203086,-0.165355741521759,0.0843657297034689,0.189333790334861
"miR200a",0.00460648347492889,-0.303533182630998,0.0892142773083561,-0.20840501943058,-0.0557510080375212,0.166588397843799,-0.0561201756062891,0.235261808720397,-0.110271384765534,0,0.167855223200855,0,0,0.15143725407332,0.0541328061482117,0.158013399470937,0.30257791011915,-0.0639730763971532,-0.0634407402774875,-0.166247965195711,0.0850478278870151,0.108176564575224
"miR141",-0.0455737552210678,-0.338701452566412,0.172994179308658,-0.216694195413407,-0.0502402760138502,0.166377039466023,-0.0502263975338214,0.230658624468458,-0.112006244085343,0,0.194843322266096,0,0,0.195501441965518,0.129251786975136,0.151240554187438,0.337673053573521,-0.060749277584101,-0.0602081425203086,-0.165355741521759,0.0843657297034689,0.189333790334861
"miR101",0.0434362110493612,0.17252930873314,-0.0608958727945713,0.0666144637829566,-0.00591988521981769,-0.035960994416466,-0.0059015032423254,-0.103748085600969,0.0191816402241441,0,-0.078484768475939,0,0,-0.109282154757338,-0.0881662635482806,-0.0697894057597536,-0.172024325389748,-0.00601284860325184,0.093831751241348,0.0354067974742257,-0.0288445496442469,-0.0530670709582722
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.0511624114560998,0.257611465553499,-0.0590167435189686,0.0782469251016651,0.0392122488002284,-0.0862077233892222,0.0388670818716266,0.030418007027434,-0.0193300798709262,0,-0.191001720080249,0,0,-0.109336712134793,-0.0960270904869685,-0.167026178055433,-0.256538848968478,0.0489356726474846,0.0488762853843058,0.0855988329579511,-0.0954725460060884,-0.101833098284744
"FOXC2",0.0850334552081908,0.470475275590706,-0.340454455340525,0.338659864340543,0.0219265025954977,-0.158215875357897,0.0215736444444744,-0.226156338587975,0.186103725916365,0,-0.358990668809079,0,0,-0.388675174383674,-0.321779732870793,-0.316347591852241,-0.46787919054249,0.0250858395304124,0.0245879732430725,0.156483434997018,-0.170058541786685,-0.353162239961163
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
