"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.269157138472677,-0.0605390161287318,-0.339972576363788,-0.0822270338491653,-0.156382426460025,0.282508695568722,0.156228324990134,0.0710619485576032,-0.189282116851753,0,0.107773843987938,0,0,-0.314282747956988,0.237899794985717,-0.314282747956988,0.0606549763339764,0.0586269657899176,0.0584458191552456,0.281567405671731,-0.139031977771446,0.305999693157225
"ZEB1",-0.177101116826054,0.0449619871309347,0.221930753877749,0.0969424740069683,-0.0516561495316571,-0.141320155246377,0.0526747288972106,0.0670230806354156,-0.0647665675279208,0,-0.153398235948647,0,0,0.241146402842037,0.110068275635239,0.241146402842037,-0.144992564644933,0.000563015910995384,0.000841494823624107,-0.141175552264741,-0.0473740122023392,-0.216307913667743
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.178420959240476,-0.123113617497438,-0.120018869130145,-0.121943517907238,-0.150273629147117,0.0874582593873038,0.149667106063717,0.0715571953670058,-0.0687483919358581,0,0.104157541322584,0,0,-0.147890565578044,-0.00270935491277919,-0.147890565578044,0.123096027193213,0.00269978828901368,0.00246197616059513,0.0874271344177214,0.0334025515562452,0.173201469845199
"TWIST1",0.154777001027547,0.168295875465461,0.0742292502931563,0.0940453562977227,-0.237960541283426,0.0174679690357958,0.137822378997073,-0.0885520177586556,-0.25842405156361,0,-0.0108008823385425,0,0,0.0227218356050115,0.138808015511311,0.0227218356050115,-0.167963737414263,0.156276673440137,0.155889071771604,0.0177379936320957,-0.214709239000847,-0.00929175303800422
"TGFbeta",0.103241692086933,0.0226125238833789,-0.1329735446404,-0.0789379758173267,-0.125145339861013,-0.0562136306712651,0.124178178367535,0.00847659533120051,-0.181503947327533,0,0.129523310058685,0,0,-0.0381540529151927,-0.0253545040006906,-0.0381540529151927,-0.0227822712077406,0.0858165480516463,0.085941399419066,0.0438944547646257,-0.0811004998171425,0.0538484668958302
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.00624211049557209,0.0740629719714054,0.0415318654476964,0.0193828450307278,0.126240278594603,-0.0180717043213554,-0.126555710816603,-0.0783743335955314,0.0847483643597239,0,-0.0779803010089845,0,0,0.0326835868317114,0.024029788313941,0.0326835868317114,-0.0736975720913074,-0.0541801370474813,-0.0547472567762777,-0.0177988378548478,0.0228118083705285,-0.135912498548691
"SNAI1",-0.0515087869442524,-0.110784281380966,0.112319203332673,0.00214572958410797,0.207228269216115,-0.00449019723614559,-0.207354801223171,0.0954496912190163,0.111637397640437,0,-0.0996736189033422,0,0,-0.0286216670340285,-0.0862279443501594,-0.0286216670340285,0.110512236468824,-0.202967807536138,-0.202730524862167,-0.00466902143728515,0.0864304888161067,-0.152994898400707
"miR9",0.3687972824151,-0.0606549763339764,-0.339810811229276,-0.0817654550398288,-0.156228324990134,0.281567405671731,0.154348769946022,0.0710801629083687,-0.189275103737228,0,0.108334192649327,0,0,-0.31414236962588,0.237010376317094,-0.31414236962588,0.0614893180956477,0.0584458191552456,0.0561763156091464,0.280933482514242,-0.139053398255549,0.405899971049498
"miR34a",-0.14748869984411,0.106213815417555,0.147799396407658,0.0232029567271425,0.11475505059415,-0.0717069957090488,-0.113959496668571,-0.06090677717192,0.173279819579674,0,-0.132509939017616,0,0,0.165326412706346,0.0457206789067795,0.165326412706346,-0.105950065258314,-0.0501885631392971,-0.050273559113172,-0.0717100293766923,0.0838242132465475,-0.100260023456842
"miR30c",-0.165851366553027,0.133292292255433,0.0210097207744455,-0.0496876510420891,-0.066570535617474,-0.132875678533308,0.0660335215929755,-0.000183311885281189,-0.149113486785272,0,0.0614487156107599,0,0,0.181197554077331,-0.0502269365001866,0.181197554077331,-0.133505850220107,0.0749988872586895,0.0754229068234097,-0.132430274037208,-0.0563915879943484,-0.0400661338655427
"miR205",-0.173276068993054,-0.142875940722206,0.0331579938580839,-0.0732227307075984,0.117335801700345,-0.032551465739559,-0.117147831775533,-0.095202532200894,0.133757712675753,0,0.132720083439309,0,0,0.0175320723547924,-0.156748447372194,0.0175320723547924,0.142259218162097,-0.0184846408598218,-0.0177605425990111,-0.0325275136437506,0.109063227940086,-0.0248565796466443
"miR200c",-0.201420604969171,-0.1695051902793,0.0810842121828081,0.000326036995259488,0.167126470032827,-0.124608986550426,-0.16733464723326,-0.0665571775305262,0.208885511273266,0,0.0517936670583452,0,0,0.0167604255308306,-0.123963152746582,0.0167604255308306,0.16937004513712,-0.0712393504439837,-0.070979781592246,-0.124648405067573,0.117652404284077,-0.0328958571545989
"miR200b",-0.157865511200774,-0.149138242269036,-0.0402105777052428,-0.0669605141847747,-0.0657475165433082,0.0664435158145588,0.0661999549922493,0.00630560306374239,-0.106114405118447,0,0.160870232493474,0,0,0.00716435438000008,-0.148924444377354,0.00716435438000008,0.148469921771405,0.0500300254100965,0.0507119435799161,0.0665139913452157,-0.066713348768864,0.00342358190534799
"miR200a",-0.340529837022554,0.177510953400375,0.249906560599052,0.0974026701967191,0.129327327209168,-0.269283314206553,-0.128963711032411,-0.0282052175372993,0.174719801685061,0,-0.203779914147668,0,0,0.253661631684311,-0.0366518281777058,0.253661631684311,-0.17720641400464,-0.0718648058555822,-0.0715612422832109,-0.2690790546177,0.123409618396341,-0.197696138120891
"miR141",0.201420604969171,0.1695051902793,-0.0810842121828081,-0.000326036995259488,-0.167126470032827,0.124608986550426,0.16733464723326,0.0665571775305262,-0.208885511273266,0,-0.0517936670583452,0,0,-0.0167604255308306,0.123963152746582,-0.0167604255308306,-0.16937004513712,0.0712393504439837,0.070979781592246,0.124648405067573,-0.117652404284077,0.0328958571545989
"miR101",-0.109148048047895,-0.0705821598878862,-0.02837008419788,-0.0222811946652315,-0.16924382784253,-0.0188319250803469,0.168910909805725,-0.115243750697519,-0.170695243360609,0,0.102912049855945,0,0,0.0208520696073093,-0.0667810349756549,0.0208520696073093,0.0703063114579037,0.19308865874651,0.293396221554073,-0.018566262419146,-0.0649902390862677,0.0782242040894684
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",0.173859988692753,-0.0987256846214775,-0.126348900057022,-0.0493117034927365,-0.185263087263595,0.0956045539870827,0.184823917426778,0.00147573245992244,-0.0865454447073727,0,0.0966786705816294,0,0,-0.130978583227219,0.0254630447703441,-0.130978583227219,0.0987929995422965,0.0934314175085502,0.0930762583856185,0.0956506151285157,-0.0707367590042711,0.111970231117126
"FOXC2",0.176815322153977,-0.144992564644933,-0.221549089881386,-0.096475023855113,0.0526747288972106,0.141175552264741,-0.053335535980036,-0.0667638499200789,0.0650687533780978,0,0.152736448750163,0,0,-0.240944410701789,-0.109709379816513,-0.240944410701789,0.144485308208115,-0.000841494823624107,-0.000892297506005736,0.140893269650029,0.048143658226863,0.216056722096541
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
