"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.202666696751765,-0.0609709433635401,0.257422005696843,0.0657726369384321,0.142302772744217,-0.256383265987924,-0.141834541354933,-0.143681091265943,-0.102640586917187,0,0.0157128881319275,0,0,-0.283088445091681,-0.253612351384798,0.283088445091681,0.0610003066773144,0.0211092800060947,-0.0208904925122702,-0.256345208444919,0.0599378796943562,-0.216652755661549
"ZEB1",0.113713704773077,0.138452792708138,-0.204026713102759,0.225082088430076,0.0376647694461452,-0.0424373839475238,-0.0371241158826109,-0.124877597395622,0.082237031007677,0,-0.223955746355434,0,0,0.174651656957838,-0.274032241470296,-0.174651656957838,-0.238428230442796,0.104528097929282,-0.104451071847066,-0.0423670019653112,0.106696979028784,-0.248509327704721
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.265558754795545,-0.0506295918044079,-0.0971349849886838,0.13866975557753,0.242313945642483,0.0810806207908345,-0.242467878832848,-0.141981051093968,-0.110040291196024,0,-0.0335200761178606,0,0,0.105005034729189,0.0593728169304717,-0.105005034729189,0.0505856160438471,0.0199795022198331,-0.0201213550683635,0.0810030913211474,0.0249439528763822,0.206488795043572
"TWIST1",-0.212316969538223,0.155010291368287,-0.222991427964894,0.182841592875214,0.12267785830616,0.057332918615396,-0.222943316182187,-0.139032561292099,-0.00620574774396792,0,-0.116925827794457,0,0,0.17752613563176,-0.0308147558560754,-0.17752613563176,-0.154996030952349,0.0493943733342159,-0.0492454850742398,0.057303509995997,0.0914178485734773,0.140062284272387
"TGFbeta",-0.00672567792476602,-0.11166294423755,0.0631852836848717,-0.170366771106712,-0.118085363852448,0.105836425128583,0.117927918958161,0.143344752611821,0.036472942908346,0,0.122590326772055,0,0,-0.0535148571330513,0.150969657384678,0.0535148571330513,0.111653845027926,-0.0533970618096653,0.0532514018810089,0.205854170498654,-0.0828345069457093,0.00577299458575727
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0195915382588937,0.0234387602952456,0.00929081539779686,-0.0975651783265345,-0.113981101233411,0.0159294130833736,0.113817395903006,-0.0011784474624003,0.0244798589286077,0,-0.00297723862181301,0,0,0.0216574889171938,0.0221324594967898,-0.0216574889171938,-0.0234035934873535,-0.0380774385628217,0.0380837750961043,0.0159969881644209,-0.0336812588769503,0.00763515593450778
"SNAI1",0.156786860389154,-0.144298289974948,0.0227358514877637,-0.131119890665538,-0.0557389401086892,-0.0406701188469911,0.0556548933010825,0.123541410239977,-0.0737899759048205,0,0.140880132214856,0,0,-0.149081147639607,0.0407829642280673,0.149081147639607,0.144289943142417,0.00147068152419293,-0.00139891083885612,-0.0407188890836655,0.028290181630295,-0.0973429055168963
"miR9",0.302698448756845,-0.0610003066773144,0.257604173641115,0.0653740006940051,0.141834541354933,-0.256345208444919,-0.141003445587128,-0.143534305027421,-0.102551754133215,0,0.0158937414035929,0,0,-0.283194304161041,-0.253416129121824,0.283194304161041,0.0611935003167854,0.0208904925122702,-0.0204244337483391,-0.256174324811162,0.0597695758906902,-0.316678018595507
"miR34a",-0.00887404974929741,-0.0688590492401135,0.0797112778702868,-0.21108898605399,-0.0943085151620171,0.0212620391340209,0.0945708786906655,0.105377458864356,-0.0139332089954558,0,0.0165490965309983,0,0,-0.0773753929778565,0.0878242689879115,0.0773753929778565,0.0688146976927635,-0.0671354867429551,0.0670415438244618,0.0212347361252293,-0.0885058598290771,0.0187324522573559
"miR30c",0.255946174222277,-0.141332351102536,0.0867463509263816,0.0163362643123351,-0.010733790177229,-0.157076418800942,0.0107115995150596,-0.039121018792627,-0.0032609592371832,0,0.126857641965783,0,0,-0.248330705773719,-0.0917431813975391,0.248330705773719,0.141406503173603,0.0192711477776469,-0.0191814174963161,-0.157003777724325,0.0433299458598104,-0.0893414158290221
"miR205",-0.182422912135662,0.245487963599966,-0.222307365433334,0.19772899364664,-0.0201702641953305,0.0796109634629158,0.0201873523703134,-0.0763501255548421,0.11934388986778,0,-0.220990421915736,0,0,0.215801052868138,-0.0276981360666676,-0.215801052868138,-0.24546664830411,0.0967982501397143,-0.0966493701234728,0.0797417787554077,0.0853799770571367,-0.026166940648699
"miR200c",-0.280886527927872,-0.228809044975188,0.0103745690650975,-0.197185264434021,-0.143710110168607,0.228223248645168,0.143241017543631,0.18595157279451,0.0418406624103776,0,0.21673113625809,0,0,0.0227447064073394,0.259907573155976,-0.0227447064073394,0.228683156349596,-0.0733510323441258,0.0730430692996911,0.227999877048001,-0.108748205473278,0.175266374323553
"miR200b",-0.190560915393531,0.211546111697256,-0.14313788901271,0.0043168414078767,-0.11137448139447,0.190674250267264,0.111288434818291,0.0976784763756946,0.0943550250663078,0,-0.105009075960702,0,0,0.201770923390718,0.0280052851316564,-0.201770923390718,-0.211559996472137,-0.00236395780759792,0.00245194724886497,0.190694556776098,-0.0628023436380447,-0.0153362871002543
"miR200a",-0.2765536527304,-0.183390688545422,-0.0323276725163555,-0.0291245917219057,0.0533572436010777,-0.000955234396585073,-0.0536320375056492,-0.0487819124578489,-0.0588476346710549,0,0.0974045283176678,0,0,0.0446860960325394,0.163535988197464,-0.0446860960325394,0.183320339019356,-0.0055001530854067,0.00520978792922544,-0.00104959993763408,0.0378966876091244,0.172389443905226
"miR141",-0.280886527927872,-0.228809044975188,0.0103745690650975,-0.197185264434021,-0.143710110168607,0.228223248645168,0.143241017543631,0.18595157279451,0.0418406624103776,0,0.21673113625809,0,0,0.0227447064073394,0.259907573155976,-0.0227447064073394,0.228683156349596,-0.0733510323441258,0.0730430692996911,0.227999877048001,-0.108748205473278,0.175266374323553
"miR101",0.281567712490562,0.0855125340867688,0.0587409311228281,-0.00735635184777809,-0.00921544491769702,-0.107166867924696,0.00947483504453266,0.0660298019286111,0.0265448741564151,0,-0.0184698595014167,0,0,-0.0945716283980762,-0.149328675408313,0.0945716283980762,-0.0854276314179608,0.0315803555761193,-0.131415242911007,-0.107015563362687,0.0630920327246355,-0.140481063929873
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.174465378947608,-0.0917329826343192,0.0140476486602555,-0.024834630263403,-0.0929538028086974,0.0697512917164546,0.0928201424235793,0.0283223464293207,-0.0382890023403766,0,0.0194398843895644,0,0,0.0367473598776501,0.127056541946124,-0.0367473598776501,0.0916799168573232,-0.0822281285231503,0.0821897014705053,0.0696762057461735,-0.166684728005306,0.0549601819421434
