"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0661857923874387,0.00446727997134131,0.0111481364343967,-0.0402517331388545,-0.042459011009751,-0.016177340970264,-0.0393058578565979,0.0203852636522181,-0.18281187291567,0,-0.0709609096520102,0,0,-0.0163151773148668,-0.0133862845150424,-0.0164796401505688,0.00251984527983029,0.103726371227237,-0.0978238140013681,0.0104687095195105,0.0480831471933717,0.00178642134272033
"ZEB1",0.0464649007209183,-0.090241457045597,-0.00127735499440385,-0.0278733119474821,-0.0398430092337978,-0.0191669453439018,-0.0375429913115802,-0.0864495410341235,-0.186728970384611,0,-0.0490796874153549,0,0,-0.0111484374826613,-0.0245254084979909,-0.0204644169697193,0.00834896968616802,0.0510605806045001,-0.0468620666153785,0.0149977726521108,0.12398070049419,-0.000886909585416148
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.091850395066411,0.079342617070952,-0.0500351247401372,0.0660702396367579,0.0125308701962928,-0.0539274208843893,0.0101824022920208,-0.0226225248650727,0.125114812437344,0,0.0146139778967387,0,0,-0.00528595404185984,-0.0670935620803521,-0.0886450274655783,0.0815572363727929,-0.0678804211543749,0.0619997861542706,0.0600963898556242,-0.0977432267304559,-0.059121623601972
"TWIST1",-0.150030613379922,-0.127177204110724,-0.113592127588866,0.135742396563727,0.21146220405093,0.0868525879378368,0.308725348872949,0.0138143270110176,0.414121205800604,0,0.204717361889474,0,0,0.00557571884991111,0.0923020648729893,0.137074123420561,-0.126190124047563,-0.163853381267728,0.160153323435098,-0.083844888226576,-0.108956975445072,-0.0915829604881086
"TGFbeta",-0.100386719650817,0.00417900738673126,-0.112184947010742,0.0881968404207404,0.145712791445677,-0.047526597232393,0.142687600262591,0.0357125358672173,0.367393120494299,0,0.203756756886656,0,0,0.0523319666263428,-0.0285833486535584,0.0456373293711743,0.00561260355125752,-0.163539345818601,0.158744458779362,-0.0481645042711238,-0.121130173486833,0.0324327842540762
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.0551675328443437,-0.0395016428478974,0.0399953761055422,-0.063277427848177,0.0120277384453399,0.0354837385065204,0.00791913393346124,-0.0563696683641396,-0.0712744713190371,0,-0.00187915234867434,0,0,0.00412933752688803,0.0372715228758486,0.0409842501999078,-0.0360181193346998,0.0493186292426421,-0.0586713523678204,-0.025801683539752,0.0719573214777563,0.0756573720731336
"SNAI1",-0.160985137501458,-0.0919371550099338,-0.118109929134299,0.0438936010350261,0.351134749258737,0.0954776752236596,0.350581518074601,0.145302122148365,0.379432493335163,0,0.290913510798726,0,0,0.0332892547223062,0.129409427014573,0.122704984192123,-0.0929109521386234,-0.207061917564277,0.20859839611363,-0.0978713818805987,-0.219077351015083,0.133912812864822
"miR9",-0.0287385908004626,-0.00251984527983029,-0.00663182876002556,0.0351743662361532,0.0393058578565979,0.0104687095195105,0.040264814511757,-0.0256192109163155,0.183403312240541,0,0.071242566386571,0,0,0.01785473638883,0.0182001484431554,0.0208106568578915,-0.0050950528037672,-0.0978238140013681,0.103801524234398,-0.0174859632541447,-0.0463664483959789,-0.102908627461669
"miR34a",-0.0131021423368623,0.0605074659012954,-0.0532158944340037,0.0215747027810748,0.132725862794991,-0.00613005441780561,0.13268072498361,0.108265568572048,0.267156420390947,0,0.0850248873248443,0,0,0.0827599729171983,0.0180780144467673,-0.06963635157936,0.0599106073119577,-0.0682555299675189,0.0693873184617481,0.00462596200015451,-0.159760712232115,0.0284189302112243
"miR30c",-0.136572859883613,-0.0922858833662985,-0.0537050664037225,0.121010392678432,0.228674651032184,0.0959358072005518,0.224871171536355,0.0106410089025589,0.418933953393047,0,0.262658217282526,0,0,0.0862425325328101,0.0693480787377351,0.143378655844294,-0.0904676745837272,-0.168499030610038,0.162501177099121,-0.0905393398508041,-0.206530112882527,0.00679893642732128
"miR205",-0.032963775515027,-0.00713898713860299,0.00142863482818512,0.0272964106040784,0.038158387759316,0.0134166818661429,0.039132413733342,0.0808772210745515,0.216522256681298,0,0.0561751851759109,0,0,0.0130911768208262,0.0245981982103565,0.0228079383520257,-0.00924635938892982,-0.0616155135651785,0.0663932086318361,-0.0192149315206799,-0.130210403878441,-0.000418316537935997
"miR200c",-0.0213426917151874,0.00395677215493852,-0.0544761799647805,0.0500226872741428,0.0667855705219441,0.097082968918974,0.0668882712741578,0.00904376426664684,0.267570127539456,0,0.140394099039754,0,0,0.0130742278689606,-0.00927411389904419,0.00998226709746818,0.00308110568574421,-0.125615523176895,0.127203732591765,-0.099360881409866,-0.0846676833303502,0.0630136035335446
"miR200b",-0.0520168996054913,-0.00330485856590597,-0.00141018566147658,0.0642224695373205,0.0837562715326509,0.12024121083229,0.0842753266857305,0.00237364436902879,0.335693635179735,0,0.170404744605227,0,0,0.0250705566943965,0.04071292688719,0.0303451699608022,-0.00530334049718559,-0.159060417515947,0.163244315448195,-0.125560321646104,-0.104461612494112,0.0109028306666797
"miR200a",-0.0103682767270426,0.00398518761927486,-0.0570526674795548,0.0209696462488063,0.0510235724292951,0.0939672190697085,0.0506932646046081,-0.0501371098275768,0.196544661375121,0,0.0269205159688835,0,0,0.00730621184137403,-0.0223923369162518,0.00300457552776627,0.00360937304581515,-0.120778020010115,0.121345551906287,-0.0948093419360319,-0.0444439115755536,-0.0372466959149836
"miR141",0.0520168996054913,0.00330485856590597,0.00141018566147658,-0.0642224695373205,-0.0837562715326509,-0.12024121083229,-0.0842753266857305,-0.00237364436902879,-0.335693635179735,0,-0.170404744605227,0,0,-0.0250705566943965,-0.04071292688719,-0.0303451699608022,0.00530334049718559,0.159060417515947,-0.163244315448195,0.125560321646104,0.104461612494112,-0.0109028306666797
"miR101",0.00174787815407292,-0.00317252821461757,0.080152222473714,-0.0102374434595062,-0.273405340439024,-0.0039258788712259,-0.27051120020496,-0.115098279471421,-0.297346578374747,0,-0.121014009669594,0,0,-0.00175584397028735,0.00119461338978413,0.00406750441045608,-0.00508573654667225,0.141986012436708,-0.236362469313165,-0.00161433119580554,0.147932209429733,-0.0729547064825758
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",0.0774028612756742,-0.0560953988624045,-0.00213390763988205,0.0170345274525792,-0.043787054046828,-0.0268420639196751,-0.0419701540864855,-0.0774070871053766,-0.158100463159105,0,-0.0427897423588073,0,0,-0.0651226015939681,-0.02838630555847,-0.0136239521466862,-0.0572820085980092,0.0915724332382102,-0.0881477677282366,0.0234884342386327,-0.00546956227841452,-0.0370151448475127
"FOXC2",-0.0428348641451235,-0.00834896968616802,0.00451874922288163,0.0242604768755159,0.0375429913115802,0.0149977726521108,0.0385245785316995,0.082660245484161,0.187236924809811,0,0.0493102310955483,0,0,0.0122741529920693,0.0280082663789371,0.0236193142662658,-0.0102210129150955,-0.0468620666153785,0.0510380471071485,-0.0201840238282884,-0.122640375052685,5.57364104015147e-05
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
