"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.408149224256908,0.0573066397729331,-0.348292561952404,-0.0222872186703239,-0.00257217147828104,-0.0830575110454929,0.003194504337456,-0.0176074358024253,-0.0411881217347001,0,-0.0645954872639104,0,0,0.334759026933356,-0.363529590771843,-0.334759026933356,-0.0575082015030792,-0.0115009020413029,-0.0113903320175421,-0.0824460531878789,0.0030782363790191,-0.351446391116139
"ZEB1",-0.0735199990585746,-0.0747211549061011,0.017230833023601,-0.113899165639482,-0.128579639790653,0.0288601690407264,0.127596904860251,0.106158959683798,-0.0817275011998187,0,-0.0250364715116403,0,0,-0.0460278447444267,-0.000273134283272961,0.0460278447444267,-0.0247399790685245,-0.0963920174738902,-0.0955091800700247,0.0300361879798779,-0.102729753488288,-0.00616264924918123
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.14630338943173,-0.137740855882481,0.0760269507015888,-0.0179372175839406,0.221842599923202,-0.0434826133057924,-0.221993901776979,0.0511932929219857,0.134498759642055,0,0.132553007786184,0,0,-0.00341896796540116,0.0763577439756573,0.00341896796540116,0.137897849347683,0.0444493321330056,0.0444076107069672,-0.0435974927389784,-0.00782416116076579,0.150855363834818
"TWIST1",-0.116241706058058,-0.0775294106785174,0.143004059117945,-0.0172599826955835,0.0633170895398222,-0.0190195921344703,-0.16316650817155,0.0108739802185461,0.0418969490575032,0,0.0683147846892367,0,0,-0.0213198243905934,0.0568898948338002,0.0213198243905934,0.0775955271524092,0.0490744278332162,0.0491716358707213,-0.0185811363543398,-0.0554186321310541,-0.041543103339433
"TGFbeta",0.00493799001708998,-0.0634399265764388,0.00345557410802231,-0.0186689244271118,-0.0663249205900802,0.0603046904513029,0.0644468279225138,0.0174646681043824,0.0161509723303265,0,0.0863617897576012,0,0,0.0320162816297382,-0.0545556529179127,-0.0320162816297382,0.0642516388280539,0.000210433343349688,0.000156925614455515,0.158417228361866,-0.0220439921563267,0.00656553244718019
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.0229567617960387,0.0431182920343239,-0.0108187000154759,-0.0368406318585355,-0.143308979468242,0.0227149409533004,0.142202970284772,-0.0716278935760936,-0.0780179607726711,0,-0.0506952095359691,0,0,-0.00976836762036771,-0.0338788196877968,0.00976836762036771,-0.0425204563001581,-0.056373981800598,-0.055810030338443,0.0229193769579879,-0.0251801843622012,-0.11251169239041
"SNAI1",0.148430760037175,-0.0849866087951821,-0.109906299756576,0.0985043011808341,0.0971157867671033,-0.0691428578049166,-0.0963150331166087,-0.0835725095893944,-0.00990124488136567,0,0.130119696257983,0,0,0.111456768155532,0.00310454048749253,-0.111456768155532,0.0846623188942312,0.138783730853696,0.138915554561457,-0.0679465992354309,0.0659756590296736,0.0831298651149018
"miR9",0.506905016057835,0.0575082015030792,-0.347205383660993,-0.0212748924180291,-0.003194504337456,-0.0824460531878789,0.000752361388983939,-0.0172185058419611,-0.0405195381500635,0,-0.0640796107185043,0,0,0.334425340736458,-0.362084514666947,-0.334425340736458,-0.0563851307857152,-0.0113903320175421,-0.0104176876406424,-0.0825838625699416,0.00201639238134476,-0.250691162353624
"miR34a",-0.0183694087618185,0.000269312836839192,-0.0507622184932732,0.206300003046918,0.17115693253415,0.0104492808663974,-0.171650627346123,-0.0661057412067806,0.160505023668671,0,0.0803633897684295,0,0,-0.0479587111065457,0.0306023241527607,0.0479587111065457,7.65348674964077e-05,0.108697043081366,0.108464422521287,0.00949488902574994,0.0751787782134711,0.0673665258990486
"miR30c",-0.296110649071832,0.0929573880033256,0.123351400574101,-0.134767462034477,-0.177895401394956,0.10772592319696,0.179169145403477,0.096541710750174,-0.0806340288319297,0,-0.121646277048901,0,0,-0.241553146100815,0.0576162887537668,0.241553146100815,-0.0938360900454736,-0.107369375798907,-0.107723018672387,0.108014575896149,-0.0541085771505697,0.0106128238604541
"miR205",-0.368888302810392,-0.0028367209174313,0.161545626535137,-0.103978382101971,-0.118275583020064,0.0523730346712229,0.118506273382334,0.107935088379563,-0.0768730913070313,0,0.00304218265763637,0,0,-0.177262178388197,0.158323015022098,0.177262178388197,0.00244594049339901,-0.0932984299407901,-0.0943676591483424,0.0499354483054928,-0.102331648276382,0.146951631145004
"miR200c",0.319903187033874,0.00223483390359925,-0.089354167029259,0.0512543661097093,0.0984470522269787,-0.160270957462419,-0.0999376009820791,-0.0785042205467853,-0.0186080558998071,0,0.00800966313722263,0,0,0.155167086372925,-0.0808124580964842,-0.155167086372925,-0.00136472134435754,0.0295866087179801,0.0304885004909674,-0.159388221578429,0.0499463900524559,-0.0805640951342995
"miR200b",-0.26210038647771,-0.0269868998074511,0.126099630552488,0.0593471950337324,0.0999906582146162,-0.100300496805181,-0.100420891095511,-0.0735627211835732,-0.00444106316523567,0,0.0349314340444257,0,0,-0.114080429952707,0.166697338304236,0.114080429952707,0.0273673426392047,0.0339150427296834,0.0343945851845888,-0.0993580358952104,0.0491662741541263,0.132671587648984
"miR200a",-0.259456552366118,-0.0308885022415072,0.124560047475697,0.0644953420531973,0.00667676553839173,0.1173787297184,-0.00442567607770946,0.00763413771986047,0.0786026290996695,0,0.120955065392792,0,0,-0.112282090896334,0.114722045543064,0.112282090896334,0.0300378283670996,0.0344573476754286,0.0345233397563789,0.119716367235272,-0.00807592443101624,0.136892383210594
"miR141",0.319903187033874,0.00223483390359925,-0.089354167029259,0.0512543661097093,0.0984470522269787,-0.160270957462419,-0.0999376009820791,-0.0785042205467853,-0.0186080558998071,0,0.00800966313722263,0,0,0.155167086372925,-0.0808124580964842,-0.155167086372925,-0.00136472134435754,0.0295866087179801,0.0304885004909674,-0.159388221578429,0.0499463900524559,-0.0805640951342995
"miR101",0.272254334801595,0.0233555381205202,-0.119142099154094,0.0160501982805915,0.0411667218616228,-0.02255721690589,-0.0426229829674009,-0.0576146162620315,0.0557398317439665,0,0.0299963588157726,0,0,0.120017964590893,-0.12277757581527,-0.120017964590893,-0.0226684743548652,0.107602177777038,0.20740469007955,-0.0244467645756238,0.0521671676529573,-0.0881596527039058
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",-0.186692576032245,-0.0261174196998443,0.0466840325049684,-0.027004199268126,-0.232957011812867,0.00965764942730199,0.234315647595661,0.00027611617551073,-0.142387377358379,0,-0.0576378054639515,0,0,-0.0802171591347767,0.0977505804210566,0.0802171591347767,0.0255096200133255,-0.120003655729448,-0.119723021799525,0.0115549898696151,-0.0900695664788011,0.0448561575420258
"FOXC2",0.0735404341180288,-0.0247399790685245,-0.0166335893635863,0.115082316306324,0.127596904860251,-0.0300361879798779,-0.126717967284066,-0.105105329645371,0.0837851869500509,0,0.0242418792158282,0,0,0.0454612249584574,0.000901432618882069,-0.0454612249584574,0.0247624051425733,0.0955091800700247,0.0966268390824205,-0.0263056295030971,0.102123599404846,0.00632888388418416
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
