"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.0766966238520638,0.107105568604416,-0.158235434879762,-0.00457397972246897,-0.0288627307591495,-0.0587060375072473,0.0281159313281395,0.0889994374730098,0.0028990340750673,0,0.107890759899751,0,0,0.234450304690338,0.158166632477244,-0.141210250849692,-0.107352917196719,-0.0464409141716711,-0.0462832930739695,0.0586451454384393,-0.0202966174953748,0.135473182673914
"ZEB1",0.0140591462353506,-0.0754201207109249,-0.00670599206101744,-0.00271330651196517,-0.0790795219386961,0.00146441482218436,0.0776069130612243,0.106669196134716,0.0840277264978324,0,0.0154978205601476,0,0,0.0208221883556441,8.58563919661171e-05,0.0091097920456026,-0.024257562215293,-0.0971591944760733,-0.0960488338755068,-0.0015642292696858,0.0875018639033884,-0.00711278211475711
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.109092141347436,-0.0367539534566726,0.0680821601043013,-0.142420275079828,0.0271152139740112,-0.0107185824540973,-0.0267007784614926,-0.195032315814277,-0.0123473482320177,0,-0.0234149706101139,0,0,-0.0755182043024493,-0.0845352140260964,0.035790160330413,0.0355652886487147,0.103237726227413,0.102672400904593,0.0109149527167354,-0.00186747245501224,-0.0662088178851688
"TWIST1",-0.172449675733604,0.0119799025535448,0.184150246849639,-0.107217213250784,0.0150898190672357,0.00845533459542409,-0.115743373253242,-0.0723345476915755,-0.0357885406246986,0,0.0191118024522373,0,0,-0.0814638478600457,-0.0767046515925018,0.074105207587809,-0.0107236895496011,0.0703503757832764,0.0712227871578473,-0.00863312306724528,0.0540757440951006,-0.103882007962687
"TGFbeta",0.13039838956702,-0.00765241708430106,0.0117940494509526,-0.135571076233093,0.0297659831087168,-0.126535740111993,-0.0288025703031987,-0.173740088436506,-0.0187233841195965,0,-0.0457575768777191,0,0,0.0592579247777473,-0.0822244496395219,-0.0673604562991238,0.00658467189982243,0.0947967907792175,0.0937741986270178,0.0267196466745538,0.0387819344425109,0.126888810643548
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",-0.145729994799972,-0.0347504751247512,-0.162407789207966,0.159928962919763,0.078017319512151,0.209205027844915,-0.0789117096099749,-0.012039299419507,0.0880761859777004,0,-0.0623550080343301,0,0,-0.0924873714844935,0.134381254265071,0.054124200672983,0.0356651470519258,-0.184648066192666,-0.183586696867823,-0.20926575987978,0.100461760655859,-0.188436859017091
"SNAI1",0.114267534936532,0.0451883856175517,-0.103168194947171,-0.016192668328699,-0.0238846972821678,-0.0267582005619755,0.0235697526514658,-0.100943942272149,-0.078623419606157,0,-0.0400001085584382,0,0,0.0711037016747939,-0.00542435267937154,-0.0413411577936003,-0.043980568036031,-0.0111205325070218,-0.0105727317658796,0.0266095108160169,0.0286967869520802,0.138334019167915
"miR9",-0.176442607811421,-0.107352917196719,0.158505043437283,0.00528732879144353,0.0281159313281395,0.0586451454384393,-0.0286145887888223,-0.0892747955992888,-0.00375697175185623,0,-0.107422320278061,0,0,-0.233962432457632,-0.158557243150268,0.141668206388882,0.106480361308559,0.0462832930739695,0.047033039781163,-0.0584963113058115,0.0207709282147971,-0.235580882550258
"miR34a",0.0795123120190464,0.114990563481862,-0.0618397672040657,0.0293977415133366,-0.0290716777258699,0.0193876040944753,0.0311621226154233,0.152593611305724,0.0649554224310738,0,0.0273374593624533,0,0,0.141355357711534,0.0305684041349574,0.0792134773182921,-0.116418305846555,-0.120229644573658,-0.122092845790443,-0.0191928426317621,0.0679097643366142,-0.00536971920844368
"miR30c",-0.165001924827525,-0.0960104854960002,0.106429622306901,-0.106062061571556,0.0281749972673355,0.0138046910387553,-0.0299280595787149,-0.0788285131174365,-0.047593770081006,0,0.0180457989193553,0,0,-0.182305540167244,-0.103772561377865,0.117922219119031,0.0974764719410016,0.0791942934808163,0.080899168826102,-0.014032172305004,-0.0533591486858052,-0.0345827913102428
"miR205",-0.182889076013112,-0.0196407881687454,0.0802356023466804,-0.00138485425096957,-0.0764791433897273,0.0266763160503732,0.0776667715510397,0.0799991636288968,0.0886552466760582,0,-0.0210389521559086,0,0,-0.102161681377694,-0.083257446784406,0.0815112198719765,0.0196336830701267,-0.0836674758806368,-0.0842832977659992,-0.0266449940789315,0.0971485615656414,-0.0827628716378309
"miR200c",-0.219778659216584,-0.00920528057301728,0.0845823345954552,0.0594538262225183,-0.0432344664956445,-0.0557059395026199,0.0448915570110913,0.178170098086763,0.00113024640804271,0,0.0713839786007187,0,0,-0.113839026794569,-0.0625991289245097,0.104839725821635,0.00877300124837273,-0.0882891154917198,-0.089490171365015,0.0557381910166493,-0.0386087332258975,-0.150345183029352
"miR200b",-0.15879961040611,-0.0203492645244022,0.0900843195302486,-0.0808515094930173,-0.00701941738860655,0.107547539035815,0.00690561385236983,-0.135909574574075,0.0539544952661103,0,-0.00225841254164654,0,0,-0.0918659248807379,-0.113761787294292,0.069633949222913,0.020772287332459,0.040910744413759,0.0413110963715241,-0.107539177532178,0.0752605695454042,-0.0281926296846425
"miR200a",-0.168130500248796,-0.0486025975202654,0.0456775975645917,-0.0575784475222092,0.054276698805241,0.105722454526623,-0.056150293609138,-0.208584383325149,-0.00423037934328573,0,-0.116544886937207,0,0,-0.110728073020461,-0.079698486425774,0.0594743460839984,0.0486544340131564,0.10538146236475,0.106908079170734,-0.105690203012594,0.0470606349088794,0.0276012471503057
"miR141",-0.22910954905927,-0.0374586135688805,0.0401756126297983,0.0827268881933265,0.018061649698203,-0.0575310240118121,-0.0181643504504166,0.105495289335688,-0.0570546282013533,0,-0.042902495794842,0,0,-0.132701174934292,-0.0285358280559922,0.0946801226827207,0.0366551479290701,-0.0238183975407285,-0.0238931885658055,0.0575871655362337,-0.0668086678624223,-0.0945513061944039
"miR101",0.0910846397495337,0.043697273916893,0.0057088281976863,0.00609456688400393,-0.000351696565921684,-0.00466437978214259,2.43899356817782e-06,0.13420632702895,-0.00964897289798372,0,0.0365466158800631,0,0,0.0695568739029861,0.0414027853182092,-0.0222725761433339,-0.0422184671915105,-0.0124479576568733,0.0880862303773147,0.00443390422838548,-0.0274792009401955,-0.0563171746924935
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",-0.0484009649386519,0.0847341050434595,-0.0328480492458506,0.0103938740388576,-0.213085390728437,0.00867225162170782,0.213650876973168,0.00407387748486357,0.128898804896874,0,-0.0184522557070043,0,0,0.0134589047056356,-0.0746440826253285,0.0691668293269567,-0.0852539531181053,-0.115438332922115,-0.115893635273152,-0.00858707005878389,-0.112706102327351,0.0207122342458567
"FOXC2",-0.0138420607486852,-0.024257562215293,0.00670415890061224,0.00346333952398155,0.0776069130612243,-0.0015642292696858,-0.0796406591316677,-0.107042682383631,-0.0851506350072449,0,-0.0157015047824543,0,0,-0.0207139576100095,-0.000248235991183743,-0.00875384601049417,0.0238293309917905,0.0960488338755068,0.0973493825444765,0.00159190403583402,-0.0859456057095117,0.00703284232045993
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
