"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.228600150052876,0.051956112684444,0.237700375862111,0.0368546297880167,-0.0190705250512952,0.0830130247827385,0.0192246265211862,-0.0425816536341243,-0.0604688485651178,0,-0.0288190095209225,0,0,-0.292447495105069,0.275434166977947,0.244604183825212,-0.0518511015114543,-0.00850720565989673,-0.00878715954984426,-0.0827922910333093,-0.0120879264708579,-0.292303154192257
"ZEB1",-0.0291048254100346,-0.0884982088456378,-0.0253306108902,0.0191278190052213,0.0226805498415997,-0.00174165318391741,-0.0221876888582673,0.0955716170904355,0.126449142432537,0,-0.0373872852569913,0,0,0.00530574901392823,0.00507913980034446,-0.0204865719599011,-0.0114541704358407,0.015480933130558,0.0149204202553521,0.0019118496136314,0.122050442677895,0.010313513857726
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.192030851173844,0.0623964243074706,-0.0674931759658256,0.0878585006324485,-0.0029989140494148,-0.0241645698285602,0.00336861683994725,-0.0135481884001406,0.145740518321623,0,-0.0903864283595656,0,0,0.0620414614969526,-0.0473174581592378,-0.124156739988724,-0.0623893881857809,0.0689630136157842,0.0685958650666468,0.024210408420127,0.0585713994937865,-0.0400086090228704
"TWIST1",-0.295619870571913,-0.0881628708438786,-0.212630922116189,0.0795097982554747,0.13202241786475,-0.0363794474062929,-0.231300558728186,-0.0158886359341745,0.241044065126745,0,-0.046305886896764,0,0,0.174688260437695,-0.13161324171206,-0.0908515083906414,0.0881854282290888,0.0937569334557278,0.0930001873409731,0.0365345110358512,0.328661783065998,0.022808639668761
"TGFbeta",0.160462423771346,0.119255699493771,0.0393833379813039,0.090932947735171,-0.131214404030109,-0.0838471529764236,0.131563032010316,-0.135014666813669,-0.245805091597368,0,0.102840659010488,0,0,-0.137294335885638,-0.0141573678302235,0.015984761051241,-0.119097875271675,-0.0551411266716294,-0.0556791766121764,-0.0158285907159039,-0.118179619631201,-0.190998115963355
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.111449992191098,-0.0164990052216316,0.0362352052307229,-0.076101956845788,0.0816235000415225,0.0169314595211619,-0.0810485349786357,-0.0523353302228315,-0.0146739359585961,0,0.0135959722936783,0,0,-0.0465911890978634,0.0436640355843467,0.0628058571324921,0.0166513947224973,-0.0280294491379909,-0.028761318732136,-0.0165935841159253,0.0285603473280908,0.0659640669065673
"SNAI1",-0.26951979654837,-0.117988029937819,-0.178358214227991,0.000598673625844569,0.261041674030872,-0.0169886656552831,-0.260889281467629,0.115168059032492,0.197774610055932,0,-0.121353285605784,0,0,0.180838560775229,-0.0910289814477181,-0.0609025876787329,0.117920018709784,0.139147669043076,0.139075898357739,0.0168986587957294,0.306870817697067,0.220905800829305
"miR9",-0.328303798005459,-0.0518511015114543,-0.23771057726699,-0.0363720701237103,0.0192246265211862,-0.0827922910333093,-0.0184702472857943,0.0428612974899952,0.0603800157811451,0,0.0288249391363869,0,0,0.292323225762776,-0.275476345595222,-0.244551254290532,0.0517852882936125,0.00878715954984426,0.00805767626716949,0.0828088281591569,0.0119135025288768,0.192195454315913
"miR34a",0.148307660621495,0.0900688962052618,0.0269831421608847,-0.0145078180610061,-0.113867063547945,-0.00277727245409177,0.113883990227212,-0.100017876887561,-0.231162811002299,0,0.0542220706061123,0,0,-0.15457288886126,0.0438385171813178,-0.0315641608575017,-0.0899735875609565,-0.0571505862240487,-0.0572579495594697,0.00292106830039403,-0.199556933637014,-0.0968731793544512
"miR30c",0.277294465672077,0.127135485215569,0.102502386866802,0.0897892633496755,-0.233767664730976,0.024190062485068,0.233803169790447,-0.131146234028608,-0.265466653217485,0,0.102809736577125,0,0,-0.250348983616193,0.0937123311640951,0.155203844104155,-0.126996820842673,-0.0495950986540078,-0.0497868751376364,-0.0239472883605842,-0.275964227694578,-0.188321997035026
"miR205",0.273035732295619,0.0102102603956418,0.129112343055669,-0.00252930656613455,-0.0210650520921798,0.0359450695332024,0.0212786542794662,-0.108584730319302,-0.13676899987621,0,0.0174500310077545,0,0,-0.139423296498816,0.125478177387123,0.128734716702875,-0.0100638953640951,-0.0130793233907503,-0.0134785925252161,-0.0356189525364267,-0.118932366876558,-0.137943588357454
"miR200c",0.290966880998071,0.0289320781813696,0.132295250344931,0.0254363307693362,-0.0847241120633642,0.122588396174123,0.0844548695508042,-0.153449367493484,-0.240407209174835,0,0.114238270380084,0,0,-0.157751249762333,0.0717887216545958,0.126831283444798,-0.0288469182287629,-0.0424810499934805,-0.0423138700550731,-0.122458195617486,-0.0965790534501437,-0.15592807122663
"miR200b",0.268375844510765,0.0477354036812507,0.0615964811193772,0.0636483186151913,-0.0655814956014871,0.121601458165677,0.0647071513596684,-0.0906900828297436,-0.151908639857338,0,-0.0247389698699812,0,0,-0.157237331988764,0.113140151576045,0.107130901530251,-0.0478122327689285,-0.0306275806472468,-0.0296245010168025,-0.121901277796099,-0.0371637657170068,-0.198503101145077
"miR200a",0.290966880998071,0.0289320781813696,0.132295250344931,0.0254363307693362,-0.0847241120633642,0.122588396174123,0.0844548695508042,-0.153449367493484,-0.240407209174835,0,0.114238270380084,0,0,-0.157751249762333,0.0717887216545958,0.126831283444798,-0.0288469182287629,-0.0424810499934805,-0.0423138700550731,-0.122458195617486,-0.0965790534501437,-0.15592807122663
"miR141",-0.290966880998071,-0.0289320781813696,-0.132295250344931,-0.0254363307693362,0.0847241120633642,-0.122588396174123,-0.0844548695508042,0.153449367493484,0.240407209174835,0,-0.114238270380084,0,0,0.157751249762333,-0.0717887216545958,-0.126831283444798,0.0288469182287629,0.0424810499934805,0.0423138700550731,0.122458195617486,0.0965790534501437,0.15592807122663
"miR101",-0.0692640845192927,0.107515357121367,-0.00293609972871764,0.00985330929122795,-0.227574433800772,-0.0167756935487379,0.227315043673936,-0.0847527070326183,-0.227771525626728,0,0.0350900824099843,0,0,-0.0179826710785965,-0.00323054678012278,-0.0903399086006267,-0.107512970299352,-0.121168786704712,-0.0209194989554241,0.0167334690198053,-0.246908261690837,-0.0304569829641159
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"GSC",-0.166969970035091,-0.117362124818051,-0.00871898952756011,-0.0389043473712338,0.0174246900723739,-0.0158912762859546,-0.0170148961443743,0.0698173876821405,0.103897551296896,0,0.0120197774990986,0,0,0.138767624847203,-0.114030542109243,-0.0188551242528903,0.117417647343982,0.0685345187387204,0.0680512694403052,0.0160572225900212,-0.0630515694788013,0.124920563676559
"FOXC2",-0.0292064083867416,0.0114541704358407,-0.0250985327829015,0.0185124750200107,0.0221876888582673,-0.0019118496136314,-0.022886989557568,0.095013812952445,0.126398582154103,0,-0.0374775628793324,0,0,0.00494748788265649,0.00555797509576461,-0.0203308817429187,-0.0116410543862471,0.0149204202553521,0.0158856712206031,0.00141370382296333,0.122058154561908,0.0100603154297638
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
