"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","ZEB1","GSC","SNAI2","TGFbeta","ZEB2"
"miR205",0.71152556783089,0.71300242940749,0.71300242940749,0.683931936216153,0.66737598284829,0.66737598284829,0.482381706965077,0.651577875320329,0.607196777029988,0.425678958735749,0,0,-0.437741400728123,-0.457874778452912,-0.473490071190487,-0.48600135707259,-0.432777851905311,-0.610489098285419,-0.715054893669274,-0.536906964347974,-0.564125849073989,-0.592609233829008,-0.834614612560262
"miR200c",0.708541884008544,0.709123598795919,0.709123598795919,0.678578748003123,0.67033841373712,0.67033841373712,0.552604164250349,0.639059980389255,0.616544932554317,0.436304908554332,0,0,-0.486092895652523,-0.474966160597793,-0.513539064531868,-0.533833848371514,-0.503556939726737,-0.604628885694109,-0.717545477376385,-0.641550652480873,-0.660643930091891,-0.696689957998553,-0.819259280584082
"miR200b",0.708541884008544,0.709123598795919,0.709123598795919,0.678578748003123,0.67033841373712,0.67033841373712,0.552604164250349,0.639059980389255,0.616544932554317,0.436304908554332,0,0,-0.486092895652523,-0.474966160597793,-0.513539064531868,-0.533833848371514,-0.503556939726737,-0.604628885694109,-0.717545477376385,-0.641550652480873,-0.660643930091891,-0.696689957998553,-0.819259280584082
"miR200a",0.708541884008544,0.709123598795919,0.709123598795919,0.678578748003123,0.67033841373712,0.67033841373712,0.552604164250349,0.639059980389255,0.616544932554317,0.436304908554332,0,0,-0.486092895652523,-0.474966160597793,-0.513539064531868,-0.533833848371514,-0.503556939726737,-0.604628885694109,-0.717545477376385,-0.641550652480873,-0.660643930091891,-0.696689957998553,-0.819259280584082
"miR141",0.708541884008544,0.709123598795919,0.709123598795919,0.678578748003123,0.67033841373712,0.67033841373712,0.552604164250349,0.639059980389255,0.616544932554317,0.436304908554332,0,0,-0.486092895652523,-0.474966160597793,-0.513539064531868,-0.533833848371514,-0.503556939726737,-0.604628885694109,-0.717545477376385,-0.641550652480873,-0.660643930091891,-0.696689957998553,-0.819259280584082
"miR101",0.643548707575752,0.644543738177217,0.644543738177217,0.597722990795658,0.611326318985198,0.611326318985198,0.509107889540832,0.524193196142909,0.566011859910984,0.414367010974719,0,0,-0.374553300620899,-0.375989630168218,-0.473310466041497,-0.417414184703699,-0.565538492725562,-0.527840708684959,-0.652641041637714,-0.503087619276856,-0.585669001991536,-0.551398580213898,-0.740735529755941
"CDH1",0.781013392836457,0.58029308138154,0.58029308138154,0.752269037888013,0.555776305545305,0.555776305545305,0.718748764268982,0.504456412054056,0.520659470049092,0.392936307702757,0,0,-0.539107973292783,-0.443579309341068,-0.466632595746469,-0.595506379667285,-0.661257903410388,-0.773899510905022,-0.610339845356956,-0.621567676791776,-0.84119362696558,-0.685215200166779,-0.679005059706719
"miR34a",0.66479940717527,0.663841714368777,0.663841714368777,0.626821930141594,0.632601273347438,0.632601273347438,0.581252728023023,0.563981021489661,0.587725836512969,0.439578552990939,0,0,-0.502365602782604,-0.465085755986041,-0.526571914531197,-0.547303522523103,-0.535687654267645,-0.754688625804687,-0.675798099794348,-0.521661397745623,-0.713097420639593,-0.572249405879384,-0.659348379994459
"CLDN7",0.716802586263173,0.515849203072303,0.515849203072303,0.791742597425246,0.496342446788036,0.496342446788036,0.661257903410388,0.448917339206373,0.467901621787559,0.355071958579991,0,0,-0.477249309207594,-0.401615206987595,-0.413313998458698,-0.539107973292783,-0.598778392160201,-0.711195973566448,-0.555776305545305,-0.551910254279541,-0.782957279137671,-0.621567676791776,-0.613439830698236
"OVOL2",0.451911669259214,0.417341834381715,0.417341834381715,0.487665105146089,0.391434913531463,0.391434913531463,0.434043080120865,0.404427296594421,0.280217315766913,0.159354630364772,-0.0240834337367673,-0.0241428552949085,-0.331529102332767,-0.336561617873725,-0.350175996886015,-0.359818434035522,-0.404841364888859,-0.456454646792329,-0.419621117776248,-0.330337712947181,-0.483322857993578,-0.363048250866052,-0.389284332550543
"NP63",-0.286465106988079,-0.143776787951344,-0.143776787951344,-0.287184135450592,-0.161398799013669,-0.161398799013669,-0.401841346109933,-0.169413830276595,-0.0179732849538567,-0.0171949863884173,0.0215802590359401,0.12148890048048,0.304592071440186,0.207752245794897,0.217842738860108,0.32127556745724,0.384757076138992,0.390610916831955,0.177394985470161,0.116063484820369,0.423708954528963,0.134362784753614,0.119039145542272
"GRHL2",-0.259646309500001,-0.270491678428824,-0.270491678428824,-0.184642664316186,-0.256297674024274,-0.256297674024274,-0.127629603732655,-0.248844361198014,-0.155568297160547,-0.0707145913940914,0.0255409753580788,0.0256364332958402,0.111119978587605,0.116081376048567,0.0910390139268784,0.124765276003641,0.113142170306888,0.17071539960147,0.270535162751627,0.107957686127123,0.15256121793441,0.124203521700885,0.211477869898412
"SNAI1",-0.493185342533896,-0.493609631632675,-0.493609631632675,-0.537843699917503,-0.475021210699807,-0.475021210699807,-0.458661156521299,-0.454305382745713,-0.444237109314736,-0.347679530085253,0,0,0.324626773578879,0.208545027168379,0.412685204666364,0.355819963815902,0.42669406359345,0.473339435310175,0.505885701822492,0.395300167219881,0.524920732240605,0.431480802056879,0.555684460079404
"FOXC2",-0.67476319795483,-0.674309379902844,-0.674309379902844,-0.647671449530661,-0.627728424952817,-0.627728424952817,-0.454212562952903,-0.615653075669109,-0.56554490313033,-0.394141090361075,0,0,0.416488038117007,0.431925079690027,0.449324872123008,0.461012598729896,0.408543905061319,0.578937966850523,0.671555288924046,0.498041208368861,0.528647461983935,0.549290109270936,0.603671245938809
"TCF3",-0.716802586263173,-0.515849203072303,-0.515849203072303,-0.791742597425246,-0.496342446788036,-0.496342446788036,-0.661257903410388,-0.448917339206373,-0.467901621787559,-0.355071958579991,0,0,0.477249309207594,0.401615206987595,0.413313998458698,0.539107973292783,0.598778392160201,0.711195973566448,0.555776305545305,0.551910254279541,0.782957279137671,0.621567676791776,0.613439830698236
"KLF8",-0.716802586263173,-0.515849203072303,-0.515849203072303,-0.791742597425246,-0.496342446788036,-0.496342446788036,-0.661257903410388,-0.448917339206373,-0.467901621787559,-0.355071958579991,0,0,0.477249309207594,0.401615206987595,0.413313998458698,0.539107973292783,0.598778392160201,0.711195973566448,0.555776305545305,0.551910254279541,0.782957279137671,0.621567676791776,0.613439830698236
"TGFbeta",-0.653291611061175,-0.553963583945876,-0.553963583945876,-0.611542875155019,-0.530453583284016,-0.530453583284016,-0.551323222643926,-0.544931214015104,-0.496468022713694,-0.386311383000198,0,0,0.476994267164187,0.43857331530261,0.500322971784585,0.521193663620067,0.50667080696922,0.63775489054373,0.572589065262467,0.625810273909276,0.696753526153344,0.575161933097036,0.637222219713049
"ZEB1",-0.722059083432857,-0.721842905754341,-0.721842905754341,-0.692346685196264,-0.671555288924046,-0.671555288924046,-0.496759313384587,-0.656795373718397,-0.604486315562483,-0.421676137807666,0,0,0.461012598729896,0.462290889589746,0.489168257908815,0.50327464299486,0.454212562952903,0.625008259471388,0.611831391566826,0.549290109270936,0.5716244916162,0.596619870546814,0.652173602137492
"SNAI2",-0.839896420470392,-0.639463928624225,-0.639463928624225,-0.807841702727408,-0.610339845356956,-0.610339845356956,-0.77148852355586,-0.555480893468024,-0.569162728794938,-0.427223346980118,0,0,0.595506379667285,0.481686145444671,0.515945798297613,0.647632785180524,0.718748764268982,0.831371491447169,0.660500013597882,0.685215200166779,0.794732914561958,0.744085392992374,0.739338362909874
"GSC",-0.662194621051246,-0.662924091150035,-0.662924091150035,-0.623856669068124,-0.630562597408737,-0.630562597408737,-0.568424783745044,-0.571547811487887,-0.583871747963877,-0.43995296506266,0,0,0.571955155305647,0.467049826980871,0.604066818602744,0.616567664889087,0.523140661833749,0.550544510705064,0.673629867393654,0.520249629497136,0.60661917355085,0.570749901483738,0.760503771593153
"TWIST1",-0.675367519168975,-0.675203029189693,-0.675203029189693,-0.736372101972661,-0.641971854756893,-0.641971854756893,-0.58830784837375,-0.569086664448144,-0.59548788741597,-0.444507565377008,0,0,0.593274233983338,0.398261855762471,0.602785135839211,0.539350847248919,0.541523005471793,0.663780252077762,0.686346193790936,0.52850634869875,0.723369281770287,0.580439892814139,0.774539719426397
