"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GSC","TGFbeta","TWIST2","SNAI2","ZEB1","ZEB2"
"miR205",0.783824619025778,0.783824619025778,0.760292413510821,0.724963628193505,0.774947002043805,0.774947002043805,0.724873009373554,0.700911326850704,0.47160037110836,0.493403310626435,0,0,-0.41204586868788,-0.430960802925906,-0.433486433781271,-0.460754735703242,-0.420031436882188,-0.437395777196122,-0.485418313301502,-0.627235356392233,-0.56380029216912,-0.835305879573277,-0.858843658344288
"miR200c",0.768745588598328,0.768745588598328,0.74943367560837,0.711938372117116,0.762474910152842,0.762474910152842,0.70044640503167,0.698055532962969,0.54335468330692,0.496064373767768,0,0,-0.464682529031042,-0.454037492237024,-0.480283482443257,-0.512062625752281,-0.493154762554786,-0.537586717342595,-0.584688117215334,-0.617555101939287,-0.659259698283194,-0.821573742625763,-0.838515236553043
"miR200b",0.768745588598328,0.768745588598328,0.74943367560837,0.711938372117116,0.762474910152842,0.762474910152842,0.70044640503167,0.698055532962969,0.54335468330692,0.496064373767768,0,0,-0.464682529031042,-0.454037492237024,-0.480283482443257,-0.512062625752281,-0.493154762554786,-0.537586717342595,-0.584688117215334,-0.617555101939287,-0.659259698283194,-0.821573742625763,-0.838515236553043
"miR200a",0.768745588598328,0.768745588598328,0.74943367560837,0.711938372117116,0.762474910152842,0.762474910152842,0.70044640503167,0.698055532962969,0.54335468330692,0.496064373767768,0,0,-0.464682529031042,-0.454037492237024,-0.480283482443257,-0.512062625752281,-0.493154762554786,-0.537586717342595,-0.584688117215334,-0.617555101939287,-0.659259698283194,-0.821573742625763,-0.838515236553043
"miR101",0.697262742012734,0.697262742012734,0.679288420348611,0.626512952942353,0.692531817655348,0.692531817655348,0.57795784029853,0.638206579260154,0.500417816763248,0.466416395901165,0,0,-0.354698905580202,-0.356065961842411,-0.442715944871323,-0.397225885273141,-0.555875455596754,-0.403809748739231,-0.44516081230143,-0.538901004996206,-0.584175516201467,-0.744302029579807,-0.757398552349164
"CDH1",0.61381899376591,0.61381899376591,0.802693579408188,0.768935175790342,0.61057727704657,0.61057727704657,0.539769410521582,0.56989583005884,0.710053067556612,0.428530915006393,0,0,-0.524879623981824,-0.42659288241874,-0.443838468830809,-0.578930088789261,-0.653267457256072,-0.535435977587398,-0.588117197793221,-0.7776662498813,-0.835924290748818,-0.676518782878339,-0.686476087977002
"miR34a",0.713352142349222,0.713352142349222,0.697895103240579,0.65287272749436,0.709576133603666,0.709576133603666,0.61404947030866,0.656567594450946,0.572820844730335,0.489038556386392,0,0,-0.483724513785636,-0.446498789824509,-0.497641595228671,-0.527791656519057,-0.526741019899357,-0.406394089721888,-0.449523535986573,-0.764220572038719,-0.711062612943843,-0.763388038235255,-0.67415778839127
"CLDN7",0.541239752528622,0.541239752528622,0.732829512077882,0.803909924461449,0.538898968155812,0.538898968155812,0.475912456879198,0.506268910602943,0.653267457256072,0.382865824953037,0,0,-0.467619217399055,-0.387002789183434,-0.394833151906262,-0.524879623981824,-0.59326149689249,-0.477687201078426,-0.535435977587398,-0.713102802379896,-0.77731292066051,-0.61057727704657,-0.618301253303982
"miR141",0.479914871385062,0.479914871385062,0.397344342732951,0.369185906165032,0.481213326139094,0.481213326139094,0.347485582910229,0.448318040820616,0.094796751030229,0.31870207151478,0,0,-0.0616179364558731,-0.0695579224951502,-0.0325190960007553,-0.084202493593871,-0.0707900509834007,-0.168286263481665,-0.189949066863176,-0.220498989047006,-0.14192568078754,-0.508873517951897,-0.507076418594255
"GRHL2",0.628353022739188,0.628353022739188,0.545187095344369,0.512976379679176,0.620328670477852,0.620328670477852,0.581711422587091,0.496123816433633,0.31050281668513,0.409778982235399,0.0255409753580788,0.0256364332958402,-0.272115617882407,-0.314287808306305,-0.318220537645599,-0.306565586088661,-0.274326048341453,-0.397118607169576,-0.430505526020776,-0.389330977823098,-0.367509981842588,-0.662316630309019,-0.487931147801822
