"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.779179613715856,0.678437582630806,0.717941414883016,0.274819028081947,0.378682877362524,0.709998894435478,0.332145458751454,0.247810259035078,0.383719104756492,-0.424439284118911,0,0,-0.579213603349869,0,0,-0.8244468035662,-0.73872953073277,-0.8244468035662,-0.624863287019534,-0.223904960738923,0.180818262318964,0.652994417531254,-0.578698125905909,0.408047454002979,-0.624863287019534,0.00351285288526659
"ZEB1",0.725746122526202,0.795462217809892,0.766393059919265,0.662374161713811,0.544805760529224,0.699103161495272,0.494961102552096,0.578715112654823,0.507754987037297,-0.523778393702083,0,0,-0.791744466082401,0,0,-0.84854604575395,-0.811830105752657,-0.84854604575395,-0.837483843941574,-0.512828729542864,0.4664368709147,0.63737082797213,-0.747088420697413,0.532151148000033,-0.837483843941574,-0.543736185839537
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.790037245430688,0.778962194223855,0.646990160169797,0.637119771641394,0.657405634745946,0.620644786278735,0.610110705774543,0.662735520880521,0.485983808106521,-0.499908915985011,0,0,-0.634383805498011,0,0,-0.727096158686009,-0.694167661622551,-0.727096158686009,-0.723082971698987,-0.561934018714235,0.517610849943107,0.561599015061144,-0.670203213330164,0.52655956547944,-0.723082971698987,-0.480705671937211
"TWIST1",0.789163231498648,0.777523201315457,0.743227843394608,0.634622321544545,0.535255734302956,0.61744031658629,0.587855667313323,0.660442129544868,0.404650431594078,-0.495507155129564,0,0,-0.627919759587199,0,0,-0.72598335050316,-0.692755282395143,-0.72598335050316,-0.721740451030709,-0.550143167189979,0.505769318661373,0.558524016281398,-0.666703781990753,0.607052874836315,-0.721740451030709,-0.483499683047224
"TGFbeta",0.645640651402831,0.639357850704953,0.611710318318456,0.614035761677484,0.516270284137339,0.599758992766428,0.471451460821477,0.645556090889429,0.441612443944174,-0.422526365549741,0,0,-0.586342750159823,0,0,-0.589212459443077,-0.663655454920404,-0.589212459443077,-0.587260468637128,-0.520719002953283,0.478947254263779,0.644607235404448,-0.547423950477254,0.501675586806438,-0.587260468637128,-0.401724931059821
"TCF3",0.616477829450502,0.609697960388682,0.688854461455726,0.684282642806598,0.531846375086104,0.63662665767637,0.471391389606917,0.728931305696092,0.400977000120407,-0.3824996637198,0,0,-0.478875808041995,0,0,-0.540405007180758,-0.720229624198611,-0.540405007180758,-0.538334174410552,-0.630689063032155,0.574140113546236,0.560661459198936,-0.505765648213673,0.411905963533868,-0.538334174410552,-0.582530558304112
"SNAI2",0.747739082992437,0.737429950983054,0.809252972337032,0.798955066890731,0.640173526401047,0.771779165882598,0.587607331261403,0.729255165777756,0.483997196538723,-0.469412275342065,0,0,-0.602769662330128,0,0,-0.67927211596921,-0.849561768670482,-0.67927211596921,-0.675657113939885,-0.732067413946924,0.682977892251527,0.706121512106879,-0.627746554820136,0.516594041523988,-0.675657113939885,-0.552164981936733
"SNAI1",0.566471700654531,0.570203431658084,0.540824435417066,0.454925218775133,0.353647747180714,0.457915954223304,0.321424508762369,0.482224945691035,0.213412105796945,-0.383541099829894,0,0,-0.495751699192103,0,0,-0.529571659444238,-0.506089730862599,-0.529571659444238,-0.531239678284936,-0.433172648854291,0.402756693229546,0.416637888592907,-0.494639205584504,0.416116708842605,-0.531239678284936,-0.354721822583191
"OVOL2",-0.395464866622321,-0.461165217879852,-0.483565076971345,-0.445293720244954,-0.358347347469577,-0.378456442687101,-0.329761274525184,-0.45721267638822,-0.339278838221231,0.181368630361643,-0.0240834337367673,0,0.429938372137176,0,-0.0241428552949085,0.439495187090602,0.459954468284949,0.439495187090602,0.426370942266375,0.419006585453984,-0.391913815968444,-0.341923015658883,0.31121602071532,-0.351773830659167,0.426370942266375,0.370382380639894
"NP63",-0.0763766167654935,-0.157382671743467,0.0464931588255748,0.208264320457085,0.178959751976425,-0.0939997773334312,0.183279285242441,0.256205105565019,0.0749560153431853,0.179356652757125,0.0215802590359401,0,0.121355427413799,0,0.12148890048048,0.120135698508393,-0.0546407862508192,0.120135698508393,0.152873936896704,-0.264179989779065,0.267845212653126,-0.0879833112156352,0.234690151812425,0.08718995315596,0.152873936896704,-0.0980609381946513
