"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.772283698002542,0.77524632322234,0.845143290005816,0.687404697384418,0.521361290607764,0.778663382719651,0.461330764685085,0.744126672817236,0.480319358426064,-0.478708632246823,0,0,-0.663472424178028,0,0,-0.870949602792157,-0.873986802766791,-0.870949602792157,-0.709469906036654,-0.632619487101411,0.572413853046502,0.711806021691502,-0.654080825907347,0.499051899272769,-0.709469906036654,-0.855530290900619
"ZEB1",0.587708441792075,0.786994143926735,0.751304011945413,0.697872499432287,0.553749770595644,0.674065558613329,0.502480893685418,0.636100640127241,0.510125347372532,-0.519473003568688,0,0,-0.787336541507743,0,0,-0.794756131773872,-0.790733000044571,-0.794756131773872,-0.830577970408703,-0.546996510283813,0.495523642066759,0.616591794483464,-0.740970846283942,0.533090303709516,-0.830577970408703,-0.764802522598512
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.578541686335624,0.754012564376975,0.6100118064042,0.675982360192853,0.661771618700611,0.56465268358583,0.614526559355755,0.727576723804506,0.481872231127447,-0.486254237786357,0,0,-0.617768054125485,0,0,-0.626206289422611,-0.645244724980397,-0.626206289422611,-0.701192920226494,-0.599944094324367,0.551737303852232,0.51156729473651,-0.650548846362236,0.519781767064735,-0.701192920226494,-0.727139329124696
"TWIST1",0.552711990358164,0.752688140373829,0.70475111618814,0.673576321217443,0.539635820205681,0.560733194578523,0.592428552647453,0.724889381521583,0.400803533080665,-0.482230879049988,0,0,-0.611485111489229,0,0,-0.622326325114941,-0.641614055228026,-0.622326325114941,-0.70001509223638,-0.587967949360292,0.539694285067109,0.508065777953898,-0.647275883994076,0.600397803059684,-0.70001509223638,-0.721826927332234
"TGFbeta",0.366858762411879,0.590362409881275,0.543523036021243,0.621103012777113,0.500424502457517,0.508376209952586,0.458872985655847,0.670239191107141,0.421568470256077,-0.395159109431812,0,0,-0.550577568573809,0,0,-0.445826749342064,-0.571734659396045,-0.445826749342064,-0.54449173000115,-0.529457560644808,0.487144301959527,0.562544053117098,-0.508848426662987,0.47805955292075,-0.54449173000115,-0.560447060840402
"TCF3",0.47383597039057,0.598007908838256,0.667504775651197,0.714297709419586,0.53778640542635,0.606313455842245,0.475395311525091,0.780841699634881,0.400883466019313,-0.376467921053162,0,0,-0.4720413670707,0,0,-0.477956265046331,-0.690805213194201,-0.477956265046331,-0.528640977631,-0.659108631594404,0.596658922162128,0.534825328236663,-0.497018842748369,0.410957977516289,-0.528640977631,-0.778777499074874
"SNAI2",0.572788822196527,0.720755433106625,0.782585012199204,0.839561498435059,0.648145860966539,0.730252922469744,0.594344174350653,0.795882130037599,0.483574459709332,-0.460358227691493,0,0,-0.592404954369295,0,0,-0.599785917939061,-0.813294578325697,-0.599785917939061,-0.66118193139525,-0.771208190056826,0.717117107541478,0.669379928825448,-0.614751403578493,0.514332591858339,-0.66118193139525,-0.796818378026673
"SNAI1",0.171300733640871,0.480599416118076,0.423249758655972,0.427412641371625,0.310009197355408,0.306319386540407,0.282697081515862,0.465828173682606,0.168786102399519,-0.331254486404661,0,0,-0.42605851767294,0,0,-0.306833619905475,-0.349107830074937,-0.306833619905475,-0.44990046502728,-0.41059479059998,0.383180029837639,0.27447039695189,-0.421299789057503,0.365869324881273,-0.44990046502728,-0.437609306096664
"OVOL2",-0.293000523320291,-0.45028072323709,-0.466328067140391,-0.459746071153947,-0.359433598100199,-0.35573932683269,-0.330471652916399,-0.482988181649775,-0.336885142447406,0.175519724445904,-0.0240834337367673,0,0.422790520844756,0,-0.0241428552949085,0.396086473718548,0.437356883715318,0.396086473718548,0.417155177217952,0.433205057864173,-0.403494475847789,-0.322266140104295,0.303035311812166,-0.348750187746548,0.417155177217952,0.480777699625567
