"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.897465413714395,0.746665360288663,0.861303577855025,0.684651523649812,0.522124921661301,0.791326425909449,0.461753414687427,0.746040778386181,0.480575512292778,-0.46315331559787,0,0,-0.645714561022263,0,0,-0.902692342510498,-0.897180050607109,-0.902692342510498,-0.684351906384176,-0.633946736826171,0.57358598230431,0.721449155897318,-0.63164338906098,0.500759197474118,-0.684351906384176,-0.868515797511712
"ZEB1",0.72789636437382,0.763597324109693,0.770082292239786,0.696695133100781,0.555632319989808,0.690482003785924,0.503943989571016,0.639543260900654,0.511644060647566,-0.506621981718167,0,0,-0.772893081372121,0,0,-0.833199618785118,-0.817638586530534,-0.833199618785118,-0.80998562196753,-0.549452873908308,0.497596450086713,0.630404891252393,-0.7228009840405,0.535882608309957,-0.80998562196753,-0.780074406247883
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.778848586175731,0.71104734378921,0.636107527969186,0.669480615028916,0.662306179031392,0.590940507321857,0.614716306840121,0.729342928350586,0.481710019930144,-0.458979115295376,0,0,-0.588639143827432,0,0,-0.687443789689887,-0.684920876054109,-0.687443789689887,-0.661345606943084,-0.601226897170675,0.552927122245193,0.535673665462192,-0.614586552614264,0.52258434431862,-0.661345606943084,-0.746574871671841
"TWIST1",0.717530081319556,0.581128307611131,0.663412781236644,0.6092049623164,0.497026670418854,0.504911403614425,0.555601751909292,0.672247447500839,0.361574288194853,-0.38065669085293,0,0,-0.482581186960846,0,0,-0.591600272228999,-0.605696227100239,-0.591600272228999,-0.537927264133299,-0.545613642697002,0.503370949872225,0.457235072099583,-0.495182971492725,0.564260719573713,-0.537927264133299,-0.674663969150627
"TGFbeta",0.607329828608773,0.524182265813794,0.569113715577886,0.608322455413449,0.498445020291087,0.538488341916627,0.456864006972275,0.668876383748024,0.41846128528365,-0.350846426209036,0,0,-0.507613672265012,0,0,-0.514587586345516,-0.618071931838236,-0.514587586345516,-0.481356834080565,-0.528423009916886,0.486695579181,0.590504171423628,-0.448964682354283,0.47969079877286,-0.481356834080565,-0.579552758066428
"TCF3",0.615618731126564,0.574270781761601,0.689092535656302,0.713070637696719,0.539398389556094,0.626103326931015,0.477249309207594,0.784738757718587,0.402839372060611,-0.362998739040483,0,0,-0.457977240446684,0,0,-0.52330100511055,-0.722108666982375,-0.52330100511055,-0.508839044205371,-0.661615525225318,0.598778392160201,0.553273890643178,-0.479093852511996,0.41347664416214,-0.508839044205371,-0.796044654240902
"SNAI2",0.746253547540429,0.690793641568833,0.809274027737237,0.837904814933896,0.650885733614752,0.755651015245284,0.596954830459148,0.800965319791285,0.486099955451681,-0.442461479734634,0,0,-0.573537569404176,0,0,-0.655111524440556,-0.851906959868886,-0.655111524440556,-0.634388540180366,-0.774837006716933,0.720342192107658,0.692717480827531,-0.590616437097641,0.518548044618583,-0.634388540180366,-0.818109698598677
"SNAI1",0.527203899137396,0.462623867209486,0.498444949259561,0.445706182548804,0.333695181507395,0.396448288797792,0.304701062387637,0.498902532949991,0.190011224960512,-0.31614773715228,0,0,-0.422072730254163,0,0,-0.456642145413405,-0.460603145170101,-0.456642145413405,-0.431480644969677,-0.436552552639716,0.406606430638961,0.362150893132169,-0.40169742490546,0.392392491809695,-0.431480644969677,-0.508624383417837
"OVOL2",-0.390480076378026,-0.429901281519528,-0.47859573162639,-0.457575377956574,-0.35990802741033,-0.365507544439559,-0.33120505640105,-0.484463999567532,-0.33739768705926,0.164399315166168,-0.0240834337367673,0,0.41015206771865,0,-0.0241428552949085,0.421959577962149,0.455277674504958,0.421959577962149,0.39911646774687,0.434242152735287,-0.404498669849223,-0.331768429580653,0.287045532606346,-0.350085496818599,0.39911646774687,0.490398692443057
