"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.814258073070383,0.713424576346297,0.748084778883417,0.423933092994206,0.414145136072139,0.739236566677512,0.369351591980042,0.346615101823882,0.414926316585789,-0.446977231122462,0,0,-0.611064188169941,0,0,-0.858527299064188,-0.760524208013642,-0.858527299064188,-0.658471085519247,-0.376363608630003,0.342504589269776,0.679028670822497,-0.60858646397342,0.441099321339147,-0.658471085519247,-0.753633852208226
"ZEB1",0.67459733754085,0.753400262106744,0.698449449575832,0.534157549585448,0.485779017407058,0.661280907905595,0.445234448969432,0.391208530591039,0.469134281629601,-0.502616661503131,0,0,-0.758084346530925,0,0,-0.81119830799716,-0.72836314054156,-0.81119830799716,-0.803496649904712,-0.386008495775041,0.35474210097729,0.60685779975824,-0.716973226424402,0.497550300656952,-0.803496649904712,-0.707569877311472
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.776948758177774,0.768906681467672,0.62574804025,0.585992478960227,0.639644308632334,0.61259380418661,0.597963274763733,0.577118548093472,0.474576695263397,-0.496249510389841,0,0,-0.628040298338831,0,0,-0.720318727478693,-0.667347503961891,-0.720318727478693,-0.71722455906947,-0.512443888722495,0.478352485873869,0.557456856201466,-0.66499728094517,0.518745682939437,-0.71722455906947,-0.735660146322343
"TWIST1",0.774140773323413,0.765864454755842,0.719478104515855,0.579352360108861,0.515353842336978,0.607843615872501,0.573837425792173,0.568358831038188,0.391819797363729,-0.491095332342256,0,0,-0.620355817244333,0,0,-0.717847678083524,-0.662788220750984,-0.717847678083524,-0.714656421852231,-0.496055558952013,0.461978976768077,0.553311749448578,-0.660402477096347,0.597989354104825,-0.714656421852231,-0.729376682723828
"TGFbeta",0.327069154875996,0.355201365226826,0.240546833811941,0.0945756963049008,0.218393318871874,0.169307686232329,0.199474706569557,0.047635657421392,0.235764297932661,-0.253805437801796,0,0,-0.350169907894183,0,0,-0.320078990012828,-0.160894493916091,-0.320078990012828,-0.332365606547989,-0.130307003419465,0.115869737560216,0.244153800314248,-0.313630048338352,0.27932015189021,-0.332365606547989,-0.231420156979074
"TCF3",0.605273036902152,0.600852298615062,0.668647488017006,0.638595615028627,0.516470149245789,0.629378532560259,0.461194253795644,0.649169544766852,0.391471076297213,-0.378631224905421,0,0,-0.472365114228007,0,0,-0.533512224485237,-0.694395540458144,-0.533512224485237,-0.532107098746723,-0.586258650720995,0.543686753835285,0.554845271730098,-0.500160197150433,0.404953401864039,-0.532107098746723,-0.775853780472143
"SNAI2",0.725259714753255,0.719127113363469,0.775858278110763,0.728291740603404,0.611935173443522,0.756062997668568,0.565952220958937,0.61677353861681,0.46578524051236,-0.460864246155577,0,0,-0.588934583355503,0,0,-0.664254074771869,-0.808195919337684,-0.664254074771869,-0.662019294171046,-0.66379719285927,0.627761675534168,0.694147237677186,-0.615556753814184,0.501737984276274,-0.662019294171046,-0.7843195385336
"SNAI1",0.556192848104523,0.56221919004413,0.524604411062803,0.415967662669726,0.339870897725909,0.451574179826797,0.311676905318427,0.419645875888616,0.204532910474833,-0.380448698200233,0,0,-0.490507061712476,0,0,-0.523955302471746,-0.485934284612368,-0.523955302471746,-0.526339855138269,-0.396183574839929,0.373221938346398,0.41316995668735,-0.490290125616998,0.409710728492462,-0.526339855138269,-0.533895572624115
"OVOL2",-0.33712381900407,-0.411979767714688,-0.412164323570257,-0.341104079127975,-0.299153248150629,-0.329483670673748,-0.277919164271772,-0.320080881412193,-0.298609843881053,0.155580202009596,-0.0240834337367673,0,0.390090346074699,0,-0.0241428552949085,0.39448758335126,0.373173491683926,0.39448758335126,0.3849014303574,0.317551320084662,-0.299175087672918,-0.301351092410961,0.274428796453568,-0.312975475028637,0.3849014303574,0.424036360840837
"NP63",-0.0704083676095001,-0.152726081333127,0.0556464823092262,0.227075169654036,0.186861195621766,-0.0904551941976905,0.189825405203277,0.282505210085331,0.0796290083463658,0.177013720091028,0.0215802590359401,0,0.117400162677086,0,0.12148890048048,0.11590845617774,-0.0659489240147772,0.11590845617774,0.149130696942191,-0.282563256332669,0.282716773521112,-0.0847896172844885,0.231359781704866,0.0915558535427572,0.149130696942191,-0.0813345251576131
"miR9",-0.574499283764508,-0.37629331241255,-0.357528396132105,0.00120577620072241,-0.0663960937823168,-0.425846576272706,-0.0453489733634686,0.0599586752528928,-0.159471942915929,0.261383720131186,0,0,0.318401562901471,0,0,0.548495369248877,0.361731824717013,0.548495369248877,0.348795284194164,-0.0317530052999277,0.0512292853268943,-0.398568183999766,0.32673403966206,-0.182071429038214,0.348795284194164,0.238460663466974
"miR34a",-0.663944952987571,-0.757212107579961,-0.616108803822098,-0.684802825201908,-0.529734246004088,-0.602852991577589,-0.488586489475229,-0.57967994545418,-0.462517290993276,0.487113144486527,0,0,0.616450235062499,0,0,0.709024985598406,0.66017635287694,0.709024985598406,0.706492846616139,0.503657926749516,-0.470116516177912,-0.548659096725149,0.653830996344058,-0.525338330304192,0.706492846616139,0.626185856373217
"miR30c",-0.738139736442511,-0.627612091476146,-0.584730795197208,-0.552971091018425,-0.483858808417902,-0.592441882023897,-0.444449083852782,-0.552920956390773,-0.354830343142515,0.424611499551657,0,0,0.534822001993519,0,0,0.683703307777856,0.636096037186803,0.683703307777856,0.579419109163065,0.458996769596817,-0.426711737094554,-0.541104191572614,0.542396985993634,-0.464014475158264,0.579419109163065,0.594542349183636
"miR205",-0.833802959018796,-0.818109533433146,-0.667332238311599,-0.495025284121548,-0.452087013907539,-0.627733520058284,-0.409172801148592,-0.352665286656219,-0.450145017034554,0.486688231113104,0,0,0.723260004149482,0,0,0.770062240133738,0.690096949220705,0.770062240133738,0.76387915120187,0.352134798299699,-0.315492955881525,-0.570872704314751,0.691019284364979,-0.467839060114886,0.76387915120187,0.674422405218333
"miR200c",-0.733850607314798,-0.735069889024748,-0.556851632993126,-0.327485784837674,-0.408903898074941,-0.653439310997388,-0.372997247380589,-0.186597804284629,-0.41033337420608,0.451413342004254,0,0,0.637614535405476,0,0,0.688670469666692,0.554086981417208,0.688670469666692,0.689373847814234,0.268678582902862,-0.237849362053469,-0.605733420623785,0.632899259956218,-0.450778821040197,0.689373847814234,0.565324304151099
"miR200b",-0.733850607314798,-0.735069889024748,-0.556851632993126,-0.327485784837674,-0.408903898074941,-0.653439310997388,-0.372997247380589,-0.186597804284629,-0.41033337420608,0.451413342004254,0,0,0.637614535405476,0,0,0.688670469666692,0.554086981417208,0.688670469666692,0.689373847814234,0.268678582902862,-0.237849362053469,-0.605733420623785,0.632899259956218,-0.450778821040197,0.689373847814234,0.565324304151099
"miR200a",-0.733850607314798,-0.735069889024748,-0.556851632993126,-0.327485784837674,-0.408903898074941,-0.653439310997388,-0.372997247380589,-0.186597804284629,-0.41033337420608,0.451413342004254,0,0,0.637614535405476,0,0,0.688670469666692,0.554086981417208,0.688670469666692,0.689373847814234,0.268678582902862,-0.237849362053469,-0.605733420623785,0.632899259956218,-0.450778821040197,0.689373847814234,0.565324304151099
"miR141",-0.733850607314798,-0.735069889024748,-0.556851632993126,-0.327485784837674,-0.408903898074941,-0.653439310997388,-0.372997247380589,-0.186597804284629,-0.41033337420608,0.451413342004254,0,0,0.637614535405476,0,0,0.688670469666692,0.554086981417208,0.688670469666692,0.689373847814234,0.268678582902862,-0.237849362053469,-0.605733420623785,0.632899259956218,-0.450778821040197,0.689373847814234,0.565324304151099
"miR101",-0.741164374244871,-0.733335464871412,-0.582393624101064,-0.443183779089228,-0.393499718553073,-0.579942764548053,-0.354922849616002,-0.429482720725134,-0.37017533946637,0.462213977362552,0,0,0.577355164719414,0,0,0.688745693039315,0.631315265387889,0.688745693039315,0.685754633652929,0.415212810774498,-0.483245880928949,-0.52950551765238,0.632174895682231,-0.469140244555473,0.685754633652929,0.591651683117552
"KLF8",0.605273036902152,0.600852298615062,0.668647488017006,0.638595615028627,0.516470149245789,0.629378532560259,0.461194253795644,0.649169544766852,0.391471076297213,-0.378631224905421,0,0,-0.472365114228007,0,0,-0.533512224485237,-0.694395540458144,-0.533512224485237,-0.532107098746723,-0.586258650720995,0.543686753835285,0.554845271730098,-0.500160197150433,0.404953401864039,-0.532107098746723,-0.775853780472143
"GSC",0.762628886712346,0.757015620171061,0.610378875838059,0.46820714230267,0.594257358145448,0.601440376655416,0.553708227043991,0.454340832081206,0.462172058211677,-0.488117121898898,0,0,-0.626350478389835,0,0,-0.708883652887458,-0.653163347427757,-0.708883652887458,-0.70677344822536,-0.477382030188994,0.444534575204194,0.547653039618175,-0.651665118221255,0.600617866963312,-0.70677344822536,-0.619734688333051
"GRHL2",-0.468393104234184,-0.648538917907019,-0.463264797477531,-0.292720475054777,-0.300787981636606,-0.561227087196916,-0.270005855502147,-0.222109669234314,-0.327518488943665,0.403520608804725,0.0255409753580788,0,0.578498195211285,0,0.0256364332958402,0.616396496706815,0.494493595590329,0.616396496706815,0.61037874479411,0.223916343040618,-0.198394973262019,-0.520830073942815,0.487333320161333,-0.343976496469572,0.61037874479411,0.475165208480378
"FOXC2",0.624017689948413,0.803496649904712,0.654786217047832,0.497544159000207,0.445234448969432,0.60685779975824,0.403160316477318,0.362453934061217,0.438422869191687,-0.469378942464936,0,0,-0.710432539523036,0,0,-0.75801533003126,-0.682399605776816,-0.75801533003126,-0.750592982539459,-0.35474210097729,0.318918880670219,0.551305862632068,-0.669966816579606,0.45689479112024,-0.750592982539459,-0.663152473141565
"CLDN7",-0.605273036902152,-0.600852298615062,-0.668647488017006,-0.638595615028627,-0.516470149245789,-0.629378532560259,-0.461194253795644,-0.649169544766852,-0.391471076297213,0.378631224905421,0,0,0.472365114228007,0,0,0.533512224485237,0.694395540458144,0.533512224485237,0.532107098746723,0.586258650720995,-0.543686753835285,-0.554845271730098,0.500160197150433,-0.404953401864039,0.532107098746723,0.775853780472143
"CDH1",-0.667366955986563,-0.662019294171046,-0.725407855519935,-0.685956648156083,-0.565952220958937,-0.694147237677186,-0.516470149245789,-0.683842343082394,-0.430178103857077,0.422427678690458,0,0,0.534076372506152,0,0,0.602698900493135,0.75492033818619,0.602698900493135,0.600852298615062,0.627761675534168,-0.586258650720995,-0.629378532560259,0.561183474103977,-0.455416392484745,0.600852298615062,0.733090441801131
