"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.883302898131563,0.772059422522811,0.840966450303101,0.607965891256338,0.495762340142357,0.79243237077033,0.44057374514666,0.619606730942662,0.466568727478653,-0.477411307362683,0,0,-0.659054535037654,0,0,-0.911497239122721,-0.871336588324457,-0.911497239122721,-0.707405902972756,-0.557292617677515,0.507722679228521,0.72336303725636,-0.652246372193319,0.488661897046737,-0.707405902972756,-0.847237224204019
"ZEB1",0.710889133164818,0.783306682376189,0.746548780113718,0.62308886050018,0.527364148296139,0.688366747306959,0.480522969739949,0.520782844766417,0.496251978295771,-0.517852252240754,0,0,-0.782285375070729,0,0,-0.838085193048766,-0.787550888451645,-0.838085193048766,-0.828007353046213,-0.474488274911995,0.432516123106271,0.629183792561405,-0.738689840967714,0.522146287548134,-0.828007353046213,-0.755892150164569
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.750730396108362,0.744852759123908,0.598997545103837,0.561068411047535,0.614522713347706,0.588021738668707,0.571897006267644,0.555226148108123,0.457211795659745,-0.481611772306992,0,0,-0.606159868103119,0,0,-0.695832186390794,-0.636945541386247,-0.695832186390794,-0.693878547613738,-0.486600939484742,0.448058449065617,0.534238852459562,-0.644045409666422,0.498695420587126,-0.693878547613738,-0.709073702320381
"TWIST1",0.749839787345459,0.743662021613118,0.693842827933618,0.560788611685099,0.492938230386253,0.58449523255901,0.550108163478314,0.546854308116465,0.376050280152008,-0.477659901408496,0,0,-0.599923676643721,0,0,-0.69490669447197,-0.633405939773615,-0.69490669447197,-0.692820982923241,-0.465261535808776,0.426352010339474,0.531073888839072,-0.64088936849781,0.579839283155523,-0.692820982923241,-0.704105598658348
"TGFbeta",0.574062403608081,0.577065029671956,0.52789329518411,0.463244006064415,0.440630426823573,0.539517477866271,0.403396746338923,0.433914300427053,0.38825218916792,-0.388229081409437,0,0,-0.534353960051335,0,0,-0.53176904663847,-0.559610764960603,-0.53176904663847,-0.533565773314966,-0.389455407936914,0.355527937037883,0.59379826482387,-0.49910512662152,0.448155028354421,-0.533565773314966,-0.535746349548635
"TCF3",0.59827613978274,0.594724653873825,0.66287040592443,0.634455222109098,0.509137957748749,0.62363278697789,0.452555189113706,0.652622002323681,0.386724251762424,-0.375168717522696,0,0,-0.46697749197382,0,0,-0.527464439482043,-0.687999045485181,-0.527464439482043,-0.526601185344403,-0.58213424847158,0.53223110437979,0.550295828485956,-0.495200198650759,0.399385670430983,-0.526601185344403,-0.769766822681265
"SNAI2",0.720865347826949,0.714477069022786,0.774656911194339,0.737044994210402,0.609499828726933,0.750573223026988,0.560989219368935,0.639067424175401,0.463779363441632,-0.457341356360721,0,0,-0.583980696251692,0,0,-0.658527781710305,-0.807657475782881,-0.658527781710305,-0.6564258940272,-0.672489535940016,0.629195165297305,0.688352389244805,-0.610519767962409,0.497796231524053,-0.6564258940272,-0.783007223902473
"SNAI1",0.437569780634977,0.457048477989714,0.396305647318694,0.24474320514804,0.228220673021697,0.347100872920767,0.206076169933085,0.148345058122457,0.119218750243682,-0.318117927784217,0,0,-0.398046293683753,0,0,-0.421081326941113,-0.326903743132226,-0.421081326941113,-0.429160773429256,-0.222425695390954,0.203092322540848,0.31671085701569,-0.4027978823504,0.318839918677923,-0.429160773429256,-0.397853074309132
"OVOL2",-0.378611621941924,-0.447065698929705,-0.462269867372876,-0.404668691168497,-0.339235376257495,-0.365960023405662,-0.313224657604161,-0.402702685679207,-0.326393251823959,0.174024089349128,-0.0240834337367673,0,0.418479624471852,0,-0.0241428552949085,0.426846453789706,0.434520622077385,0.426846453789706,0.41478362085729,0.380976903202418,-0.357756566078173,-0.331861285530882,0.300927772427174,-0.339710192745842,0.41478362085729,0.47355335872472
"NP63",-0.0876587346565104,-0.16692429835255,0.0332134138058527,0.183183065338901,0.166557426500316,-0.102576902522558,0.171873257309246,0.223962645216073,0.0664284852621307,0.184283503099568,0.0215802590359401,0,0.12902239331936,0,0.12148890048048,0.128666373000924,-0.0393138980054639,0.128666373000924,0.160671647702314,-0.239410886351314,0.243586005601273,-0.0943233037686423,0.241585540103009,0.0790829275235296,0.160671647702314,-0.0584949981884851
"miR9",-0.620066772711111,-0.414667014017414,-0.417401949289866,-0.125208532295842,-0.121364566043091,-0.459953585495362,-0.0922197143851508,-0.119413383301894,-0.194866339866479,0.279869334397316,0,0,0.347583225103882,0,0,0.580567725814729,0.433056692118124,0.580567725814729,0.378104048457866,0.0839107990304462,-0.0572528846849188,-0.42254900534269,0.352960566084268,-0.212979315629864,0.378104048457866,0.299434759028969
"miR34a",-0.627372982319213,-0.724844247313013,-0.577888707527502,-0.63675424830876,-0.494950572023374,-0.570040595128305,-0.453996496456306,-0.518440202011367,-0.437661114125631,0.468119826550279,0,0,0.587819541305296,0,0,0.676875137109621,0.612572189042599,0.676875137109621,0.676278128847342,0.455441061548041,-0.418298314160211,-0.518889016346077,0.626807672853668,-0.498027791167642,0.676278128847342,0.587399594174573
"miR30c",-0.684732633807412,-0.577622859412655,-0.521938372275107,-0.475460724371659,-0.432636522868892,-0.539865926035548,-0.394821918477589,-0.456242232836667,-0.317284152909141,0.395510737363362,0,0,0.491439071791038,0,0,0.636030220900677,0.562300617908108,0.636030220900677,0.533469980497518,0.379247083155808,-0.344565934468241,-0.493905927278466,0.500447852215124,-0.424200373758992,0.533469980497518,0.531376118118473
"miR205",-0.87179656699921,-0.849188277137415,-0.718325283133333,-0.594711378481281,-0.496827299882672,-0.656019776818304,-0.446223947467203,-0.503382619592943,-0.479169566175876,0.501127887819244,0,0,0.74650942702417,0,0,0.795911993345644,0.753038333183409,0.795911993345644,0.787184078431809,0.451192392182029,-0.40561131702088,-0.590628569073502,0.711695724829843,-0.49235857512137,0.787184078431809,0.725799903059405
"miR200c",-0.83010473874949,-0.816747887751249,-0.681481913205253,-0.540705240584888,-0.520633473779438,-0.735746097198546,-0.47341901587684,-0.541893491072998,-0.476976251593067,0.493558723121856,0,0,0.704071566828375,0,0,0.763632222400831,0.716598443610865,0.763632222400831,0.758599861119758,0.479260082424177,-0.436983147155275,-0.67418351197902,0.694629527139726,-0.514097566089281,0.758599861119758,0.688375298201486
"miR200b",-0.83010473874949,-0.816747887751249,-0.681481913205253,-0.540705240584888,-0.520633473779438,-0.735746097198546,-0.47341901587684,-0.541893491072998,-0.476976251593067,0.493558723121856,0,0,0.704071566828375,0,0,0.763632222400831,0.716598443610865,0.763632222400831,0.758599861119758,0.479260082424177,-0.436983147155275,-0.67418351197902,0.694629527139726,-0.514097566089281,0.758599861119758,0.688375298201486
"miR200a",-0.83010473874949,-0.816747887751249,-0.681481913205253,-0.540705240584888,-0.520633473779438,-0.735746097198546,-0.47341901587684,-0.541893491072998,-0.476976251593067,0.493558723121856,0,0,0.704071566828375,0,0,0.763632222400831,0.716598443610865,0.763632222400831,0.758599861119758,0.479260082424177,-0.436983147155275,-0.67418351197902,0.694629527139726,-0.514097566089281,0.758599861119758,0.688375298201486
"miR141",-0.83010473874949,-0.816747887751249,-0.681481913205253,-0.540705240584888,-0.520633473779438,-0.735746097198546,-0.47341901587684,-0.541893491072998,-0.476976251593067,0.493558723121856,0,0,0.704071566828375,0,0,0.763632222400831,0.716598443610865,0.763632222400831,0.758599861119758,0.479260082424177,-0.436983147155275,-0.67418351197902,0.694629527139726,-0.514097566089281,0.758599861119758,0.688375298201486
"miR101",-0.707411673487099,-0.703356569270322,-0.545561653707784,-0.39918374010163,-0.359696889814642,-0.548477952271341,-0.32039547017539,-0.278206144352387,-0.347542768352566,0.444664353943712,0,0,0.549887872902771,0,0,0.657947502023937,0.582968138825271,0.657947502023937,0.656715061080085,0.33527205542509,-0.399402634684467,-0.499743578712411,0.606281022456091,-0.444506359419607,0.656715061080085,0.554397784484314
"KLF8",0.59827613978274,0.594724653873825,0.66287040592443,0.634455222109098,0.509137957748749,0.62363278697789,0.452555189113706,0.652622002323681,0.386724251762424,-0.375168717522696,0,0,-0.46697749197382,0,0,-0.527464439482043,-0.687999045485181,-0.527464439482043,-0.526601185344403,-0.58213424847158,0.53223110437979,0.550295828485956,-0.495200198650759,0.399385670430983,-0.526601185344403,-0.769766822681265
"GSC",0.735190585263013,0.732640585582164,0.583662840783512,0.431889515317505,0.564176555251759,0.57738382931866,0.522613176769776,0.388075239949769,0.443159702109461,-0.473326053852374,0,0,-0.603834855499426,0,0,-0.683646217120613,-0.622320003602487,-0.683646217120613,-0.682982908357428,-0.438488172198376,0.400935557029618,0.524859243563423,-0.630564968557178,0.578752435423885,-0.682982908357428,-0.592320659984492
"GRHL2",-0.497681671203015,-0.67256168691829,-0.500744274001138,-0.365866938554143,-0.334342562565983,-0.582335417477623,-0.298247990625408,-0.323884837342811,-0.350169257442971,0.415507077889541,0.0255409753580788,0,0.59745401955858,0,0.0256364332958402,0.637416579781322,0.539393772404447,0.637416579781322,0.629451375476636,0.295631811522075,-0.26289357480391,-0.537044752998723,0.504146742607399,-0.364141164080677,0.629451375476636,0.513308741115541
"FOXC2",0.654268429409792,0.828007353046213,0.695269929062548,0.575698593324607,0.480522969739949,0.629183792561405,0.432004492948601,0.481260895849754,0.461559054649381,-0.48064627287528,0,0,-0.728615712011963,0,0,-0.778288523876726,-0.732855600411168,-0.778288523876726,-0.768787502427476,-0.432516123106271,0.38877478835797,0.566758286976359,-0.686071323050744,0.476230216010977,-0.768787502427476,-0.703893629703954
"CLDN7",-0.59827613978274,-0.594724653873825,-0.66287040592443,-0.634455222109098,-0.509137957748749,-0.62363278697789,-0.452555189113706,-0.652622002323681,-0.386724251762424,0.375168717522696,0,0,0.46697749197382,0,0,0.527464439482043,0.687999045485181,0.527464439482043,0.526601185344403,0.58213424847158,-0.53223110437979,-0.550295828485956,0.495200198650759,-0.399385670430983,0.526601185344403,0.769766822681265
"CDH1",-0.661481145237974,-0.6564258940272,-0.721255845975241,-0.687515300716622,-0.560989219368935,-0.688352389244805,-0.509137957748749,-0.697483254562815,-0.42694686645828,0.418569076338139,0,0,0.528312591311568,0,0,0.596196791986129,0.750707049094275,0.596196791986129,0.594724653873825,0.629195165297305,-0.58213424847158,-0.62363278697789,0.555671581308292,-0.4501354165329,0.594724653873825,0.728820821676897
