"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.485079441611571,-0.257635693134997,-0.295536076017628,0.568072348250399,0.303469985041948,-0.462725182429385,-0.19290931779116,-0.585296132484492,0.190422741467969,0,-0.569487976786243,-0.569487976786243
"SNAIL",0.28993164895818,-0.156128127153085,-0.182228552568266,0.283087345091818,0.0959758859590795,-0.224396617277139,-0.141466822100462,-0.294069918321332,0.138570320709229,0,-0.283196162449595,-0.283196162449595
"OVOL2",-0.168915107992328,0.126667402838734,0.00812809960348048,-0.163928597447352,-0.106557967220825,0.140383556954806,-0.0202740751691084,0.173676076547585,0.0246934077596968,0,0.167554442514015,0.167554442514015
"OCT4",-0.00796507071232043,-0.0204336570792324,0.00397347362987794,0.133728483212097,0.120310622619639,0.00958481056152629,0.143650353252496,-0.132654241149552,-0.143329840431984,0,0.00744469604255821,0.00744469604255821
"NRF2",-0.283196162449595,0.052293318893498,0.176412162468023,-0.272205274142633,-0.0912252921348514,0.217205175686965,0.138570320709229,0.283087345091818,-0.137143640315054,0,0.272975326721822,0.272975326721822
"miR34",0.283196162449595,-0.052293318893498,-0.176412162468023,0.272205274142633,0.0912252921348514,-0.217205175686965,-0.138570320709229,-0.283087345091818,0.137143640315054,0,-0.272975326721822,-0.272975326721822
"miR200",-0.569648115814394,0.157723725901665,0.290839624435766,-0.541260945474212,-0.185575145173922,0.447987612910666,0.194870583011818,0.56790175230121,-0.287739349164781,0,0.553338200464202,0.553338200464202
"miR145",-0.496276291899713,0.233069072602028,0.252514320860489,-0.579284740981897,-0.289542338625979,0.403455455811506,0.0618292415194873,0.501442529248923,-0.0557299507393454,0,0.48310136630096,0.48310136630096
"KEAP1",0.272975326721822,-0.0470266072122016,-0.172431154432961,0.25410711463343,-0.0189765627478545,-0.21011554400717,-0.137143640315054,-0.272205274142633,0.132004554977949,0,-0.262665228656622,-0.262665228656622
"Iext",0.283196162449595,-0.052293318893498,-0.176412162468023,0.272205274142633,0.0912252921348514,-0.217205175686965,-0.138570320709229,-0.283087345091818,0.137143640315054,0,-0.272975326721822,-0.272975326721822
"GRHL2",-0.569487976786243,0.249508484654431,0.288978179613383,-0.540748497770743,-0.288119937738258,0.451458491034726,0.190422741467969,0.568072348250399,-0.18292682643529,0,0.553211852657047,0.553211852657047
"Ecad",-0.463400031772979,0.201988731281148,0.237805422630895,-0.448447742116507,-0.339014174289608,0.27973645983452,0.135011852340418,0.467713048238956,-0.12976548282812,0,0.451868483196685,0.451868483196685
