"","miR145","OVOL2","GRHL2","Ecad","miR34","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.711568247410236,0.701162663599377,0.701162663599377,0.701162663599377,0.638121006875942,0.280501217149987,-0.192705955923038,-0.262836944737111,-0.345221992476407,-0.745095412137389,-0.660953452006084
"miR200",0.705568796862414,0.695130715735021,0.695130715735021,0.695130715735021,0.624869651094673,0.282183841003918,-0.176548393550602,-0.365117306252496,-0.239361027262586,-0.738234164010883,-0.656347554603078
"miR145",0.616336199114864,0.601384111873224,0.601384111873224,0.601384111873224,0.552700889440461,0.131687732297468,-0.161409625667211,-0.117573618183353,-0.334659004677808,-0.636660803424356,-0.675840331346269
"Ecad",0.565747262355108,0.55238166498113,0.55238166498113,0.55238166498113,0.402149719666584,0.193435091278176,-0.0348835402113639,-0.181430792514071,-0.378414570678183,-0.582941646098732,-0.53126169248718
"NRF2",0.370165406848758,0.362623528291801,0.362623528291801,0.362623528291801,0.338575070670855,0.206721629229215,-0.129145172363988,-0.19909572994864,-0.120624031782537,-0.387031134337632,-0.344223178513133
"miR34",0.370165406848758,0.362623528291801,0.362623528291801,0.362623528291801,0.338575070670855,0.206721629229215,-0.129145172363988,-0.19909572994864,-0.120624031782537,-0.387031134337632,-0.344223178513133
"OVOL2",0.355650084092443,0.348539271737659,0.348539271737659,0.348539271737659,0.318121008085933,0.059929251279808,-0.114617231180268,-0.0508238992790137,-0.198032903998782,-0.368779883020377,-0.331843437566763
"OCT4",-0.130570915937138,0.00970095835609907,0.00970095835609907,0.00970095835609907,0.0126353580246823,0.14628730488486,-0.0289008966732796,-0.145720473654288,0.120027138111944,-0.0107893937302487,0.132404484343344
"KEAP1",-0.344223178513133,-0.337187348310167,-0.337187348310167,-0.337187348310167,-0.317415650381,-0.19909572994864,0.119967492481463,0.187288231347632,0.00284625400475944,0.362623528291801,0.310434782608696
"SNAIL",-0.39553514518778,-0.387031134337632,-0.387031134337632,-0.387031134337632,-0.359786257973421,-0.215482681014724,0.0331291421895424,0.206721629229215,0.132891542665007,0.407712916980322,0.370165406848758
"ZEB",-0.756834033598553,-0.745095412137389,-0.745095412137389,-0.745095412137389,-0.674416875122114,-0.294359924472297,0.206608245195908,0.280501217149987,0.371536236235585,0.683708630408203,0.711568247410236
