"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.61728586199695,0.362175280957429,-0.35844277990514,0.662050682551898,-0.565112274429422,-0.658270275446138,-0.309561994382999,-0.697779100754543,0.296400398883126,0,-0.685503192174381,-0.685503192174381
"SNAIL",0.386131485459542,0.0903904149550448,-0.230009663389123,0.355213172487955,-0.296590200225831,-0.358303045663427,-0.22678084356934,-0.378268419058218,0.216832387609846,0,-0.369425639179902,-0.369425639179902
"OVOL2",-0.203336090805532,-0.131541761348332,0.023487550749968,-0.188276875152365,0.100409850872348,0.193411272381294,0.0108057711163727,0.201592397000163,-0.00322446706841259,0,0.196514938102026,0.196514938102026
"OCT4",-0.00952040247731433,-0.0300558629124435,0.00471073854477365,0.133068252356632,0.12888432687531,0.0121387657746917,0.145306815804992,-0.131468825285732,-0.144694927693104,0,0.00869580876984495,0.00869580876984495
"NRF2",-0.369425639179902,-0.180171283054497,0.217465063513719,-0.333784601059383,0.278164682750433,0.337996633459768,0.216832387609846,0.355213172487955,-0.209287160370546,0,0.347350275909235,0.347350275909235
"miR34",-0.369425639179902,-0.180171283054497,0.217465063513719,-0.333784601059383,0.278164682750433,0.337996633459768,0.216832387609846,0.355213172487955,-0.209287160370546,0,0.347350275909235,0.347350275909235
"miR200",-0.682460011625039,-0.30375259853519,0.342435702551997,-0.615947634253783,0.631099406950278,0.615162020373944,0.297378826119659,0.659159426340672,-0.378722752605731,0,0.648055525724354,0.648055525724354
"miR145",-0.59183728078432,-0.295829061661799,0.296035402556026,-0.643007056741374,0.39940575621187,0.546858143800349,0.147869107368268,0.579028634624044,-0.13222455167365,0,0.563678180212729,0.563678180212729
"KEAP1",0.347350275909235,0.16713954774052,-0.208809110263172,0.301576012102328,-0.355087759673509,-0.318132890645206,-0.209287160370546,-0.333784601059383,0.195378626660032,0,-0.326385526373056,-0.326385526373056
"Iext",0.369425639179902,0.180171283054497,-0.217465063513719,0.333784601059383,-0.278164682750433,-0.337996633459768,-0.216832387609846,-0.355213172487955,0.209287160370546,0,-0.347350275909235,-0.347350275909235
"GRHL2",-0.685503192174381,-0.340399662582871,0.341889635599739,-0.61769077517512,0.532023343492809,0.626742085535158,0.296400398883126,0.662050682551898,-0.277119353131492,0,0.650849498812645,0.650849498812645
"Ecad",-0.661108537134349,-0.334891874699002,0.334898572974172,-0.597725544510531,0.619190378969351,0.584437444220473,0.315154178929275,0.639929626143184,-0.296829659496723,0,0.628897771833053,0.628897771833053
