"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.610931020838706,0.201235772400052,-0.355048005174133,0.658214244912009,0.323791134931879,-0.625278101041193,-0.345712923737813,-0.693096206988612,0.331341813642522,0,-0.680442012815773,-0.680442012815773
"SNAIL",0.382968677820022,0.0306979806713736,-0.228216844043964,0.353460089710574,0.114703107292175,-0.344847482681182,-0.241797654584207,-0.375757644368912,0.230006350236381,0,-0.366738974849724,-0.366738974849724
"OVOL2",-0.201086700560449,-0.0849517654459457,0.022106106992441,-0.186962505257225,-0.110649303953304,0.184913682810727,0.0213089265299932,0.199542349118119,-0.0117167115160915,0,0.194346613809903,0.194346613809903
"OCT4",0.658214244912009,0.187443529048044,-0.322495755106121,0.678227679365745,0.291994292229009,-0.569224184764907,-0.314507838877426,-0.724739307272722,0.29787928611689,0,-0.615146802255385,-0.615146802255385
"NRF2",-0.366738974849724,-0.128662877839458,0.216208478273907,-0.332412610513315,-0.1072092932236,0.325676919558596,0.230006350236381,0.353460089710574,-0.222301797546155,0,0.345438848214013,0.345438848214013
"miR34",-0.366738974849724,-0.128662877839458,0.216208478273907,-0.332412610513315,-0.1072092932236,0.325676919558596,0.230006350236381,0.353460089710574,-0.222301797546155,0,0.345438848214013,0.345438848214013
"miR200",-0.677510845818669,-0.171067033240155,0.339499516611725,-0.613458770743565,-0.199526323244477,0.587656980899545,0.330365929867064,0.655418046036174,-0.408632274709125,0,0.643979854545453,0.643979854545453
"miR145",-0.693096206988612,-0.190385356077462,0.346043227945044,-0.724739307272722,-0.308709198162439,0.608965302914177,0.338415605867718,0.669647641889884,-0.314507838877426,0,0.658214244912009,0.658214244912009
"KEAP1",0.345438848214013,0.118154636081216,-0.207713694369287,0.300899349982894,-0.00928788191764334,-0.3085868001232,-0.222301797546155,-0.332412610513315,0.205270785853221,0,-0.324875315296105,-0.324875315296105
"Iext",0.366738974849724,0.128662877839458,-0.216208478273907,0.332412610513315,0.1072092932236,-0.325676919558596,-0.230006350236381,-0.353460089710574,0.222301797546155,0,-0.345438848214013,-0.345438848214013
"GRHL2",-0.680442012815773,-0.186601811860705,0.338865194021503,-0.615146802255385,-0.302455974887042,0.597433832836434,0.331341813642522,0.658214244912009,-0.308730777303356,0,0.64666606927848,0.64666606927848
"Ecad",-0.540765633315978,-0.0313559537813373,0.272559241793225,-0.500984467124929,-0.348293463205592,0.376778525396234,0.233445853150387,0.530630733267546,-0.217999744540628,0,0.516816588729991,0.516816588729991
