"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.580191862855333,0.162287255899373,-0.341449878634918,0.638417857382035,0.539483808786802,-0.598574538561533,-0.273440829703957,-0.668179390236351,0.264434181787823,0,-0.65456320346148,-0.65456320346148
"SNAIL",0.367291737461504,0.00352174722370021,-0.221097499369498,0.344006332010744,0.284113849691953,-0.328506862192828,-0.208079060712473,-0.363146116956981,0.200602894129432,0,-0.353626569840899,-0.353626569840899
"OVOL2",-0.198511963930631,-0.100023935272122,0.0214569017718472,-0.185986059910091,-0.0976808865862037,0.185197376573108,0.00559660212879754,0.198215655704283,0.001019133453992,0,0.192914815980542,0.192914815980542
"OCT4",0.00936710473451847,0.02798449373459,-0.00463875725990772,0.146917662934597,-0.115099258983275,-0.0118333900527444,0.130905010444454,-0.14842160182216,-0.131487761027205,0,-0.00859054561195022,-0.00859054561195022
"NRF2",-0.353626569840899,-0.102088961720118,0.210942886468099,-0.325118508424934,-0.268199360380789,0.312479654902331,0.200602894129432,0.344006332010744,-0.195734531134874,0,0.33545893171595,0.33545893171595
"miR34",-0.353626569840899,-0.102088961720118,0.210942886468099,-0.325118508424934,-0.268199360380789,0.312479654902331,0.200602894129432,0.344006332010744,-0.195734531134874,0,0.33545893171595,0.33545893171595
"miR200",-0.612627455706688,-0.064773881519361,0.309743433134583,-0.565998897357021,-0.580832380332566,0.517434964147811,0.238125154574449,0.600335592469512,-0.324791183099385,0,0.587518273628723,0.587518273628723
"miR145",-0.569575603640586,-0.142824665194201,0.285967373454163,-0.63082728796937,-0.385286393455872,0.507702068033675,0.123943103676087,0.562155676371259,-0.111969803717806,0,0.545838062897046,0.545838062897046
"KEAP1",-0.33545893171595,-0.0948641136444937,0.203273054473943,-0.296897649529228,-0.149159534957985,0.297597815430328,0.195734531134874,0.325118508424934,-0.184089080875563,0,0.317144592993448,0.317144592993448
"Iext",0.353626569840899,0.102088961720118,-0.210942886468099,0.325118508424934,0.268199360380789,-0.312479654902331,-0.200602894129432,-0.344006332010744,0.195734531134874,0,-0.33545893171595,-0.33545893171595
"GRHL2",-0.65456320346148,-0.153836136935886,0.327961838083675,-0.600210778321499,-0.512094972457568,0.574798574169842,0.264434181787823,0.638417857382035,-0.249850848454489,0,0.625943248369074,0.625943248369074
"Ecad",-0.522486533957349,-0.0109045820337983,0.264874454128366,-0.490260138913168,-0.509236353204022,0.361156758137872,0.185260145554982,0.516681907620651,-0.175346605724545,0,0.502242470008811,0.502242470008811
