"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.586343282814465,0.194525291757101,-0.34447044203736,0.642069521532683,0.325163478582542,-0.608091641318901,-0.279343807175109,-0.673299345546012,0.269717113234941,0,-0.659895986984172,-0.659895986984172
"SNAIL",0.374045042616669,0.0287778995730762,-0.224362037568807,0.348443585917391,0.116412697199859,-0.338867467632679,-0.214502866367324,-0.368784705680091,0.206223889949863,0,-0.359475336974804,-0.359475336974804
"OVOL2",-0.195617283609868,-0.0838414096657141,0.0194845552896827,-0.183758044103985,-0.112466903447933,0.180755386606578,0.0030900843096404,0.194936187687541,0.00383335990490679,0,0.189580444631852,0.189580444631852
"OCT4",-0.00943574784176621,-0.0287785758782269,0.00467474790234068,0.133068252356632,0.120203955952972,0.0119648824919292,0.145186479005448,-0.131516569377401,-0.144603728422698,0,0.00864317719089759,0.00864317719089759
"NRF2",-0.359475336974804,-0.126881565818335,0.213482499708469,-0.328740805476356,-0.108608150202913,0.321453480972176,0.206223889949863,0.348443585917391,-0.20088486950568,0,0.340141948911427,0.340141948911427
"miR34",-0.359475336974804,-0.126881565818335,0.213482499708469,-0.328740805476356,-0.108608150202913,0.321453480972176,0.206223889949863,0.348443585917391,-0.20088486950568,0,0.340141948911427,0.340141948911427
"miR200",-0.658077101757081,-0.166558886738747,0.331160825656286,-0.602234030443782,-0.202290104625465,0.574375041710647,0.272017431699055,0.640201447045799,-0.356903044793724,0,0.628115382880713,0.628115382880713
"miR145",-0.570960291772204,-0.153035929196871,0.286346476953256,-0.631276524267663,-0.303629242114734,0.51029547008564,0.125654605221099,0.562793719142916,-0.112930366589476,0,0.546542511055118,0.546542511055118
"KEAP1",0.340141948911427,0.117360971625223,-0.20555700664784,0.298986204249362,-0.00715835279763214,-0.305464551868493,-0.20088486950568,-0.328740805476356,0.188485058095967,0,-0.320979478728549,-0.320979478728549
"Iext",0.359475336974804,0.126881565818335,-0.213482499708469,0.328740805476356,0.108608150202913,-0.321453480972176,-0.206223889949863,-0.348443585917391,0.20088486950568,0,-0.340141948911427,-0.340141948911427
"GRHL2",-0.659895986984172,-0.181789720496795,0.330016141387906,-0.60323392775167,-0.305319580758512,0.583240009271423,0.269717113234941,0.642069521532683,-0.254030838725137,0,0.629813656395191,0.629813656395191
"Ecad",-0.526039246900417,-0.0278218887004596,0.266164434714412,-0.492379867409885,-0.351069777676734,0.366613899990718,0.188684240864138,0.519046534076552,-0.17799843544149,0,0.504745140382586,0.504745140382586
