"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.618071386895374,0.204388964687308,-0.358829018202055,0.66233458832169,0.311223399120245,-0.630659418269755,-0.370731338781625,-0.698375408898593,0.353983703905634,0,-0.686139226940933,-0.686139226940933
"SNAIL",0.386423651447551,0.0319579226334171,-0.230082709408115,0.35530904976504,0.10931602292387,-0.347520749919164,-0.255826812839216,-0.378393958923364,0.242302203980939,0,-0.369564493638884,-0.369564493638884
"OVOL2",-0.203587437868746,-0.0856241250911004,0.0235196580076134,-0.188388171757819,-0.107813742787977,0.186962124916704,0.0286352833232546,0.201669219762645,-0.0178389546055508,0,0.196599915587106,0.196599915587106
"OCT4",0.660844541123384,0.180305745904469,-0.325285580572816,0.678776590811393,0.158687988077496,-0.567160855716186,-0.43368772412037,-0.726162601792534,0.414049029481676,0,-0.617012982401103,-0.617012982401103
"NRF2",-0.369564493638884,-0.129871955503202,0.217538109532711,-0.333784601059383,-0.102766990009041,0.327557730702364,0.242302203980939,0.35530904976504,-0.233345004392764,0,0.347456292341782,0.347456292341782
"miR34",-0.369564493638884,-0.129871955503202,0.217538109532711,-0.333784601059383,-0.102766990009041,0.327557730702364,0.242302203980939,0.35530904976504,-0.233345004392764,0,0.347456292341782,0.347456292341782
"miR200",-0.683055603951876,-0.17316359415013,0.342589845133885,-0.616151403993977,-0.188363780309338,0.591825589590794,0.352042115300757,0.659425259696071,-0.427202448410741,0,0.648349182428179,0.648349182428179
"miR145",-0.708647618850643,-0.196064974677679,0.354756139404034,-0.734758207300022,-0.26465479073753,0.622136571944852,0.367380906641648,0.682323952411283,-0.339153956287038,0,0.671673741955183,0.671673741955183
"KEAP1",0.347456292341782,0.118730834638921,-0.208809110263172,0.301576012102328,-0.0133268452337302,-0.310035908262509,-0.233345004392764,-0.333784601059383,0.214061647485645,0,-0.326385526373056,-0.326385526373056
"Iext",0.369564493638884,0.129871955503202,-0.217538109532711,0.333784601059383,0.102766990009041,-0.327557730702364,-0.242302203980939,-0.35530904976504,0.233345004392764,0,-0.347456292341782,-0.347456292341782
"GRHL2",-0.686139226940933,-0.188811815099558,0.342054109283949,-0.617908521500651,-0.290575338571522,0.601764759516046,0.353983703905634,0.66233458832169,-0.328166710441582,0,0.651163120083888,0.651163120083888
"Ecad",-0.54635237319518,-0.033273630172402,0.275534384041724,-0.504047554520892,-0.339989418120584,0.38095833553901,0.252402110352246,0.534877486493681,-0.234614819157753,0,0.521378387763338,0.521378387763338
