"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.762595354832188,0.213592936189261,0,0.770275290750803,0.35721289177367,-0.714215136445809,-0.592107790298868,-0.826201834991203,0.558827409043904,0,-0.814557398916403,-0.814557398916403
"SNAIL",0.417041927881807,0.0323883706630271,0,0.374965114719626,0.115024423560598,-0.357436150293342,-0.31320718607558,-0.402500927192496,0.296652376232179,0,-0.393474976958443,-0.393474976958443
"OVOL2",-0.214355182972782,-0.0860083294155808,0,-0.19553688237366,-0.112969169618539,0.18759652413047,0.0448431573474214,0.207935614321529,-0.0351868562017586,0,0.202849540253266,0.202849540253266
"OCT4",-0.0142009767758648,-0.0298424264971668,0,0.131310567077291,0.120225424945479,0.0151666209284095,0.152253706413369,-0.128891962426128,-0.15113980055638,0,0.0126164390777976,0.0126164390777976
"NRF2",-0.393474976958443,-0.126563952255827,0,-0.346181731930309,-0.102993869773201,0.335722708638985,0.296652376232179,0.374965114719626,-0.278524103980871,0,0.366912220600773,0.366912220600773
"miR34",-0.393474976958443,-0.126563952255827,0,-0.346181731930309,-0.102993869773201,0.335722708638985,0.296652376232179,0.374965114719626,-0.278524103980871,0,0.366912220600773,0.366912220600773
"miR200",-0.798971519376374,-0.181448143626473,0,-0.699853316532584,-0.222625500078122,0.650412635129,0.548338686254012,0.757048397954983,-0.612038197445162,0,0.746728393471887,0.746728393471887
"miR145",-0.674219977614688,-0.163318338904851,0,-0.702885890765733,-0.316382605360295,0.566392612610051,0.364133625526049,0.648762909751281,-0.335358070459001,0,0.632269812635737,0.632269812635737
"KEAP1",0.366912220600773,0.119417574729952,0,0.311377810361681,-0.0115566399580317,-0.312529612630355,-0.278524103980871,-0.346181731930309,0.25867533271433,0,-0.33869724939156,-0.33869724939156
"Iext",0.393474976958443,0.126563952255827,0,0.346181731930309,0.102993869773201,-0.335722708638985,-0.296652376232179,-0.374965114719626,0.278524103980871,0,-0.366912220600773,-0.366912220600773
"GRHL2",-0.814557398916403,-0.198958062865863,0,-0.710655685776406,-0.331338765899544,0.670837436249431,0.558827409043904,0.770275290750803,-0.521185685687895,0,0.760335628824847,0.760335628824847
"Ecad",-0.602548325533456,-0.0346574033550685,0,-0.544620849839391,-0.356469901769559,0.403759583953543,0.331607804538463,0.582536342797137,-0.307229261145528,0,0.567489764462625,0.567489764462625
