"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.610863838001931,0.327130156909022,-0.355339793740481,0.65833285895699,0.329868049494838,-0.648218754189767,-0.303303577089433,-0.69253050552577,0.290902656608738,0,-0.680027939014548,-0.680027939014548
"SNAIL",0.379271621177101,0.0634256467377609,-0.22669981737988,0.350775918581307,0.11686113607757,-0.347719289051493,-0.220202882195973,-0.372570505158986,0.211093727427009,0,-0.363511195993127,-0.363511195993127
"OVOL2",-0.206230771126295,-0.14772428695474,0.0254598972321324,-0.190504890958472,-0.114407068680636,0.197853262347824,0.0133122889355298,0.204871865016905,-0.00603869351932739,0,0.199849309450716,0.199849309450716
"OCT4",0.00945175937006659,0.0292617807688066,-0.00467474790234068,0.146917662934597,0.123779629905614,-0.012007273335507,0.130784673644911,-0.148469345913828,-0.131396561756799,0,-0.00864317719089759,-0.00864317719089759
"NRF2",0.363511195993127,0.154512878090479,-0.21492545027335,0.330162304007961,0.108717260950322,-0.328852485908127,-0.211093727427009,-0.350775918581307,0.20413682199974,0,-0.342667258713758,-0.342667258713758
"miR34",-0.363511195993127,-0.154512878090479,0.21492545027335,-0.330162304007961,-0.108717260950322,0.328852485908127,0.211093727427009,0.350775918581307,-0.20413682199974,0,0.342667258713758,0.342667258713758
"miR200",-0.636190883356846,-0.194515676995567,0.320769019969814,-0.579508731426828,-0.194660440339721,0.556628723401051,0.26242330457498,0.618903611178574,-0.345968820033963,0,0.607027137198438,0.607027137198438
"miR145",-0.590354903369955,-0.284091215162795,0.295614805280999,-0.642557820443081,-0.306542142490433,0.544056914300046,0.146014731729224,0.578336647145711,-0.131154489760096,0,0.562913833881552,0.562913833881552
"KEAP1",-0.342667258713758,-0.14377688889399,0.206525158089274,-0.299487457382194,-0.192841647202368,0.310266154207041,0.20413682199974,0.330162304007961,-0.190982649439627,0,0.322550640637956,0.322550640637956
"Iext",0.363511195993127,0.154512878090479,-0.21492545027335,0.330162304007961,0.108717260950322,-0.328852485908127,-0.211093727427009,-0.350775918581307,0.20413682199974,0,-0.342667258713758,-0.342667258713758
"GRHL2",-0.680027939014548,-0.310286811797125,0.339784590192247,-0.614667625744949,-0.308250263307515,0.617988783863358,0.290902656608738,0.65833285895699,-0.27280625137998,0,0.646905709755524,0.646905709755524
"Ecad",-0.655778320981121,-0.306235567010963,0.332761209668255,-0.594872140116444,-0.386102775402976,0.575820354230319,0.309698442596544,0.636232684334131,-0.292481956404989,0,0.624977072281849,0.624977072281849
