"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.613918815519302,0.195534526287778,-0.34905225203024,0.660720612785066,0.330247437484447,-0.619235115154171,-0.27867677223073,-0.694026243368901,0.270824834980349,0,-0.68082288852175,-0.68082288852175
"SNAIL",0.327884687291592,-0.00366997510192861,-0.180244659014553,0.295965596738791,0.0516284977719663,-0.20136968145355,-0.117733136504448,-0.30774129767337,0.124121720478103,0,-0.301820222508464,-0.301820222508464
"OVOL2",-0.197398940842507,-0.0805913817960302,0.0217664408974011,-0.182658276287299,-0.109878553355294,0.183752287687377,0.00446448889926246,0.19912899142051,0.00677986957913857,0,0.193721579476295,0.193721579476295
"OCT4",-0.00227180745857209,-0.0276595861973384,0.000851620984668911,0.138528401051142,0.122843040732523,0.00577059367723424,0.141985752131151,-0.138468484933707,-0.142391753896376,0,0.00171129261530865,0.00171129261530865
"NRF2",-0.301820222508464,-0.0639770837216008,0.181311475409836,-0.256168527967652,-0.0221705244805288,0.199385046370324,0.124121720478103,0.295965596738791,-0.0971270396270396,0,0.289960047726941,0.289960047726941
"miR34",-0.301820222508464,-0.0639770837216008,0.181311475409836,-0.256168527967652,-0.0221705244805288,0.199385046370324,0.124121720478103,0.295965596738791,-0.0971270396270396,0,0.289960047726941,0.289960047726941
"miR200",-0.680011128923044,-0.16036317976933,0.335861349381405,-0.613366785963291,-0.200089410854961,0.583747710681298,0.27121750330257,0.660241785963291,-0.350773333037301,0,0.648173311567986,0.648173311567986
"miR145",-0.585116302661181,-0.149796088092196,0.289572319612298,-0.637749355861282,-0.302977490787568,0.5169345168072,0.125465371090241,0.575127178577831,-0.109568976981557,0,0.558974027512325,0.558974027512325
"KEAP1",0.289960047726941,0.0949063486314482,-0.15344262295082,0.245139116202946,-0.0668805704099822,-0.157622594263044,-0.0971270396270396,-0.256168527967652,0.112960372960373,0,-0.252255129694154,-0.252255129694154
"Iext",0.301820222508464,0.0639770837216008,-0.181311475409836,0.256168527967652,0.0221705244805288,-0.199385046370324,-0.124121720478103,-0.295965596738791,0.0971270396270396,0,-0.289960047726941,-0.289960047726941
"GRHL2",-0.68082288852175,-0.178124968449458,0.33560543022796,-0.614053946118399,-0.305225307062494,0.594242673961693,0.270824834980349,0.660720612785066,-0.250875212814103,0,0.648596461770649,0.648596461770649
"Ecad",-0.641327207597063,-0.0410428920380191,0.3196800719824,-0.582057538025841,-0.389855131089389,0.448558348051107,0.222790185058731,0.625611683206325,-0.203075220688185,0,0.613136260136722,0.613136260136722
