"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR200",0.422863789015842,0.403687648832167,0.403687648832167,0.387190906895095,0.208858268658171,0.179004352756409,-0.116724730926737,-0.275989133076118,-0.100941955124334,-0.409041614433073,-0.414345557828876
"GRHL2",0.417036404614442,0.397353426964539,0.397353426964539,0.38356367186899,0.204275793220076,0.171778018911635,-0.127863654468531,-0.168714293421439,-0.200721579099442,-0.402425682131791,-0.408634155193337
"miR145",0.38149925136072,0.357749911571402,0.357749911571402,0.346893037704095,0.183933317931962,0.0465564674867606,-0.109313971225798,-0.0441284324429559,-0.218496309418352,-0.361769940859512,-0.474742676849594
"NRF2",0.252644101992302,0.241290734456938,0.241290734456938,0.241209011810643,0.159044494112649,0.164913004000826,-0.104457735614652,-0.163986397146877,-0.0646019275176544,-0.245600725426481,-0.247227035836981
"miR34",0.252644101992302,0.241290734456938,0.241290734456938,0.241209011810643,0.159044494112649,0.164913004000826,-0.104457735614652,-0.163986397146877,-0.0646019275176544,-0.245600725426481,-0.247227035836981
"OVOL2",0.127391201671067,0.120638522032663,0.120638522032663,0.119562621794092,-0.0174837824901268,-0.0267536716965522,-0.0688743291812644,0.0287219458755537,-0.0823593150369659,-0.121470369923335,-0.12541757416094
"OCT4",-0.13299130955421,0.00707117054176466,0.00707117054176466,0.0106549110642417,0.00375167130986418,0.144436987410084,-0.0285607109544796,-0.144203887176983,0.120657844841861,-0.00739940687192237,0.13387457525008
"KEAP1",-0.247227035836981,-0.236387474451637,-0.236387474451637,-0.236844523839598,-0.157510527713818,-0.163986397146877,0.101824379774004,0.160356034110573,-0.0406899437316636,0.241290734456938,0.236337465284834
"SNAIL",-0.257590338551442,-0.245600725426481,-0.245600725426481,-0.245191049715946,-0.161542087135247,-0.166632659157511,0.00477379124044252,0.164913004000826,0.0664342994212852,0.24809459296532,0.252644101992302
"ZEB",-0.422732541238414,-0.402425682131791,-0.402425682131791,-0.387486149613797,-0.206596401488728,-0.172858305283407,0.131146928909049,0.171778018911635,0.204884303791968,0.305894209120099,0.417036404614442
"Ecad",-0.420863005158631,-0.403026032186854,-0.403026032186854,-0.373583131191836,-0.210472921698309,-0.204546487748227,0.166029948403264,0.201381877658409,0.0921964679545144,0.408068128488055,0.412019467743665
