"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.478244724917654,-0.290935510621527,-0.292296941275883,0.563829545865301,0.302412991857914,0.548242832068177,-0.186432327460198,-0.579709999890085,0.184636111658613,0,-0.563660538838033,-0.563660538838033
"SNAIL",0.329016595625413,-0.142731411011412,-0.203930506356909,0.318239541540723,0.108152131014623,0.158318382929552,-0.17283650695712,-0.332677806279321,0.169264915477852,0,-0.321959154905871,-0.321959154905871
"OVOL2",-0.166825185302413,0.136788869522327,0.00725646840472267,-0.162616301960226,-0.106234024745171,-0.168645027618983,-0.0222685683061348,0.172122464159657,0.0264332454773375,0,0.165916094393322,0.165916094393322
"OCT4",-0.00891130104606138,-0.0243985153963226,0.00452492686719286,0.133214344394616,0.120203955952972,-0.00266415689181823,0.144495262468359,-0.131758149598722,-0.144203887176983,0,0.00837491484799878,0.00837491484799878
"NRF2",-0.321959154905871,0.0395919251285635,0.195576878900376,-0.306926022844654,-0.103401537190395,-0.145117564069353,0.169264915477852,0.318239541540723,-0.168191228170895,0,0.308602287653592,0.308602287653592
"miR34",-0.321959154905871,0.0395919251285635,0.195576878900376,-0.306926022844654,-0.103401537190395,-0.145117564069353,0.169264915477852,0.318239541540723,-0.168191228170895,0,0.308602287653592,0.308602287653592
"miR200",-0.566466945234059,0.179383431209639,0.289494045191656,-0.540016724861226,-0.18543213480567,-0.509563625410204,0.191197766308362,0.565757609267743,-0.284832302538858,0,0.551030486507581,0.551030486507581
"miR145",-0.491318338958658,0.258909153276884,0.250450347608058,-0.576508528749331,-0.288967268490905,-0.472442785690091,0.0569660565852269,0.497857146416222,-0.0516177044784267,0,0.47930548998138,0.47930548998138
"KEAP1",0.308602287653592,-0.0270328434270105,-0.192801130178682,0.28238614554404,-0.010400972356795,0.13623955683069,-0.168191228170895,-0.306926022844654,0.162297781683389,0,-0.297868123858204,-0.297868123858204
"Iext",0.321959154905871,-0.0395919251285635,-0.195576878900376,0.306926022844654,0.103401537190395,0.145117564069353,-0.169264915477852,-0.318239541540723,0.168191228170895,0,-0.308602287653592,-0.308602287653592
"GRHL2",-0.563660538838033,0.280702884001975,0.286523141180841,-0.537498087049555,-0.287417722226882,-0.534166422572628,0.184636111658613,0.563829545865301,-0.177998039763188,0,0.548720127760827,0.548720127760827
"Ecad",-0.452450409001416,0.247018626302792,0.232338911677461,-0.441002309560489,-0.336917416653607,-0.420505882821715,0.124345031425002,0.458308432009469,-0.119938081034672,0,0.442091880952982,0.442091880952982
