"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.580126383361553,0.192913982141823,-0.341063522348131,0.625707333295701,0.321622417639891,-0.603344735958481,-0.280456576503196,-0.654808369409973,0.270865255949416,0,-0.654808369409973,-0.654808369409973
"SNAIL",0.370913766011481,0.0281264911095024,-0.222634674101695,0.338214706466115,0.114888900660625,-0.3364595858333,-0.214694798290622,-0.356862212805929,0.206502853937565,0,-0.356862212805929,-0.356862212805929
"OVOL2",-0.193351540617085,-0.0834608528897782,0.0181927071524655,-0.177757752542236,-0.111395108055711,0.178946895164143,0.00315336724222726,0.187507604817202,0.00365062092474984,0,0.187507604817202,0.187507604817202
"OCT4",-0.624128431093501,-0.161924361636168,0.309873857630977,-0.549069188144985,-0.182971038138066,0.538357070598173,0.35807913170281,0.588976915941986,-0.346178939764231,0,0.588976915941986,0.588976915941986
"NRF2",-0.356862212805929,-0.126262737896135,0.212212433785305,-0.319505378917308,-0.107399302879765,0.319687884267942,0.206502853937565,0.338214706466115,-0.201141408154432,0,0.338214706466115,0.338214706466115
"miR34",-0.356862212805929,-0.126262737896135,0.212212433785305,-0.319505378917308,-0.107399302879765,0.319687884267942,0.206502853937565,0.338214706466115,-0.201141408154432,0,0.338214706466115,0.338214706466115
"miR200",-0.653126358612686,-0.165493354589112,0.328321413514053,-0.588976915941986,-0.199741680339901,0.570660802901905,0.273082108483918,0.624128431093501,-0.35807913170281,0,0.624128431093501,0.624128431093501
"miR145",-0.550575748764187,-0.147975019736404,0.275270719294537,-0.600249615364718,-0.290412497624679,0.492909139474375,0.130996443573462,0.527967100291505,-0.119156105826389,0,0.527967100291505,0.527967100291505
"KEAP1",0.338214706466115,0.117072440663473,-0.204494312979936,0.291996728398277,-0.0078530543027089,-0.304099521263165,-0.201141408154432,-0.319505378917308,0.188737562000586,0,-0.319505378917308,-0.319505378917308
"Iext",0.356862212805929,0.126262737896135,-0.212212433785305,0.319505378917308,0.107399302879765,-0.319687884267942,-0.206502853937565,-0.338214706466115,0.201141408154432,0,-0.338214706466115,-0.338214706466115
"GRHL2",-0.654808369409973,-0.180663054041209,0.327086796331436,-0.589797203821215,-0.302659853411851,0.5793745364872,0.270865255949416,0.625707333295701,-0.255288964994056,0,0.625707333295701,0.625707333295701
"Ecad",-0.520971527765084,-0.0268160655648624,0.263411092529172,-0.476050802292235,-0.348597093099947,0.362857016547513,0.18911943110098,0.500520215525693,-0.17859905928272,0,0.500520215525693,0.500520215525693
