"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.586060393521986,-0.186242461319934,-0.337738977745186,0.642391077362019,0.335785593190187,-0.620377955447364,-0.257345726400798,-0.672809250497977,0.249801643506779,0,-0.658539109162949,-0.658539109162949
"SNAIL",0.374524998540796,-0.136485057241152,-0.220351743111728,0.348708940015013,0.125542920634071,-0.347551281882503,-0.196774526280132,-0.369839860998239,0.189162607059683,0,-0.359723031552651,-0.359723031552651
"OVOL2",-0.188972570095345,0.0875955918911451,0.0164829860429074,-0.177698367258193,-0.111440841156058,0.1760059217983,-0.00430353376767031,0.190410678683449,0.0114211725192591,0,0.184722198426073,0.184722198426073
"OCT4",-0.00977110748099461,-0.0862444466103003,0.0047140881579322,0.132826777489525,0.120195844045103,0.012933466313109,0.145694896194716,-0.131266985461795,-0.145103857109874,0,0.00895809935091331,0.00895809935091331
"NRF2",-0.359723031552651,0.0253850074651439,0.209260151640036,-0.328538112156932,-0.116961984099723,0.329031141777425,0.189162607059683,0.348708940015013,-0.184820501796525,0,0.339671193663867,0.339671193663867
"miR34",0,0,0,0,0,0,0,0,0,0,0,0
"miR200",-0.656793457892576,0.0650955146170483,0.326144904254147,-0.600780766237005,-0.210061257636471,0.584295561095306,0.252993256555426,0.640496664271642,-0.338928098894821,0,0.627567729564348,0.627567729564348
"miR145",-0.565291530119148,0.188230657825573,0.280262137544433,-0.626565561901867,-0.308741144898015,0.512463757036579,0.106283403754104,0.558968353526991,-0.094541786618296,0,0.541923367857317,0.541923367857317
"KEAP1",0.339671193663867,-0.0238417975886007,-0.201503026485141,0.298164751914752,-0.000157780779042604,-0.312052577639963,-0.184820501796525,-0.328538112156932,0.173183154029272,0,-0.320140229940892,-0.320140229940892
"Iext",0.359723031552651,-0.0253850074651439,-0.209260151640036,0.328538112156932,0.116961984099723,-0.329031141777425,-0.189162607059683,-0.348708940015013,0.184820501796525,0,-0.339671193663867,-0.339671193663867
"GRHL2",-0.658539109162949,0.182050461319934,0.324912410994686,-0.601760894940792,-0.313472296286726,0.594823811722953,0.249801643506779,0.642391077362019,-0.235113402468977,0,0.62928120162037,0.62928120162037
"Ecad",-0.526322280944029,0.139479578936888,0.263258660167813,-0.49183970673971,-0.357218283599289,0.376952149192223,0.175903521789235,0.520369371400071,-0.16571501710553,0,0.505448280566219,0.505448280566219
