"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.0920058814870294,-0.0920058814870294,1,-0.0920058814870294,1,-1,-1,1,1,0.0920058814870294,0.0920058814870294,1,-0.0920058814870294,-0.0920058814870294,-1,-1
"CD44s",-1,1,-0.0920058814870294,0.0920058814870294,-1,0.0920058814870294,-1,1,1,-1,-1,-0.0920058814870294,-0.0920058814870294,-1,0.0920058814870294,0.0920058814870294,1,1
"CDH1",0.0920058814870294,-0.0920058814870294,1,-1,0.0920058814870294,-1,0.0920058814870294,-0.0920058814870294,-0.0920058814870294,0.0920058814870294,0.0920058814870294,1,1,0.0920058814870294,-1,-1,-0.0920058814870294,-0.0920058814870294
"EMT",-0.0920058814870294,0.0920058814870294,-1,1,-0.0920058814870294,1,-0.0920058814870294,0.0920058814870294,0.0920058814870294,-0.0920058814870294,-0.0920058814870294,-1,-1,-0.0920058814870294,1,1,0.0920058814870294,0.0920058814870294
"ESRP1",1,-1,0.0920058814870294,-0.0920058814870294,1,-0.0920058814870294,1,-1,-1,1,1,0.0920058814870294,0.0920058814870294,1,-0.0920058814870294,-0.0920058814870294,-1,-1
"EXTGFB",-0.0920058814870294,0.0920058814870294,-1,1,-0.0920058814870294,1,-0.0920058814870294,0.0920058814870294,0.0920058814870294,-0.0920058814870294,-0.0920058814870294,-1,-1,-0.0920058814870294,1,1,0.0920058814870294,0.0920058814870294
"GRHL2",1,-1,0.0920058814870294,-0.0920058814870294,1,-0.0920058814870294,1,-1,-1,1,1,0.0920058814870294,0.0920058814870294,1,-0.0920058814870294,-0.0920058814870294,-1,-1
"HA",-1,1,-0.0920058814870294,0.0920058814870294,-1,0.0920058814870294,-1,1,1,-1,-1,-0.0920058814870294,-0.0920058814870294,-1,0.0920058814870294,0.0920058814870294,1,1
"HAS2",-1,1,-0.0920058814870294,0.0920058814870294,-1,0.0920058814870294,-1,1,1,-1,-1,-0.0920058814870294,-0.0920058814870294,-1,0.0920058814870294,0.0920058814870294,1,1
"MIR1199",1,-1,0.0920058814870294,-0.0920058814870294,1,-0.0920058814870294,1,-1,-1,1,1,0.0920058814870294,0.0920058814870294,1,-0.0920058814870294,-0.0920058814870294,-1,-1
"MIR190",1,-1,0.0920058814870294,-0.0920058814870294,1,-0.0920058814870294,1,-1,-1,1,1,0.0920058814870294,0.0920058814870294,1,-0.0920058814870294,-0.0920058814870294,-1,-1
"MIR200",0.0920058814870294,-0.0920058814870294,1,-1,0.0920058814870294,-1,0.0920058814870294,-0.0920058814870294,-0.0920058814870294,0.0920058814870294,0.0920058814870294,1,1,0.0920058814870294,-1,-1,-0.0920058814870294,-0.0920058814870294
"MIR34",0.0920058814870294,-0.0920058814870294,1,-1,0.0920058814870294,-1,0.0920058814870294,-0.0920058814870294,-0.0920058814870294,0.0920058814870294,0.0920058814870294,1,1,0.0920058814870294,-1,-1,-0.0920058814870294,-0.0920058814870294
"MIR340",1,-1,0.0920058814870294,-0.0920058814870294,1,-0.0920058814870294,1,-1,-1,1,1,0.0920058814870294,0.0920058814870294,1,-0.0920058814870294,-0.0920058814870294,-1,-1
"SNAIL1",-0.0920058814870294,0.0920058814870294,-1,1,-0.0920058814870294,1,-0.0920058814870294,0.0920058814870294,0.0920058814870294,-0.0920058814870294,-0.0920058814870294,-1,-1,-0.0920058814870294,1,1,0.0920058814870294,0.0920058814870294
"TGFB",-0.0920058814870294,0.0920058814870294,-1,1,-0.0920058814870294,1,-0.0920058814870294,0.0920058814870294,0.0920058814870294,-0.0920058814870294,-0.0920058814870294,-1,-1,-0.0920058814870294,1,1,0.0920058814870294,0.0920058814870294
"VIM",-1,1,-0.0920058814870294,0.0920058814870294,-1,0.0920058814870294,-1,1,1,-1,-1,-0.0920058814870294,-0.0920058814870294,-1,0.0920058814870294,0.0920058814870294,1,1
"ZEB1",-1,1,-0.0920058814870294,0.0920058814870294,-1,0.0920058814870294,-1,1,1,-1,-1,-0.0920058814870294,-0.0920058814870294,-1,0.0920058814870294,0.0920058814870294,1,1
