"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.223122432268345,-1,1,-0.223122432268345,1,-1,-1,1,0.223122432268345,1,0.223122432268345,0.223122432268345,1,-0.223122432268345,-0.223122432268345,-0.223122432268345,-1,-1
"CD44s",-1,1,-0.223122432268345,1,-1,0.223122432268345,-1,1,1,-1,-0.223122432268345,-1,-0.223122432268345,-0.223122432268345,-1,0.223122432268345,0.223122432268345,0.223122432268345,1,1
"CDH1",0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,-0.223122432268345,0.223122432268345,1,0.223122432268345,1,1,0.223122432268345,-1,-1,-1,-0.223122432268345,-0.223122432268345
"EMT",-1,1,-0.223122432268345,1,-1,0.223122432268345,-1,1,1,-1,-0.223122432268345,-1,-0.223122432268345,-0.223122432268345,-1,0.223122432268345,0.223122432268345,0.223122432268345,1,1
"ESRP1",1,-1,0.223122432268345,-1,1,-0.223122432268345,1,-1,-1,1,0.223122432268345,1,0.223122432268345,0.223122432268345,1,-0.223122432268345,-0.223122432268345,-0.223122432268345,-1,-1
"EXTGFB",-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,0.223122432268345,-0.223122432268345,-1,-0.223122432268345,-1,-1,-0.223122432268345,1,1,1,0.223122432268345,0.223122432268345
"GRHL2",1,-1,0.223122432268345,-1,1,-0.223122432268345,1,-1,-1,1,0.223122432268345,1,0.223122432268345,0.223122432268345,1,-0.223122432268345,-0.223122432268345,-0.223122432268345,-1,-1
"HA",-1,1,-0.223122432268345,1,-1,0.223122432268345,-1,1,1,-1,-0.223122432268345,-1,-0.223122432268345,-0.223122432268345,-1,0.223122432268345,0.223122432268345,0.223122432268345,1,1
"HAS2",-1,1,-0.223122432268345,1,-1,0.223122432268345,-1,1,1,-1,-0.223122432268345,-1,-0.223122432268345,-0.223122432268345,-1,0.223122432268345,0.223122432268345,0.223122432268345,1,1
"MIR1199",1,-1,0.223122432268345,-1,1,-0.223122432268345,1,-1,-1,1,0.223122432268345,1,0.223122432268345,0.223122432268345,1,-0.223122432268345,-0.223122432268345,-0.223122432268345,-1,-1
"MIR129",0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,-0.223122432268345,0.223122432268345,1,0.223122432268345,1,1,0.223122432268345,-1,-1,-1,-0.223122432268345,-0.223122432268345
"MIR190",1,-1,0.223122432268345,-1,1,-0.223122432268345,1,-1,-1,1,0.223122432268345,1,0.223122432268345,0.223122432268345,1,-0.223122432268345,-0.223122432268345,-0.223122432268345,-1,-1
"MIR200",0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,-0.223122432268345,0.223122432268345,1,0.223122432268345,1,1,0.223122432268345,-1,-1,-1,-0.223122432268345,-0.223122432268345
"MIR34",0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,-0.223122432268345,0.223122432268345,1,0.223122432268345,1,1,0.223122432268345,-1,-1,-1,-0.223122432268345,-0.223122432268345
"MIR340",1,-1,0.223122432268345,-1,1,-0.223122432268345,1,-1,-1,1,0.223122432268345,1,0.223122432268345,0.223122432268345,1,-0.223122432268345,-0.223122432268345,-0.223122432268345,-1,-1
"SNAIL1",-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,0.223122432268345,-0.223122432268345,-1,-0.223122432268345,-1,-1,-0.223122432268345,1,1,1,0.223122432268345,0.223122432268345
"TGFB",-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,0.223122432268345,-0.223122432268345,-1,-0.223122432268345,-1,-1,-0.223122432268345,1,1,1,0.223122432268345,0.223122432268345
"TWIST1",-0.223122432268345,0.223122432268345,-1,0.223122432268345,-0.223122432268345,1,-0.223122432268345,0.223122432268345,0.223122432268345,-0.223122432268345,-1,-0.223122432268345,-1,-1,-0.223122432268345,1,1,1,0.223122432268345,0.223122432268345
"VIM",-1,1,-0.223122432268345,1,-1,0.223122432268345,-1,1,1,-1,-0.223122432268345,-1,-0.223122432268345,-0.223122432268345,-1,0.223122432268345,0.223122432268345,0.223122432268345,1,1
"ZEB1",-1,1,-0.223122432268345,1,-1,0.223122432268345,-1,1,1,-1,-0.223122432268345,-1,-0.223122432268345,-0.223122432268345,-1,0.223122432268345,0.223122432268345,0.223122432268345,1,1
