"EdgeList","Nature","Cycles","Edge_count"
"SNAI1,miR-34a;ZEB1,miR-34a;SNAI1,ZEB1","P","SNAI1,miR-34a,ZEB1",3
"miR-34a,SNAI1;ZEB1,miR-34a;SNAI1,ZEB1","P","SNAI1,miR-34a,ZEB1",3
"miR-34a,TWIST2;ZEB1,miR-34a;TWIST2,ZEB1","P","TWIST2,miR-34a,ZEB1",3
"SNAI1,SNAI2;miR-34a,SNAI2;miR-34a,SNAI1","P","SNAI1,SNAI2,miR-34a",3
"SNAI1,SNAI2;miR-34a,SNAI2;SNAI1,miR-34a","P","SNAI1,SNAI2,miR-34a",3
"TGF-beta,SNAI2;miR-34a,SNAI2;ZEB1,miR-34a;GSC,ZEB1;TGF-beta,GSC","P","TGF-beta,SNAI2,miR-34a,ZEB1,GSC",5
"miR-30c,SNAI2;miR-34a,SNAI2;ZEB1,miR-34a;GSC,ZEB1;GSC,ZEB2;miR-30c,ZEB2","P","miR-30c,SNAI2,miR-34a,ZEB1,GSC,ZEB2",6
"SNAI2,CDH1;miR-34a,SNAI2;ZEB1,miR-34a;ZEB1,CDH1","P","CDH1,SNAI2,miR-34a,ZEB1",4
"SNAI2,VIM;miR-34a,SNAI2;ZEB1,miR-34a;ZEB1,VIM","P","VIM,SNAI2,miR-34a,ZEB1",4
"SNAI2,SNAI2","P","SNAI2",1
"TWIST2,SNAI2;miR-34a,SNAI2;miR-34a,TWIST2","P","TWIST2,SNAI2,miR-34a",3
"SNAI2,TWIST2;miR-34a,SNAI2;miR-34a,TWIST2","P","TWIST2,SNAI2,miR-34a",3
"SNAI2,miR-101;miR-34a,SNAI2;ZEB1,miR-34a;miR-101,ZEB1","P","miR-101,SNAI2,miR-34a,ZEB1",4
"SNAI2,miR-200b;miR-34a,SNAI2;ZEB1,miR-34a;ZEB1,miR-200b","P","miR-200b,SNAI2,miR-34a,ZEB1",4
"SNAI2,miR-200b;miR-34a,SNAI2;ZEB1,miR-34a;miR-200b,ZEB1","P","miR-200b,SNAI2,miR-34a,ZEB1",4
"TWIST1,SNAI2;miR-34a,SNAI2;ZEB1,miR-34a;TWIST1,ZEB1","P","TWIST1,SNAI2,miR-34a,ZEB1",4
"SNAI1,FOXC2;GSC,FOXC2;GSC,SNAI1","P","SNAI1,FOXC2,GSC",3
"TWIST1,FOXC2;GSC,FOXC2;GSC,TWIST1","P","TWIST1,FOXC2,GSC",3
"miR-141,TGF-beta;TGF-beta,GSC;GSC,ZEB2;miR-141,ZEB2","P","miR-141,TGF-beta,GSC,ZEB2",4
"TGF-beta,SNAI1;TGF-beta,GSC;GSC,SNAI1","P","SNAI1,TGF-beta,GSC",3
"miR-200a,TGF-beta;TGF-beta,GSC;GSC,ZEB2;ZEB2,miR-200a","P","miR-200a,TGF-beta,GSC,ZEB2",4
"miR-200a,TGF-beta;TGF-beta,GSC;GSC,ZEB2;miR-200a,ZEB2","P","miR-200a,TGF-beta,GSC,ZEB2",4
"miR-200b,TGF-beta;TGF-beta,GSC;GSC,ZEB2;ZEB2,miR-200b","P","miR-200b,TGF-beta,GSC,ZEB2",4
"miR-200b,TGF-beta;TGF-beta,GSC;GSC,ZEB2;miR-200b,ZEB2","P","miR-200b,TGF-beta,GSC,ZEB2",4
"miR-200c,TGF-beta;TGF-beta,GSC;GSC,ZEB2;ZEB2,miR-200c","P","miR-200c,TGF-beta,GSC,ZEB2",4
"miR-200c,TGF-beta;TGF-beta,GSC;GSC,ZEB2;miR-200c,ZEB2","P","miR-200c,TGF-beta,GSC,ZEB2",4
"SNAI1,TWIST1;TWIST1,ZEB2;SNAI1,ZEB2","P","SNAI1,TWIST1,ZEB2",3
"TWIST1,SNAI1;TWIST1,ZEB2;SNAI1,ZEB2","P","SNAI1,TWIST1,ZEB2",3
"TWIST2,TWIST1;TWIST1,ZEB2;TWIST2,ZEB2","P","TWIST2,TWIST1,ZEB2",3
"TWIST1,CDH1;TWIST1,ZEB2;ZEB2,CDH1","P","CDH1,TWIST1,ZEB2",3
"TWIST1,VIM;TWIST1,ZEB2;ZEB2,VIM","P","VIM,TWIST1,ZEB2",3
"TCF3,CDH1;TWIST1,TCF3;TWIST1,CDH1","P","CDH1,TCF3,TWIST1",3
"miR-9,CDH1;miR-9,ZEB2;ZEB2,CDH1","N","CDH1,miR-9,ZEB2",3
"TWIST2,CDH1;TWIST2,ZEB2;ZEB2,CDH1","P","CDH1,TWIST2,ZEB2",3
"TWIST2,SNAI1;TWIST2,ZEB2;SNAI1,ZEB2","P","SNAI1,TWIST2,ZEB2",3
"miR-30c,SNAI1;miR-30c,ZEB2;SNAI1,ZEB2","P","SNAI1,miR-30c,ZEB2",3
"miR-101,SNAI1;SNAI1,ZEB2;miR-101,ZEB2","P","miR-101,SNAI1,ZEB2",3
"SNAI1,miR-101;SNAI1,ZEB2;miR-101,ZEB2","P","miR-101,SNAI1,ZEB2",3
"SNAI1,CDH1;SNAI1,ZEB2;ZEB2,CDH1","P","CDH1,SNAI1,ZEB2",3
"SNAI1,VIM;SNAI1,ZEB2;ZEB2,VIM","P","VIM,SNAI1,ZEB2",3
"SNAI1,SNAI1","N","SNAI1",1
"miR-101,KLF8;KLF8,CDH1;ZEB2,CDH1;miR-101,ZEB2","P","miR-101,KLF8,CDH1,ZEB2",4
