"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"TCF3",-0.998188762893223,-0.862943288513354,1,-0.268597202693721,0.862943288513354,0.99919500543687,0.0270746163091747,-0.567678117484841,1,0.998188762893223,1,0.862943288513354,1,1,0.944259183192321,0.862943288513354,0.902799601472319,-0.99919500543687,-0.862943288513354,-0.867571758055278,-0.902599309945082,-0.868984552290259,0.0270746163091747,-0.188699781933128,-0.959746773987881,-0.00432610925669451
"TGF-beta",-0.864752744964707,-1,0.862943288513354,-0.402836344657593,1,0.863747021125892,-0.0838309177601145,-0.703935442829422,0.862943288513354,0.864752744964707,0.862943288513354,1,0.862943288513354,0.862943288513354,0.918687746341124,1,0.960149474968019,-0.863747021125892,-1,-0.995370847287502,-0.960350984752661,-0.993962261369996,-0.0838309177601145,-0.124479426898511,-0.903202045915601,-0.028681484184487
"TWIST1",-0.998188762893223,-0.862943288513354,1,-0.268597202693721,0.862943288513354,0.99919500543687,0.0270746163091747,-0.567678117484841,1,0.998188762893223,1,0.862943288513354,1,1,0.944259183192321,0.862943288513354,0.902799601472319,-0.99919500543687,-0.862943288513354,-0.867571758055278,-0.902599309945082,-0.868984552290259,0.0270746163091747,-0.188699781933128,-0.959746773987881,-0.00432610925669451
"TWIST2",-0.998188762893223,-0.862943288513354,1,-0.268597202693721,0.862943288513354,0.99919500543687,0.0270746163091747,-0.567678117484841,1,0.998188762893223,1,0.862943288513354,1,1,0.944259183192321,0.862943288513354,0.902799601472319,-0.99919500543687,-0.862943288513354,-0.867571758055278,-0.902599309945082,-0.868984552290259,0.0270746163091747,-0.188699781933128,-0.959746773987881,-0.00432610925669451
"VIM",-0.946068057502373,-0.918687746341124,0.944259183192321,-0.32434074688034,0.918687746341124,0.945062523796839,-0.0170111752098186,-0.623429034019425,0.944259183192321,0.946068057502373,0.944259183192321,0.918687746341124,0.944259183192321,0.944259183192321,1,0.918687746341124,0.958136072772589,-0.945062523796839,-0.918687746341124,-0.923317131781795,-0.958337419688392,-0.924725369097937,-0.0170111752098186,-0.168755875865016,-0.920918012174105,-0.0262667107890643
"ZEB1",-0.864752744964707,-1,0.862943288513354,-0.402836344657593,1,0.863747021125892,-0.0838309177601145,-0.703935442829422,0.862943288513354,0.864752744964707,0.862943288513354,1,0.862943288513354,0.862943288513354,0.918687746341124,1,0.960149474968019,-0.863747021125892,-1,-0.995370847287502,-0.960350984752661,-0.993962261369996,-0.0838309177601145,-0.124479426898511,-0.903202045915601,-0.028681484184487
"ZEB2",-0.904205746894241,-0.960149474968019,0.902799601472319,-0.362984039652742,0.960149474968019,0.903200277925898,-0.0504225393764039,-0.664085908799172,0.902799601472319,0.904205746894241,0.902799601472319,0.960149474968019,0.902799601472319,0.902799601472319,0.958136072772589,0.960149474968019,1,-0.903200277925898,-0.960149474968019,-0.964778934358255,-0.999798750666333,-0.966186843589137,-0.0504225393764039,-0.160703655650506,-0.895157805227117,-0.0435760530164564
"miR-101",0.998993677000684,0.863747021125892,-0.99919500543687,0.269401360152374,-0.863747021125892,-1,-0.027878979228275,0.568482667487835,-0.99919500543687,-0.998993677000684,-0.99919500543687,-0.863747021125892,-0.99919500543687,-0.99919500543687,-0.945062523796839,-0.863747021125892,-0.903200277925898,1,0.863747021125892,0.868375567520138,0.903402444205301,0.869787956930027,-0.027878979228275,0.187892961924563,0.958942296943195,0.00472884488436695
"miR-141",0.864752744964707,1,-0.862943288513354,0.402836344657593,-1,-0.863747021125892,0.0838309177601145,0.703935442829422,-0.862943288513354,-0.864752744964707,-0.862943288513354,-1,-0.862943288513354,-0.862943288513354,-0.918687746341124,-1,-0.960149474968019,0.863747021125892,1,0.995370847287502,0.960350984752661,0.993962261369996,0.0838309177601145,0.124479426898511,0.903202045915601,0.028681484184487
"miR-200a",0.869381329895099,0.995370847287502,-0.867571758055278,0.398207400286917,-0.995370847287502,-0.868375567520138,0.0792013751960523,0.699306095758042,-0.867571758055278,-0.869381329895099,-0.867571758055278,-0.995370847287502,-0.867571758055278,-0.867571758055278,-0.923317131781795,-0.995370847287502,-0.964778934358255,0.868375567520138,0.995370847287502,1,0.964980487220416,0.989333265279947,0.0792013751960523,0.129109384875232,0.898571884485137,0.0276750338491965
"miR-200b",0.904407873161319,0.960350984752661,-0.902599309945082,0.363185170324289,-0.960350984752661,-0.903402444205301,0.0502216431592674,0.664287534012788,-0.902599309945082,-0.904407873161319,-0.902599309945082,-0.960350984752661,-0.902599309945082,-0.902599309945082,-0.958337419688392,-0.960350984752661,-0.999798750666333,0.903402444205301,0.960350984752661,0.964980487220416,1,0.966388195070756,0.0502216431592674,0.160501686463359,0.894957751713673,0.0433749101311964
"miR-200c",0.870793518079189,0.993962261369996,-0.868984552290259,0.396797522795704,-0.993962261369996,-0.869787956930027,0.0777943594499294,0.697898389554501,-0.868984552290259,-0.870793518079189,-0.868984552290259,-0.993962261369996,-0.868984552290259,-0.868984552290259,-0.924725369097937,-0.993962261369996,-0.966186843589137,0.869787956930027,0.993962261369996,0.989333265279947,0.966388195070756,1,0.0777943594499294,0.130514561123097,0.89716817861598,0.0298895447418516
"miR-205",-0.0272748190061379,0.0838309177601145,0.0270746163091747,0.68099515837368,-0.0838309177601145,0.027878979228275,1,0.379894057982197,0.0270746163091747,0.0272748190061379,0.0270746163091747,-0.0838309177601145,0.0270746163091747,0.0270746163091747,-0.0170111752098186,-0.0838309177601145,-0.0504225393764039,-0.027878979228275,0.0838309177601145,0.0792013751960523,0.0502216431592674,0.0777943594499294,1,-0.00512566634563667,0.00190603481687548,0.00654035920752763
"miR-30c",0.188898452658538,0.124479426898511,-0.188699781933128,0.0256551893108086,-0.124479426898511,-0.187892961924563,-0.00512566634563667,0.0808093251359258,-0.188699781933128,-0.188898452658538,-0.188699781933128,-0.124479426898511,-0.188699781933128,-0.188699781933128,-0.168755875865016,-0.124479426898511,-0.160703655650506,0.187892961924563,0.124479426898511,0.129109384875232,0.160501686463359,0.130514561123097,-0.00512566634563667,1,0.148451029179104,0.0158016355885905
"miR-34a",0.957936308584558,0.903202045915601,-0.959746773987881,0.306036348101978,-0.903202045915601,-0.958942296943195,0.00190603481687548,0.607129010291603,-0.959746773987881,-0.957936308584558,-0.959746773987881,-0.903202045915601,-0.959746773987881,-0.959746773987881,-0.920918012174105,-0.903202045915601,-0.895157805227117,0.958942296943195,0.903202045915601,0.898571884485137,0.894957751713673,0.89716817861598,0.00190603481687548,0.148451029179104,1,0.0083509021126044
"miR-9",0.00372260289080523,0.028681484184487,-0.00432610925669451,0.00996364207613211,-0.028681484184487,-0.00472884488436695,0.00654035920752763,0.0180135379627692,-0.00432610925669451,-0.00372260289080523,-0.00432610925669451,-0.028681484184487,-0.00432610925669451,-0.00432610925669451,-0.0262667107890643,-0.028681484184487,-0.0435760530164564,0.00472884488436695,0.028681484184487,0.0276750338491965,0.0433749101311964,0.0298895447418516,0.00654035920752763,0.0158016355885905,0.0083509021126044,1
