"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.56257141694291,0.137414103054361,-0.32281271647169,0.603480537288655,-0.571491494306802,-0.531530928839022,0.512155541274898,0,-0.638136997782823,-0.638136997782823
"SNAIL",-0.177191642565345,-0.0706151533824248,0.120153043264924,-0.0956183478536387,0.0421896170003118,0.0491086896909232,-0.0416394578335177,0,0.175088264665391,0.175088264665391
"OVOL2",-0.355778051017178,-0.104754817471408,0.0911658939949536,-0.309350450844476,0.317235741258871,0.3112901273658,-0.298012504338874,0,0.343460038594818,0.343460038594818
"NRF2",0.175088264665391,-0.020452999573692,-0.110989696651378,0.0905000475156377,-0.0300577660153303,-0.0416394578335177,0.0395145383228931,0,-0.163803037823486,-0.163803037823486
"miR34",0.175088264665391,-0.020452999573692,-0.110989696651378,0.0905000475156377,-0.0300577660153303,-0.0416394578335177,0.0395145383228931,0,-0.163803037823486,-0.163803037823486
"miR200",-0.62531762835415,-0.0476747543520524,0.307813506746612,-0.654779817004807,0.513268127313682,0.484206070946084,-0.560185306434522,0,0.600357020327456,0.600357020327456
"KEAP1",0.163803037823486,-0.0354465920555374,-0.11583006740318,0.178265615281205,-0.033459126559548,-0.0395145383228931,0.0274051633228931,0,-0.162805340202611,-0.162805340202611
"Iext",0.175088264665391,-0.020452999573692,-0.110989696651378,0.0905000475156377,-0.0300577660153303,-0.0416394578335177,0.0395145383228931,0,-0.163803037823486,-0.163803037823486
"GRHL2",-0.638136997782823,-0.129324873671756,0.312109517659434,-0.571095374882351,0.552092225767389,0.512155541274898,-0.48612580276866,0,0.612658649343749,0.612658649343749
"Ecad",-0.582211896213671,-0.0044313576029994,0.29211454054983,-0.609440996214269,0.401603496878959,0.408814832712303,-0.385679595132771,0,0.561822617336836,0.561822617336836
