"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.059079672393098,0.0912679988349216,0.0429039765937283,0.0202834292076825,-0.0195414078143608,-0.130002354669652,0.129489360701559,0,-0.0413581966442536,-0.0413581966442536
"SNAIL",-0.0790530215548729,0.0619523326801349,-0.0677243554987828,-0.0843608684634668,0.177524989898711,-0.0910032177988414,0.0907202923496972,0,0.0788822522600251,0.0788822522600251
"OVOL2",-0.0455063677205066,-0.0549287211306173,-0.0784393993479575,-0.0423169992729634,0.0414756344045715,-0.0388263495921793,0.0380582226402083,0,0.0459287279689538,0.0459287279689538
"NRF2",0.0788822522600251,-0.161825339594203,0.0673768095125152,0.0845057260202026,-0.177622512816597,0.0907202923496972,-0.0911710328519509,0,-0.0789201645562465,-0.0789201645562465
"miR34",0.0788822522600251,-0.161825339594203,0.0673768095125152,0.0845057260202026,-0.177622512816597,0.0907202923496972,-0.0911710328519509,0,-0.0789201645562465,-0.0789201645562465
"miR200",-0.0365576470808304,-0.116538299775249,-0.0412554680728593,0.0851503672619706,-0.00781658721898861,0.136742641189469,-0.237419060884294,0,0.0362703173931856,0.0362703173931856
"KEAP1",-0.0789201645562465,0.162124357108086,-0.0685096622416604,-0.183846385360862,0.177829552154071,-0.0911710328519509,0.0909106161852842,0,0.0793038944104292,0.0793038944104292
"Iext",0.0788822522600251,-0.161825339594203,0.0673768095125152,0.0845057260202026,-0.177622512816597,0.0907202923496972,-0.0911710328519509,0,-0.0789201645562465,-0.0789201645562465
"GRHL2",-0.0413581966442536,-0.0913581295244213,-0.0429714620843478,-0.0207254818696083,0.0191912405122053,0.129489360701559,-0.130190095618667,0,0.040935235919178,0.040935235919178
"Ecad",-0.047523682695921,0.0913787372369462,-0.0460158533358788,-0.134603751981251,0.134104561156323,0.0920257420611973,-0.0926349203473757,0,0.0472684178586523,0.0472684178586523
