"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.267400242097686,0.0870446338585402,-0.411651454338003,0.396042911683374,-0.346210781470534,0.370596012527063,-0.366711915340074,0,-0.364799565390992,-0.364799565390992
"SNAIL",-0.112843603367328,-0.0492665267848183,0.148462634648377,-0.128313430443571,-0.00875825917809194,-0.158779791358574,0.159020277990346,0,0.114255573878386,0.114255573878386
"OVOL2",-0.219719976525817,-0.0735038852802778,0.37494472296054,-0.266913591986165,0.209957208868847,-0.357825572913995,0.355251081481565,0,0.21849264733327,0.21849264733327
"NRF2",0.114255573878386,-0.041350095199096,-0.146012859281758,0.130341436237873,0.0148046800870055,0.159020277990346,-0.155822166807689,0,-0.110502256552467,-0.110502256552467
"miR34",0.114255573878386,-0.041350095199096,-0.146012859281758,0.130341436237873,0.0148046800870055,0.159020277990346,-0.155822166807689,0,-0.110502256552467,-0.110502256552467
"miR200",-0.347762592536793,-0.073199626174803,0.390915322210081,-0.268108115511318,0.33260143602161,-0.336149842090208,0.232107054611838,0,0.346122032707337,0.346122032707337
"KEAP1",-0.110502256552467,0.0551476176254095,0.146218832505239,-0.222502608399045,-0.00785407375751722,-0.155822166807689,0.156212791807689,0,0.113495349415091,0.113495349415091
"Iext",0.114255573878386,-0.041350095199096,-0.146012859281758,0.130341436237873,0.0148046800870055,0.159020277990346,-0.155822166807689,0,-0.110502256552467,-0.110502256552467
"GRHL2",-0.364799565390992,-0.084723768603921,0.407669810391451,-0.389027728135421,0.345051338625619,-0.366711915340074,0.361704224347081,0,0.362302083014356,0.362302083014356
"Ecad",-0.352371222254886,0.0343777252732477,0.394422619579618,-0.47615137904801,0.231998346674934,-0.344058765306935,0.340173561570641,0,0.351015127806896,0.351015127806896
