"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.081656997147173,0.0730184477105805,0.0298610408790194,0.0113362989406075,-0.02646275244596,-0.105392234554337,0.105713560446439,0,0.0180776276786745,-0.0180776276786745
"SNAIL",-0.0370392928677229,-0.0615507250495157,-0.0421943989440631,-0.0396915365003713,-0.0558791730302631,-0.043173516116994,0.0430461996648791,0,-0.0368601933633703,0.0368601933633703
"OVOL2",-0.037332972152051,-0.0772572811514539,-0.0727651346802981,-0.0401654462430459,0.0405857674639705,-0.0425543071015208,0.0423264013025844,0,-0.0369603013445975,0.0369603013445975
"NRF2",-0.0368601933633703,0.0373909992343843,-0.0422537360636697,-0.0389672487166919,-0.056015705115303,-0.0430461996648791,0.0435827955008954,0,-0.0373530532142486,0.0373530532142486
"miR34",0.0368601933633703,-0.0373909992343843,0.0422537360636697,0.0389672487166919,0.056015705115303,0.0430461996648791,-0.0435827955008954,0,0.0373530532142486,-0.0373530532142486
"miR200",-0.0218784145975978,0.00302139124765874,-0.0319675644969538,0.0834335437887034,0.0149931593692334,0.0990937397920014,-0.198700472527569,0,-0.0220915946884311,0.0220915946884311
"KEAP1",0.0373530532142486,-0.0396549889823553,0.0430776289575935,-0.0611060113565681,0.0553354330064595,0.0435827955008954,-0.0426713371675621,0,0.0367390854475564,-0.0367390854475564
"Iext",0.0368601933633703,-0.0373909992343843,0.0422537360636697,0.0389672487166919,0.056015705115303,0.0430461996648791,-0.0435827955008954,0,0.0373530532142486,-0.0373530532142486
"GRHL2",-0.0180776276786745,-0.0728381863315809,-0.0298475437808955,-0.0113170792596542,0.0266884158184602,0.105713560446439,-0.105320465249037,0,-0.0183394605084832,0.0183394605084832
"Ecad",-0.011095651110931,-0.1082551877328,-0.0235371000101363,-0.0985349240517716,0.110480193761173,0.127392656331135,-0.126891776406944,0,-0.0114306862098461,0.0114306862098461
