"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00778277084479397,-0.0939489414707737,-0.0522148818891157,0.0486758654214105,-0.0453536865806076,-0.161578892111426,0.167729182432188,0,-0.0706753993933802,-0.0706753993933802
"SNAIL",-0.0992726639641655,-0.0662557220771225,0.0854657687932183,0.0105272575506472,-0.000778553005674663,0.125969509679651,-0.123267571640325,0,0.10729882082201,0.10729882082201
"OVOL2",-0.110428993319636,0.0839001624211117,-0.0131841960289824,0.0113502118636658,0.107812472828464,0.148790363661505,-0.144764027880295,0,0.122508496425226,0.122508496425226
"NRF2",0.10729882082201,-0.0368062223281265,-0.0744375412777482,-0.00183580414649457,0.00768317559198245,-0.123267571640325,0.125821767819762,0,-0.0972267874591898,-0.0972267874591898
"miR34",-0.10729882082201,0.0368062223281265,0.0744375412777482,0.00183580414649457,-0.00768317559198245,0.123267571640325,-0.125821767819762,0,0.0972267874591898,0.0972267874591898
"miR200",-0.0648738257836178,0.0118388835313764,0.0774092831069138,0.0698525544138513,0.0584550290992742,0.147966511120052,-0.239928128235043,0,0.0893153866326306,0.0893153866326306
"KEAP1",-0.0972267874591898,0.0330044282230432,0.0874138543570479,-0.087688005377315,0.000332204473087061,0.125821767819762,-0.121785309486429,0,0.108661937113833,0.108661937113833
"Iext",0.10729882082201,-0.0368062223281265,-0.0744375412777482,-0.00183580414649457,0.00768317559198245,-0.123267571640325,0.125821767819762,0,-0.0972267874591898,-0.0972267874591898
"GRHL2",-0.0706753993933802,0.0858146467434191,0.0805587879493128,-0.0257083466822215,0.0627297662631225,0.167729182432188,-0.159234907949194,0,0.0959321969764618,0.0959321969764618
"Ecad",-0.0761337285847239,0.10285446669775,0.081342233145701,-0.116482966998101,0.0730085362960689,0.192812491540923,-0.185245143497062,0,0.0985172640027201,0.0985172640027201
