"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.745528707252561,0.2313616842355,-0.817180199376411,0.251227649397961,-0.711278234532695,-0.754570908587276,0.706219817770432,0,-0.794344470537906,-0.794344470537906
"SNAIL",-0.219074788313352,-0.0764980569955059,0.239856313061738,-0.0910471143504527,0.07086678356634,0.0982544409448419,-0.0809252571847627,0,0.211006980407983,0.211006980407983
"OVOL2",-0.817411071060285,-0.269559462459587,0.878858809991917,-0.149424117861539,0.695044953635302,0.828800109567465,-0.771528226390289,0,0.761058276029229,0.761058276029229
"NRF2",0.211006980407983,-0.0124535445284112,-0.223877674424796,0.0958274137227367,-0.051303686238468,-0.0809252571847627,0.0753231966567524,0,-0.192796440789633,-0.192796440789633
"miR34",0.211006980407983,-0.0124535445284112,-0.223877674424796,0.0958274137227367,-0.051303686238468,-0.0809252571847627,0.0753231966567524,0,-0.192796440789633,-0.192796440789633
"miR200",-0.741460608767021,-0.183909637529316,0.717353250421776,-0.117239486311868,0.622140337818452,0.661247691988543,-0.708565609245111,0,0.695144916858595,0.695144916858595
"KEAP1",-0.192796440789633,0.0365885295775355,0.212446160521603,-0.180223018118341,0.0514515714795209,0.0753231966567524,-0.0508440299900857,0,0.185966049385182,0.185966049385182
"Iext",0.211006980407983,-0.0124535445284112,-0.223877674424796,0.0958274137227367,-0.051303686238468,-0.0809252571847627,0.0753231966567524,0,-0.192796440789633,-0.192796440789633
"GRHL2",-0.794344470537906,-0.211037213753301,0.761153745064088,-0.233103490259003,0.668550042174123,0.706219817770432,-0.648879192236335,0,0.741816776680907,0.741816776680907
"Ecad",-0.712304873581233,-0.0664239263492995,0.693195530705544,-0.323539609321448,0.49667869627413,0.570085298911474,-0.519577650339659,0,0.669276794449133,0.669276794449133
