"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0480887568877178,0.0413807300317498,-0.159309547017632,0.0597542439258424,-0.0369254952119357,-0.0185153778755411,0.0222754545427715,0,-0.0495892103384482,-0.0495892103384482
"SNAIL",-0.0875868071122312,-0.0896819615957066,0.122418188430236,-0.0630690407375869,0.0984111685721589,-0.0286566154547133,0.0303117293322066,0,0.0884989650530034,0.0884989650530034
"OVOL2",-0.196590633610636,-0.0792777549978634,0.354275220353917,-0.168158310056447,0.180444732913735,-0.125679522572572,0.126548940990737,0,0.196694981436723,0.196694981436723
"NRF2",0.0884989650530034,-0.00793339045734827,-0.121494224710647,0.0656281909065873,-0.0979820677334618,0.0303117293322066,-0.0278433884865315,0,-0.0868687363154828,-0.0868687363154828
"miR34",0.0884989650530034,-0.00793339045734827,-0.121494224710647,0.0656281909065873,-0.0979820677334618,0.0303117293322066,-0.0278433884865315,0,-0.0868687363154828,-0.0868687363154828
"miR200",0.0577896416692277,-0.0211943058926661,-0.165619214057335,0.162059177480441,-0.0465862674810034,-0.0138613195466941,-0.0906848500301503,0,-0.0602829218620167,-0.0602829218620167
"KEAP1",-0.0868687363154828,0.0115643174116413,0.122009157769349,-0.160573245851642,0.0984257234566207,-0.0278433884865315,0.0314892218198649,0,0.0887873855863961,0.0887873855863961
"Iext",0.0884989650530034,-0.00793339045734827,-0.121494224710647,0.0656281909065873,-0.0979820677334618,0.0303117293322066,-0.0278433884865315,0,-0.0868687363154828,-0.0868687363154828
"GRHL2",-0.0495892103384482,-0.0364460747816371,0.160389314867545,-0.0531618933588619,0.0375869223382294,0.0222754545427715,-0.0167550306836021,0,0.0526506403485187,0.0526506403485187
"Ecad",-0.0557528503290177,0.0367152173495457,0.168328022730769,-0.155267747925658,0.127552711629041,0.0323966801268992,-0.027266045227752,0,0.0585767175913024,0.0585767175913024
