"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.363006811111562,-0.227114124677446,0.229016954072734,0.179053967900098,0.446987893345236,-0.351467134497373,0.345531061438013,0,-0.455961100237814,-0.455961100237814
"SNAIL",-0.135054478775647,-0.00259572779960096,-0.0965673400542764,-0.0789017239559434,-0.166609775623389,0.00658787530013673,-0.00470642106332813,0,0.133467573864989,0.133467573864989
"OVOL2",-0.133262949170036,0.118958335162845,-0.117027718392204,-0.0762351774276524,-0.135342058307052,0.0122883766279494,-0.010574862658168,0,0.13146916035016,0.13146916035016
"NRF2",0.133467573864989,-0.0948220794531153,0.0948635170484275,0.0785637229902263,0.164698326432829,-0.00470642106332813,0.00331127188968572,0,-0.130674701376678,-0.130674701376678
"miR34",0.133467573864989,-0.0948220794531153,0.0948635170484275,0.0785637229902263,0.164698326432829,-0.00470642106332813,0.00331127188968572,0,-0.130674701376678,-0.130674701376678
"miR200",-0.430714856288513,0.11524474065139,-0.214431492463542,-0.0622986649435468,-0.393050955690445,0.335783099225422,-0.428657096393898,0,0.422437907544422,0.422437907544422
"KEAP1",-0.130674701376678,0.0958899991455544,-0.0943485839897251,-0.176146140572644,-0.161001195406506,0.00331127188968572,0.000334561443647617,0,0.1279885923974,0.1279885923974
"Iext",0.133467573864989,-0.0948220794531153,0.0948635170484275,0.0785637229902263,0.164698326432829,-0.00470642106332813,0.00331127188968572,0,-0.130674701376678,-0.130674701376678
"GRHL2",-0.455961100237814,0.222359730806332,-0.224616900084341,-0.174883297133232,-0.438358214721004,0.345531061438013,-0.337583702012274,0,0.446514977377794,0.446514977377794
"Ecad",-0.429119427227298,0.225605715717656,-0.21595143906357,-0.277056074707702,-0.396653143671272,0.268971468860593,-0.261918538036172,0,0.421078584853335,0.421078584853335
