"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0148924712886224,-0.0931768766549672,-0.0516846873188251,0.0538612743625928,-0.042927007371242,-0.136466447808227,0.138591708533184,0,-0.0676126703553768,-0.0676126703553768
"SNAIL",-0.0397045691730166,-0.0715074651229677,0.0587683441961031,-0.0306490275771306,-0.0289743497341404,-0.0227548166266167,0.0250465127646843,0,0.0567523429245265,0.0567523429245265
"OVOL2",-0.109549401038165,0.0840312495164756,-0.0156203396247639,0.00689365992541111,0.105202844204389,0.135850836811471,-0.134474961062336,0,0.119084804764873,0.119084804764873
"NRF2",0.0567523429245265,-0.0355618166605796,-0.0349232988455902,0.0485147929078887,0.0432517049126073,0.0250465127646843,-0.0221918229170776,0,-0.0356099190650547,-0.0356099190650547
"miR34",-0.0567523429245265,0.0355618166605796,0.0349232988455902,-0.0485147929078887,-0.0432517049126073,-0.0250465127646843,0.0221918229170776,0,0.0356099190650547,0.0356099190650547
"miR200",-0.0649938925013337,0.0118388835313764,0.0757472671535261,0.0664875992637426,0.0567168084087413,0.139582160496931,-0.236262984785117,0,0.0870626662523764,0.0870626662523764
"KEAP1",-0.0356099190650547,0.0266340080317885,0.0642744831916252,-0.126316990710086,-0.0256533612273071,-0.0221918229170776,0.0262282812504109,0,0.0616268031786388,0.0616268031786388
"Iext",-0.0567523429245265,0.0355618166605796,0.0349232988455902,-0.0485147929078887,-0.0432517049126073,-0.0250465127646843,0.0221918229170776,0,0.0356099190650547,0.0356099190650547
"GRHL2",-0.0676126703553768,0.0858762908054855,0.0758174987643643,-0.0357755545855411,0.0573149927420302,0.138591708533184,-0.135429855858427,0,0.08880098858297,0.08880098858297
"Ecad",-0.0611272429626923,0.101534504556893,0.0739455805484384,-0.13457815488655,0.0616560531607623,0.112604564735833,-0.109260852809476,0,0.083319329752737,0.083319329752737
